date,open,high,low,close,volume
2020-08-19,3.92,3.92,3.85,3.87,99200
2020-08-20,3.82,3.93,3.82,3.93,62800
2020-08-21,3.65,3.9,3.65,3.85,125600
2020-08-24,4.11,4.11,3.71,3.74,146300
2020-08-25,3.74,3.79,3.58,3.74,285500
2020-08-26,3.74,3.8,3.74,3.77,31400
2020-08-27,3.78,3.78,3.69,3.75,21500
2020-08-28,3.78,3.93,3.76,3.9,90400
2020-08-31,3.72,3.98,3.72,3.95,46700
2020-09-01,4.0,4.25,3.99,4.23,217000
2020-09-02,4.23,4.26,4.12,4.22,165600
2020-09-03,4.01,4.39,3.99,4.14,241500
2020-09-04,4.14,4.23,3.91,4.23,130400
2020-09-08,4.26,4.26,4.01,4.12,174700
2020-09-09,4.2,4.49,4.2,4.49,174100
2020-09-10,4.49,4.61,4.45,4.53,235900
2020-09-11,4.53,4.53,4.34,4.41,134900
2020-09-14,4.46,4.55,4.46,4.49,99900
2020-09-15,4.55,4.66,4.29,4.53,128600
2020-09-16,4.59,4.59,4.37,4.41,150600
2020-09-17,4.57,4.61,4.36,4.4,92500
2020-09-18,4.4,4.5,4.36,4.47,74900
2020-09-21,4.4,4.42,4.08,4.15,160600
2020-09-22,4.15,4.2,4.06,4.1,298600
2020-09-23,4.09,4.13,3.67,3.68,350400
2020-09-24,3.47,3.75,3.47,3.68,205900
2020-09-25,3.67,3.67,3.61,3.64,73300
2020-09-28,3.66,3.7,3.55,3.61,89300
2020-09-29,3.46,3.64,3.46,3.58,202000
2020-09-30,3.6,3.65,3.51,3.64,73500
2020-10-01,3.6,3.67,3.58,3.65,83800
2020-10-02,3.6,3.63,3.52,3.54,109600
2020-10-05,3.5,3.68,3.5,3.68,71600
2020-10-06,3.7,3.7,3.4,3.41,285600
2020-10-07,3.27,3.56,3.27,3.44,116900
2020-10-08,3.49,3.52,3.44,3.48,81600
2020-10-09,3.38,3.63,3.38,3.61,80200
2020-10-12,3.55,3.69,3.55,3.65,61900
2020-10-13,3.63,3.68,3.5,3.56,193900
2020-10-14,3.53,3.63,3.53,3.63,86000
2020-10-15,3.38,3.59,3.38,3.56,54100
2020-10-16,3.58,3.67,3.52,3.62,62500
2020-10-19,3.67,3.92,3.66,3.8,107900
2020-10-20,3.84,3.99,3.8,3.95,78100
2020-10-21,3.98,4.09,3.94,3.94,140400
2020-10-22,4.0,4.09,3.87,4.01,118800
2020-10-23,4.06,4.06,3.94,4.04,51600
