date,open,high,low,close,volume
2020-08-19,1.76,1.86,1.76,1.8,295600
2020-08-20,1.74,1.8,1.74,1.77,45700
2020-08-21,1.83,1.83,1.75,1.76,66300
2020-08-24,1.8,1.83,1.75,1.78,76100
2020-08-25,1.79,1.82,1.78,1.78,42300
2020-08-26,1.75,1.75,1.69,1.7,126700
2020-08-27,1.75,1.75,1.7,1.74,65100
2020-08-28,1.74,1.76,1.73,1.76,34900
2020-08-31,1.75,1.8,1.75,1.76,66200
2020-09-01,1.78,1.8,1.73,1.73,66000
2020-09-02,1.83,1.83,1.75,1.78,127500
2020-09-03,1.8,1.8,1.7,1.7,167700
2020-09-04,1.72,1.75,1.71,1.72,129300
2020-09-08,1.8,1.8,1.7,1.71,60200
2020-09-09,1.78,1.78,1.7,1.75,72800
2020-09-10,1.8,1.8,1.7,1.74,60800
2020-09-11,1.79,1.79,1.73,1.74,59400
2020-09-14,1.7,1.75,1.7,1.74,55000
2020-09-15,1.84,1.84,1.8,1.83,76200
2020-09-16,1.91,1.91,1.83,1.83,125200
2020-09-17,1.8,1.8,1.75,1.78,60300
2020-09-18,1.88,1.88,1.82,1.83,63200
2020-09-21,1.71,1.83,1.71,1.74,117300
2020-09-22,1.84,1.84,1.76,1.77,44000
2020-09-23,1.78,1.8,1.71,1.73,50800
2020-09-24,1.7,1.7,1.65,1.68,74300
2020-09-25,1.67,1.67,1.65,1.65,30500
2020-09-28,1.65,1.71,1.65,1.7,82700
2020-09-29,1.73,1.73,1.68,1.69,173200
2020-09-30,1.65,1.7,1.65,1.68,56200
2020-10-01,1.77,1.77,1.72,1.77,182400
2020-10-02,1.79,1.79,1.69,1.76,260300
2020-10-05,1.84,1.84,1.75,1.84,410300
2020-10-06,1.89,1.89,1.84,1.87,223700
2020-10-07,1.81,1.92,1.81,1.92,276000
2020-10-08,1.99,1.99,1.87,1.94,190800
2020-10-09,1.98,1.98,1.93,1.94,200500
2020-10-12,2.0,2.0,1.93,1.97,130300
2020-10-13,1.96,1.96,1.91,1.93,99400
2020-10-14,1.9,2.0,1.9,1.93,56500
2020-10-15,1.93,1.93,1.87,1.89,156800
2020-10-16,1.95,1.95,1.89,1.92,53800
2020-10-19,1.97,2.03,1.96,2.03,193100
2020-10-20,2.05,2.05,2.01,2.03,160500
2020-10-21,2.1,2.15,2.05,2.11,214600
2020-10-22,2.04,2.1,2.03,2.05,211200
2020-10-23,2.1,2.1,2.02,2.07,43500
2020-10-26,2.07,2.13,2.07,2.09,190100
2020-10-27,2.05,2.05,2.0,2.0,120600
2020-10-28,1.94,2.0,1.91,1.94,153600
2020-10-29,1.92,2.02,1.92,2.0,78000
2020-10-30,1.96,2.01,1.96,1.99,82100
2020-11-02,1.96,2.07,1.96,2.01,104400
2020-11-03,2.15,2.15,2.05,2.09,67900
2020-11-04,2.13,2.15,2.11,2.15,234000
2020-11-05,2.13,2.18,2.1,2.17,164400
2020-11-06,2.22,2.25,2.15,2.23,247800
2020-11-09,2.42,2.49,2.35,2.41,230600
2020-11-10,2.35,2.35,2.3,2.33,70000
2020-11-11,2.28,2.34,2.27,2.3,107000
2020-11-12,2.37,2.43,2.31,2.36,419700
2020-11-13,2.38,2.44,2.35,2.41,134000
2020-11-16,2.51,2.51,2.45,2.48,122100
2020-11-17,2.55,2.55,2.45,2.52,214400
2020-11-18,2.57,2.61,2.51,2.51,239800
2020-11-19,2.5,2.54,2.49,2.52,140400
