date,open,high,low,close,volume
2020-08-19,1.9,1.93,1.8,1.81,174900
2020-08-20,1.8,1.82,1.78,1.79,46200
2020-08-21,1.83,1.83,1.72,1.73,185700
2020-08-24,1.77,1.84,1.77,1.78,113800
2020-08-25,1.86,1.86,1.73,1.76,43100
2020-08-26,1.65,1.77,1.65,1.67,98800
2020-08-27,1.65,1.7,1.65,1.68,89300
2020-08-28,1.66,1.69,1.66,1.68,66600
2020-08-31,1.7,1.8,1.7,1.7,84100
2020-09-01,1.72,1.72,1.67,1.68,64000
2020-09-02,1.67,1.71,1.67,1.7,57500
2020-09-03,1.84,1.84,1.66,1.67,56300
2020-09-04,1.61,1.67,1.61,1.65,27000
2020-09-08,1.64,1.73,1.64,1.68,33300
2020-09-09,1.65,1.75,1.65,1.68,54200
2020-09-10,1.69,1.69,1.67,1.68,38900
2020-09-11,1.72,1.72,1.66,1.68,16100
2020-09-14,1.73,1.73,1.65,1.67,19900
2020-09-15,1.72,1.78,1.72,1.77,80300
2020-09-16,1.93,1.93,1.77,1.79,55300
2020-09-17,1.82,1.82,1.73,1.73,25900
2020-09-18,1.76,1.84,1.76,1.82,63300
2020-09-21,1.8,1.8,1.72,1.77,42600
2020-09-22,1.69,1.77,1.69,1.77,39000
2020-09-23,1.7,1.81,1.7,1.75,54800
2020-09-24,1.72,1.73,1.66,1.67,46200
2020-09-25,1.68,1.68,1.66,1.67,45300
2020-09-28,1.65,1.72,1.65,1.68,55900
2020-09-29,1.75,1.75,1.65,1.65,46900
2020-09-30,1.65,1.69,1.65,1.66,40900
2020-10-01,1.71,1.78,1.71,1.77,65700
2020-10-02,1.67,1.77,1.67,1.74,59600
2020-10-05,1.77,1.82,1.77,1.82,63600
2020-10-06,1.83,1.84,1.81,1.82,77200
2020-10-07,1.95,1.95,1.82,1.85,66900
2020-10-08,1.9,1.9,1.86,1.89,69700
2020-10-09,1.9,1.92,1.89,1.91,78100
2020-10-12,2.0,2.0,1.92,1.94,51100
2020-10-13,1.83,1.93,1.83,1.91,50400
2020-10-14,2.0,2.0,1.86,1.9,39900
2020-10-15,1.79,1.91,1.79,1.87,22100
2020-10-16,1.87,1.89,1.81,1.86,37900
2020-10-19,1.91,1.98,1.91,1.96,52500
2020-10-20,1.94,2.0,1.91,1.99,26600
2020-10-21,2.0,2.1,2.0,2.1,118600
2020-10-22,2.12,2.12,2.01,2.01,97100
2020-10-23,2.12,2.12,2.0,2.02,41100
2020-10-26,2.04,2.06,2.01,2.03,51000
2020-10-27,2.1,2.1,1.96,1.97,61200
2020-10-28,2.05,2.05,1.92,1.92,41200
2020-10-29,2.0,2.0,1.98,1.99,26400
2020-10-30,2.05,2.05,1.93,1.98,74000
2020-11-02,1.92,1.99,1.92,1.97,38500
2020-11-03,2.0,2.07,2.0,2.06,44000
2020-11-04,2.1,2.14,2.09,2.14,62000
2020-11-05,2.15,2.19,2.15,2.18,130000
2020-11-06,2.18,2.28,2.17,2.26,175200
2020-11-09,2.49,2.49,2.37,2.42,122000
2020-11-10,2.39,2.39,2.24,2.33,88600
2020-11-11,2.25,2.26,2.22,2.26,75200
2020-11-12,2.37,2.41,2.29,2.37,44000
2020-11-13,2.26,2.42,2.26,2.39,71900
2020-11-16,2.4,2.5,2.4,2.5,106700
2020-11-17,2.45,2.54,2.45,2.51,122900
2020-11-18,2.6,2.6,2.5,2.54,77500
2020-11-19,2.4,2.56,2.4,2.52,73200
2020-11-20,2.56,2.56,2.5,2.51,140000
2020-11-23,2.63,2.74,2.57,2.73,81200
2020-11-24,2.73,2.73,2.65,2.66,90000
2020-11-25,2.81,2.95,2.68,2.72,68100
2020-11-27,2.78,2.78,2.75,2.78,44400
2020-11-30,2.93,2.94,2.74,2.85,123400
2020-12-01,2.87,2.87,2.74,2.77,158400
2020-12-02,2.88,3.16,2.88,2.98,199600
2020-12-03,3.0,3.05,2.98,3.04,151100
2020-12-04,3.05,3.08,3.05,3.05,110300
2020-12-07,3.12,3.12,3.05,3.12,98500
2020-12-08,3.2,3.2,3.15,3.16,135900
2020-12-09,3.26,3.26,3.12,3.13,198300
2020-12-10,3.11,3.11,2.95,2.99,155900
2020-12-11,2.97,2.97,2.82,2.85,137500
2020-12-14,2.77,2.85,2.74,2.75,123300
2020-12-15,2.93,2.93,2.7,2.75,92000
2020-12-16,2.85,2.94,2.79,2.89,143300
2020-12-17,2.96,3.0,2.91,3.0,99700
2020-12-18,3.0,3.05,2.98,3.04,100700
2020-12-21,3.05,3.05,2.99,3.02,138200
2020-12-22,3.01,3.01,2.93,2.94,126600
2020-12-23,3.02,3.02,2.85,2.93,50800
2020-12-24,2.98,2.98,2.94,2.95,13000
2020-12-28,2.9,3.0,2.9,3.0,60400
2020-12-29,3.13,3.13,3.0,3.0,80300
2020-12-30,3.02,3.05,3.0,3.01,57100
2020-12-31,3.13,3.13,2.9,3.04,53500
2021-01-04,3.19,3.23,3.14,3.15,221900
2021-01-05,3.31,3.45,3.16,3.42,249700
2021-01-06,3.45,3.49,3.2,3.45,153100
2021-01-07,3.45,3.65,3.45,3.61,174000
2021-01-08,3.42,3.84,3.42,3.75,235400
2021-01-11,3.64,3.64,3.54,3.54,185500
2021-01-12,3.54,3.54,3.42,3.48,108200
2021-01-13,3.42,3.47,3.41,3.45,46700
2021-01-14,3.45,3.49,3.41,3.47,50800
2021-01-15,3.41,3.5,3.28,3.31,162800
2021-01-19,3.31,3.57,3.31,3.57,178100
2021-01-20,3.81,3.81,3.5,3.53,498800
2021-01-21,3.93,3.93,3.6,3.77,257800
2021-01-22,4.19,4.5,4.19,4.5,420500
2021-01-25,4.49,4.49,4.16,4.24,421300
2021-01-26,4.01,4.24,4.01,4.22,110900
2021-01-27,3.87,4.24,3.87,4.04,391700
2021-01-28,3.99,3.99,3.82,3.87,270900
2021-01-29,3.85,3.85,3.61,3.67,205000
2021-02-01,3.67,4.07,3.67,4.04,404000
2021-02-02,3.93,3.96,3.88,3.95,189800
2021-02-03,3.99,4.0,3.92,4.0,256300
2021-02-04,3.77,3.94,3.77,3.87,156800
