date,open,high,low,close,volume
2020-08-19,139.38,140.6,137.06,137.43,496600
2020-08-20,136.76,140.13,135.7,139.34,338000
2020-08-21,137.32,137.88,135.84,137.81,377800
2020-08-24,139.67,140.3,136.07,136.19,370800
2020-08-25,135.5,136.15,133.37,135.27,414600
2020-08-26,133.43,136.95,133.43,136.79,359300
2020-08-27,138.28,138.53,133.75,134.92,297000
2020-08-28,137.68,137.68,135.0,135.44,321500
2020-08-31,135.48,138.12,135.13,136.32,287100
2020-09-01,138.23,138.23,131.8,133.17,346600
2020-09-02,132.0,134.79,130.03,134.0,380900
2020-09-03,133.5,135.44,131.74,133.98,327200
2020-09-04,133.54,134.78,128.29,130.56,872900
2020-09-08,128.59,131.44,124.77,128.57,419600
2020-09-09,129.74,133.34,129.74,132.74,361700
2020-09-10,133.55,134.5,130.74,130.76,336100
2020-09-11,131.69,133.43,130.05,130.45,287600
2020-09-14,131.52,131.77,127.82,130.95,602400
2020-09-15,132.18,132.66,129.06,130.23,335500
2020-09-16,131.88,132.19,129.57,130.61,371800
2020-09-17,127.59,128.91,126.5,128.09,329900
2020-09-18,128.52,129.59,123.03,123.47,973900
2020-09-21,119.26,123.06,119.26,122.64,546500
2020-09-22,123.33,124.67,121.75,123.21,347500
2020-09-23,121.8,122.17,115.72,115.91,470100
2020-09-24,115.06,120.81,114.99,119.53,419800
2020-09-25,117.95,118.98,116.97,118.08,325700
2020-09-28,119.75,120.52,118.01,119.2,282100
2020-09-29,119.74,122.81,119.71,119.98,284200
2020-09-30,119.71,120.75,118.29,120.17,374800
2020-10-01,120.57,122.12,119.12,120.42,346600
2020-10-02,119.75,120.63,118.45,119.4,341800
2020-10-05,119.79,122.28,119.11,120.4,691000
2020-10-06,121.86,122.1,117.29,117.3,335300
2020-10-07,118.57,119.18,116.78,117.46,344800
2020-10-08,118.58,119.74,117.69,118.77,319600
2020-10-09,121.01,121.98,119.12,121.49,407900
2020-10-12,121.43,124.15,121.0,123.3,307800
2020-10-13,122.05,124.18,121.0,123.91,299500
2020-10-14,125.27,126.4,124.37,124.76,243300
2020-10-15,122.64,125.63,122.27,123.84,220500
2020-10-16,123.9,124.35,122.2,122.47,242000
2020-10-19,123.24,123.88,119.16,119.6,254600
2020-10-20,122.15,122.15,119.01,121.2,259000
2020-10-21,122.01,123.98,121.09,121.6,249300
2020-10-22,120.39,122.09,119.57,121.78,316100
2020-10-23,121.19,122.55,120.38,121.99,256700
2020-10-26,121.07,122.49,119.73,120.19,188500
2020-10-27,120.1,121.81,119.15,121.33,190200
2020-10-28,119.0,119.0,114.72,116.62,534900
2020-10-29,114.87,118.81,114.87,118.36,303600
2020-10-30,119.23,120.98,116.84,118.81,343000
