date,open,high,low,close,volume
2020-08-19,7.68,7.77,7.64,7.66,16900
2020-08-20,7.59,7.76,7.58,7.74,19900
2020-08-21,7.75,7.93,7.75,7.9,40100
2020-08-24,7.56,7.87,7.56,7.74,36200
2020-08-25,7.75,7.78,7.66,7.75,26600
2020-08-26,7.66,7.75,7.62,7.75,19900
2020-08-27,7.58,7.67,7.56,7.59,13900
2020-08-28,7.75,7.75,7.64,7.67,21200
2020-08-31,7.58,7.68,7.58,7.59,40400
2020-09-01,7.65,7.75,7.65,7.73,37600
2020-09-02,7.91,8.06,7.91,8.06,28500
2020-09-03,8.14,8.14,7.93,7.95,17500
2020-09-04,7.77,7.83,7.69,7.82,18400
2020-09-08,7.82,7.82,7.75,7.78,32100
2020-09-09,7.75,7.93,7.75,7.93,15200
2020-09-10,7.75,7.76,7.55,7.56,33600
2020-09-11,7.66,7.77,7.66,7.72,19700
2020-09-14,7.97,7.97,7.83,7.85,22400
2020-09-15,7.99,8.0,7.95,7.97,33600
2020-09-16,7.94,8.06,7.9,7.9,12000
2020-09-17,7.79,7.94,7.78,7.89,20500
2020-09-18,8.1,8.14,8.05,8.05,36200
2020-09-21,8.06,8.06,7.96,8.05,23600
2020-09-22,7.83,7.84,7.76,7.84,14800
2020-09-23,7.85,7.86,7.72,7.76,21600
2020-09-24,7.55,7.71,7.54,7.68,18900
2020-09-25,7.56,7.66,7.48,7.62,5800
2020-09-28,7.46,7.75,7.46,7.75,11900
2020-09-29,7.68,7.68,7.56,7.62,11400
2020-09-30,7.53,7.53,7.32,7.38,42700
2020-10-01,7.43,7.45,7.37,7.39,34400
2020-10-02,7.31,7.5,7.31,7.49,46600
2020-10-05,7.46,7.74,7.46,7.61,22000
2020-10-06,7.7,7.72,7.55,7.59,18500
2020-10-07,7.94,7.94,7.68,7.72,11500
2020-10-08,7.81,7.89,7.69,7.82,20100
2020-10-09,7.85,7.95,7.85,7.94,9500
2020-10-12,7.73,7.92,7.68,7.89,13500
2020-10-13,7.5,7.72,7.5,7.67,13000
2020-10-14,7.27,7.55,7.27,7.47,15700
2020-10-15,7.27,7.57,7.27,7.54,42300
2020-10-16,7.58,7.58,7.49,7.5,8000
2020-10-19,7.77,7.78,7.67,7.73,23500
2020-10-20,7.72,7.75,7.7,7.7,14300
2020-10-21,7.68,7.86,7.68,7.8,18800
2020-10-22,7.81,7.88,7.8,7.85,8500
2020-10-23,7.78,7.87,7.74,7.87,4100
2020-10-26,7.69,7.83,7.69,7.73,10600
2020-10-27,7.36,7.72,7.36,7.63,14900
2020-10-28,7.23,7.49,7.23,7.34,37600
2020-10-29,7.2,7.2,7.14,7.2,39700
2020-10-30,7.12,7.12,7.05,7.05,22500
2020-11-02,7.26,7.26,7.06,7.23,13100
2020-11-03,7.3,7.64,7.3,7.62,15300
2020-11-04,7.8,7.8,7.46,7.49,47400
2020-11-05,7.36,7.84,7.36,7.69,28900
2020-11-06,7.76,7.82,7.7,7.78,9400
2020-11-09,8.05,8.18,8.05,8.08,32000
2020-11-10,8.16,8.22,8.1,8.15,31800
2020-11-11,8.08,8.23,8.08,8.12,29200
2020-11-12,7.82,8.09,7.82,7.91,16600
2020-11-13,7.93,8.05,7.85,7.95,18700
2020-11-16,8.25,8.25,8.06,8.1,6600
2020-11-17,8.14,8.3,8.13,8.28,21800
2020-11-18,8.16,8.39,8.16,8.35,8500
2020-11-19,8.39,8.4,8.31,8.37,16100
2020-11-20,8.46,8.49,8.41,8.45,10700
2020-11-23,8.34,8.6,8.34,8.55,16400
2020-11-24,8.7,8.96,8.7,8.96,24700
2020-11-25,8.85,8.95,8.84,8.9,26300
2020-11-27,9.0,9.09,8.99,9.09,17200
2020-11-30,9.0,9.0,8.48,8.74,37600
2020-12-01,8.66,9.01,8.66,8.96,19200
2020-12-02,9.01,9.15,9.01,9.07,29800
2020-12-03,9.15,9.43,9.15,9.42,28900
2020-12-04,9.53,9.77,9.53,9.75,53800
2020-12-07,9.94,9.94,9.52,9.52,31400
2020-12-08,9.32,9.64,9.32,9.61,8500
2020-12-09,9.61,9.67,9.51,9.56,9700
2020-12-10,9.4,9.8,9.4,9.79,44200
2020-12-11,9.61,9.61,9.53,9.59,5600
2020-12-14,9.66,9.83,9.65,9.69,11800
2020-12-15,9.64,9.8,9.64,9.79,23200
2020-12-16,9.73,9.9,9.73,9.85,15000
2020-12-17,9.95,10.03,9.86,10.03,11900
2020-12-18,9.92,9.92,9.72,9.79,30400
2020-12-21,9.58,9.66,9.46,9.61,21000
2020-12-22,9.52,9.52,9.23,9.42,20600
2020-12-23,9.39,9.54,9.39,9.53,9900
2020-12-24,9.5,9.63,9.44,9.63,6800
2020-12-28,9.75,9.8,9.35,9.61,26700
2020-12-29,9.4,9.54,9.35,9.47,32800
2020-12-30,9.5,9.6,9.5,9.5,19700
2020-12-31,9.65,9.65,9.48,9.52,24900
2021-01-04,9.37,9.67,9.37,9.51,37600
2021-01-05,9.5,9.74,9.5,9.7,22000
2021-01-06,9.91,9.91,9.67,9.87,74400
2021-01-07,10.0,10.1,9.99,10.07,26500
2021-01-08,9.99,10.02,9.94,10.02,90500
2021-01-11,9.95,10.06,9.93,9.99,47500
2021-01-12,10.06,10.2,10.05,10.14,39800
2021-01-13,10.25,10.48,10.25,10.4,99300
2021-01-14,10.31,10.61,10.31,10.58,27000
2021-01-15,10.28,10.3,10.08,10.3,15000
2021-01-19,9.9,10.4,9.86,10.15,64200
2021-01-20,10.16,10.44,10.16,10.42,24300
2021-01-21,10.27,10.3,10.2,10.29,26200
2021-01-22,10.31,10.65,10.31,10.6,22000
2021-01-25,10.68,10.68,10.25,10.51,24000
2021-01-26,10.55,10.67,10.5,10.62,17800
2021-01-27,10.1,10.1,9.92,10.03,29500
2021-01-28,9.99,10.18,9.94,10.11,35800
2021-01-29,9.83,9.87,9.62,9.72,32200
2021-02-01,9.76,10.44,9.76,10.24,22300
2021-02-02,10.68,10.68,10.49,10.68,49900
2021-02-03,10.14,10.62,10.09,10.45,72500
2021-02-04,10.38,10.5,10.38,10.47,42800
2021-02-05,10.29,10.29,10.2,10.25,32400
2021-02-08,10.22,10.22,10.06,10.14,26300
