date,open,high,low,close,volume
2020-08-19,9.71,9.81,9.12,9.13,549500
2020-08-20,9.19,9.48,9.14,9.39,192100
2020-08-21,9.28,9.28,9.03,9.22,119800
2020-08-24,9.23,9.32,9.11,9.29,155200
2020-08-25,9.25,9.27,9.11,9.24,164900
2020-08-26,9.19,9.24,8.87,9.15,257100
2020-08-27,9.23,9.23,8.99,9.15,182900
2020-08-28,9.24,9.44,9.19,9.4,412200
2020-08-31,9.28,9.29,9.13,9.13,174100
2020-09-01,9.3,9.62,9.3,9.55,128700
2020-09-02,9.55,9.55,9.06,9.13,241200
2020-09-03,9.19,9.27,8.85,9.01,163800
2020-09-04,8.97,9.13,8.84,8.87,148700
2020-09-08,8.75,8.84,8.64,8.66,190200
2020-09-09,8.89,8.97,8.76,8.91,110600
2020-09-10,8.78,8.9,8.66,8.66,132300
2020-09-11,8.7,8.75,8.41,8.54,116500
2020-09-14,8.61,8.77,8.54,8.77,91300
2020-09-15,8.7,9.22,8.7,9.18,254300
2020-09-16,9.08,9.11,8.9,8.99,75500
2020-09-17,8.93,9.42,8.82,9.33,143100
2020-09-18,9.28,9.72,9.25,9.25,308600
2020-09-21,9.07,9.14,8.69,8.9,124300
2020-09-22,8.73,8.82,8.56,8.61,139900
2020-09-23,8.4,8.47,8.27,8.28,208700
2020-09-24,8.2,8.5,8.09,8.28,105800
2020-09-25,8.32,8.67,8.26,8.62,191600
2020-09-28,8.72,8.79,8.18,8.47,197100
2020-09-29,8.46,8.65,8.28,8.28,181200
2020-09-30,8.34,8.39,8.05,8.17,142000
2020-10-01,8.03,8.29,7.95,8.19,247100
2020-10-02,8.28,8.44,8.05,8.14,1968100
2020-10-05,8.26,8.52,8.22,8.46,1076000
2020-10-06,8.79,8.81,8.38,8.52,561800
2020-10-07,8.63,8.77,8.43,8.56,403500
2020-10-08,8.51,8.82,8.42,8.78,315800
2020-10-09,8.76,8.9,8.68,8.8,232000
2020-10-12,8.98,9.0,8.7,8.85,95600
2020-10-13,8.74,8.8,8.53,8.75,395400
2020-10-14,8.77,8.82,8.53,8.59,322500
2020-10-15,8.43,8.61,8.37,8.56,295000
2020-10-16,8.81,9.11,8.8,8.94,381900
2020-10-19,9.16,9.25,8.82,8.85,337800
2020-10-20,8.92,9.12,8.87,9.02,298700
2020-10-21,8.92,9.11,8.89,8.89,147300
2020-10-22,9.02,9.17,8.91,9.16,260300
2020-10-23,9.07,9.08,8.97,9.03,211000
2020-10-26,8.97,9.14,8.89,9.02,180400
2020-10-27,8.95,8.97,8.7,8.74,122300
2020-10-28,8.63,8.63,8.32,8.37,370600
2020-10-29,8.36,8.67,8.33,8.65,188300
2020-10-30,9.01,9.11,8.59,8.66,630700
2020-11-02,8.71,8.8,8.67,8.78,191600
2020-11-03,9.03,9.14,8.96,9.1,256700
2020-11-04,9.06,9.18,8.86,9.1,179700
2020-11-05,9.02,9.31,8.96,9.26,185400
2020-11-06,9.15,9.4,9.08,9.2,391000
2020-11-09,9.08,9.16,8.94,9.01,479900
2020-11-10,8.9,8.99,8.79,8.81,420100
2020-11-11,9.02,9.03,8.87,8.93,315400
2020-11-12,8.95,8.97,8.8,8.86,125800
2020-11-13,9.32,9.46,9.23,9.46,413300
2020-11-16,9.48,9.77,9.48,9.76,169900
2020-11-17,9.83,9.91,9.56,9.57,285600
2020-11-18,9.44,9.57,9.34,9.43,200100
2020-11-19,9.5,9.52,9.36,9.43,180900
2020-11-20,9.31,9.46,9.25,9.42,153000
2020-11-23,9.38,9.4,9.22,9.29,275600
2020-11-24,9.29,9.37,9.16,9.32,729400
2020-11-25,9.46,9.5,9.24,9.49,237500
2020-11-27,10.4,10.47,10.25,10.31,776100
2020-11-30,10.34,10.48,10.23,10.43,876600
2020-12-01,10.84,11.05,10.69,11.01,693900
2020-12-02,10.67,10.67,10.36,10.38,323200
2020-12-03,10.24,10.3,9.9,10.06,369100
2020-12-04,10.24,10.39,10.16,10.23,378100
2020-12-07,10.28,10.41,10.1,10.33,324300
2020-12-08,10.26,10.39,10.12,10.24,171800
