date,open,high,low,close,volume
2020-08-19,56.0,56.52,55.41,56.09,7100
2020-08-20,55.88,56.11,55.25,56.01,7200
2020-08-21,55.82,56.54,55.21,56.5,4500
2020-08-24,57.0,57.0,55.93,55.94,3500
2020-08-25,55.71,55.71,53.01,54.03,9600
2020-08-26,56.28,56.28,55.5,55.67,1500
2020-08-27,55.65,55.65,55.2,55.29,1300
2020-08-28,55.98,55.98,54.66,54.92,4900
2020-08-31,54.7,54.73,53.07,53.77,2900
2020-09-01,51.98,55.21,51.98,55.15,7800
2020-09-02,55.49,55.49,55.07,55.07,800
2020-09-03,54.28,54.28,51.75,51.76,4000
2020-09-04,52.26,52.48,50.45,52.28,5400
2020-09-08,50.22,50.83,50.22,50.23,600
2020-09-09,50.23,50.23,50.23,50.23,0
2020-09-10,51.74,51.74,51.0,51.0,1600
2020-09-11,52.08,52.08,52.08,52.08,300
2020-09-14,51.73,55.52,51.73,55.52,4500
2020-09-15,55.87,55.9,54.75,54.91,4700
2020-09-16,54.27,54.43,53.43,53.43,4200
2020-09-17,52.35,54.17,52.35,53.79,5300
2020-09-18,55.0,55.12,53.06,53.06,800
2020-09-21,51.66,51.66,48.9,49.5,4300
2020-09-22,49.17,49.83,48.85,49.83,1100
2020-09-23,49.14,49.14,47.4,47.4,2000
2020-09-24,46.94,47.97,46.94,47.35,3800
2020-09-25,45.35,45.75,45.33,45.75,800
2020-09-28,47.16,47.16,46.66,46.66,10800
2020-09-29,46.27,46.27,46.27,46.27,200
2020-09-30,46.65,46.65,45.99,46.3,2100
2020-10-01,47.31,48.3,47.31,47.51,6700
2020-10-02,46.99,48.33,46.99,48.33,300
2020-10-05,50.41,50.54,50.35,50.35,2300
2020-10-06,50.29,50.29,48.31,48.52,8300
2020-10-07,48.6,48.61,48.0,48.0,3000
2020-10-08,48.22,48.48,47.2,47.6,1900
2020-10-09,47.02,47.55,46.98,47.04,1900
2020-10-12,47.0,47.0,47.0,47.0,700
2020-10-13,46.04,46.12,45.03,45.98,2300
2020-10-14,45.79,45.93,45.79,45.91,1000
2020-10-15,45.91,45.91,45.91,45.91,0
2020-10-16,46.19,46.19,45.79,45.79,1100
2020-10-19,47.57,47.57,47.57,47.57,300
2020-10-20,48.86,49.24,48.86,49.24,1600
2020-10-21,49.5,51.04,49.03,49.03,1200
2020-10-22,48.99,48.99,47.89,47.89,400
2020-10-23,49.0,49.0,48.15,48.33,700
2020-10-26,47.1,47.1,46.81,46.88,1100
2020-10-27,47.49,48.19,47.4,47.53,4100
2020-10-28,46.5,47.32,46.5,47.31,8400
2020-10-29,47.72,48.1,47.55,47.93,2100
2020-10-30,47.75,47.75,45.99,46.12,2000
2020-11-02,48.17,49.43,48.17,49.41,2800
2020-11-03,50.0,52.13,50.0,52.1,11000
2020-11-04,51.05,51.28,51.05,51.18,9200
2020-11-05,53.2,53.5,53.12,53.12,9500
2020-11-06,53.5,55.39,53.48,55.0,12000
2020-11-09,56.23,56.23,51.76,51.87,1500
2020-11-10,52.81,52.84,52.81,52.84,1000
2020-11-11,53.62,53.95,53.39,53.95,8500
2020-11-12,53.95,53.95,51.76,51.76,500
2020-11-13,52.33,53.17,52.33,53.17,300
2020-11-16,54.45,55.42,54.45,54.48,4900
2020-11-17,54.55,54.55,54.55,54.55,300
2020-11-18,55.8,56.26,55.8,55.91,10400
2020-11-19,55.25,55.25,53.13,54.81,4400
2020-11-20,54.75,54.75,53.83,53.84,3200
2020-11-23,54.99,55.38,54.76,55.32,3400
2020-11-24,55.72,57.66,55.72,57.43,6900
2020-11-25,57.95,58.1,56.37,56.59,2800
2020-11-27,56.57,56.57,54.75,55.11,1200
2020-11-30,54.64,55.83,54.43,55.57,4600
2020-12-01,56.74,59.06,56.74,58.52,8300
2020-12-02,57.67,58.53,57.18,58.53,2400
2020-12-03,58.64,60.7,58.64,60.7,6300
2020-12-04,60.96,63.17,60.86,63.11,2500
2020-12-07,62.48,63.13,61.97,62.18,2100
2020-12-08,62.53,62.75,62.37,62.55,1500
2020-12-09,63.95,65.0,63.86,64.64,7800
2020-12-10,66.0,66.0,64.93,65.34,2000
2020-12-11,66.39,66.39,64.95,65.97,1700
2020-12-14,66.39,66.39,65.2,65.2,1100
2020-12-15,65.84,66.88,65.44,66.88,1900
2020-12-16,66.46,66.46,65.62,66.0,4500
2020-12-17,66.21,67.34,66.06,66.38,3400
