date,open,high,low,close,volume
2020-08-19,19.89,20.36,19.67,20.1,3476900
2020-08-20,19.99,19.99,19.37,19.37,3922900
2020-08-21,19.41,19.56,19.1,19.52,3573600
2020-08-24,19.53,19.75,19.31,19.51,4083000
2020-08-25,19.56,19.68,19.1,19.29,3520400
2020-08-26,19.19,19.19,18.55,18.68,4823400
2020-08-27,18.78,19.11,18.74,19.07,2978100
2020-08-28,19.1,19.15,18.82,18.95,2812100
2020-08-31,18.85,19.06,18.56,18.97,4812600
2020-09-01,18.57,18.81,18.11,18.59,4683200
2020-09-02,18.47,18.56,18.11,18.17,4730300
2020-09-03,18.04,18.7,18.02,18.14,4000900
2020-09-04,18.24,18.48,18.01,18.33,4430300
2020-09-08,18.05,18.2,17.44,17.88,6192300
2020-09-09,18.05,18.63,17.95,18.58,4876700
2020-09-10,18.67,18.7,18.15,18.2,4818800
2020-09-11,18.29,18.39,18.02,18.24,3878500
2020-09-14,18.34,18.8,18.28,18.61,3990300
2020-09-15,18.7,18.84,18.41,18.68,3890600
2020-09-16,18.96,19.51,18.88,19.3,4470600
2020-09-17,19.0,19.41,18.74,19.41,6384400
2020-09-18,19.44,19.73,19.2,19.39,6629200
2020-09-21,19.19,19.47,19.03,19.45,4925800
2020-09-22,19.38,19.82,19.3,19.41,4695900
2020-09-23,19.56,19.59,18.62,18.65,4098100
2020-09-24,18.73,19.05,18.54,18.74,4266100
2020-09-25,18.47,18.64,18.02,18.12,4274000
2020-09-28,18.24,18.29,18.04,18.07,3393400
2020-09-29,17.86,18.04,17.33,17.64,5966500
2020-09-30,17.65,17.75,17.18,17.36,4253400
2020-10-01,17.26,17.48,16.82,16.85,5552200
2020-10-02,16.47,17.22,16.41,17.01,4434900
2020-10-05,17.2,17.77,17.05,17.74,3835700
2020-10-06,17.91,18.18,17.58,17.61,3715900
2020-10-07,17.84,18.37,17.72,18.26,4793100
2020-10-08,18.11,18.52,18.03,18.49,4257800
2020-10-09,18.75,18.97,18.42,18.93,4311300
2020-10-12,18.9,19.66,18.71,19.57,4950900
2020-10-13,19.56,19.87,19.16,19.3,6068500
2020-10-14,19.16,19.33,18.99,19.19,4078900
2020-10-15,19.27,19.58,19.03,19.47,3409300
2020-10-16,19.39,19.59,19.08,19.1,2906000
2020-10-19,19.22,19.39,18.86,19.08,3327700
2020-10-20,19.15,19.51,19.08,19.27,2938200
2020-10-21,19.3,19.8,19.04,19.18,5539100
2020-10-22,19.22,20.33,19.17,20.17,7587000
2020-10-23,20.2,20.25,19.59,19.68,5681400
2020-10-26,19.85,19.85,19.09,19.34,4665000
2020-10-27,19.2,19.35,18.97,19.09,4243700
2020-10-28,18.74,18.91,18.15,18.17,6783300
2020-10-29,17.85,18.43,17.65,18.39,5301800
2020-10-30,17.98,18.39,17.21,17.79,7503000
2020-11-02,17.99,18.02,17.08,17.42,8029400
2020-11-03,17.54,17.87,16.79,16.8,5440100
2020-11-04,16.73,16.78,16.0,16.01,7655700
2020-11-05,16.12,17.02,16.12,16.45,6627300
2020-11-06,16.58,17.05,16.27,16.44,5567800
2020-11-09,17.23,17.48,15.76,16.65,11007300
2020-11-10,16.78,17.21,16.41,17.19,5575900
2020-11-11,17.39,17.5,17.0,17.28,4404300
2020-11-12,17.05,17.36,16.68,16.91,3451300
2020-11-13,17.06,17.71,17.05,17.62,4712900
2020-11-16,17.59,17.67,16.7,17.05,7033700
2020-11-17,16.95,17.25,16.9,17.18,4028500
2020-11-18,17.3,17.43,16.73,16.74,5634500
2020-11-19,16.53,17.23,16.29,17.18,6767500
2020-11-20,17.15,17.35,16.9,17.07,4498200
2020-11-23,17.16,17.65,17.05,17.63,4953900
2020-11-24,17.94,18.14,17.63,18.03,4980100
2020-11-25,17.97,17.97,17.53,17.77,3298100
2020-11-27,17.61,18.07,17.5,17.77,2122700
2020-11-30,17.74,17.85,17.43,17.52,7331800
2020-12-01,17.85,18.04,17.25,17.38,5593700
2020-12-02,17.2,17.64,16.94,17.05,5060400
2020-12-03,16.73,16.95,15.88,15.92,13557700
2020-12-04,15.92,16.44,15.92,16.44,8804700
2020-12-07,16.08,16.55,16.06,16.53,8927900
2020-12-08,16.26,16.73,16.1,16.42,6743400
2020-12-09,16.56,16.91,16.39,16.77,6461800
2020-12-10,16.89,17.66,16.86,17.65,7034700
2020-12-11,17.36,17.47,16.57,17.0,10706800
2020-12-14,17.24,17.59,16.92,17.25,6866400
2020-12-15,17.36,17.68,17.18,17.32,4799200
2020-12-16,17.23,17.36,16.85,17.02,5696700
2020-12-17,17.08,17.27,16.92,17.23,5752800
2020-12-18,17.25,17.28,16.63,16.97,13769400
2020-12-21,16.63,17.09,16.52,16.86,5251900
2020-12-22,16.89,16.99,16.75,16.79,3049900
2020-12-23,16.73,17.36,16.71,17.17,3517400
2020-12-24,17.23,17.23,16.83,16.94,1735900
2020-12-28,16.66,16.82,16.36,16.48,7841700
2020-12-29,16.65,16.68,16.05,16.08,4050900
2020-12-30,16.1,16.6,16.02,16.47,4277000
2020-12-31,16.5,16.54,16.11,16.28,3543000
2021-01-04,16.49,16.81,16.3,16.6,4625900
2021-01-05,16.8,17.25,16.7,16.76,6325000
2021-01-06,16.42,17.09,16.33,17.07,7647300
2021-01-07,17.1,17.59,16.84,17.42,5839200
2021-01-08,17.4,17.49,17.13,17.27,4574900
2021-01-11,16.99,18.12,16.95,18.04,5458600
2021-01-12,18.27,18.94,18.06,18.58,8197100
2021-01-13,18.61,19.18,18.46,18.92,5966600
2021-01-14,19.01,19.51,18.88,19.3,4240100
2021-01-15,19.18,19.43,19.01,19.07,5080200
2021-01-19,18.98,19.14,18.6,18.61,5021000
2021-01-20,18.52,18.64,18.17,18.32,5172400
2021-01-21,18.24,18.62,17.92,18.36,4136800
2021-01-22,18.1,18.63,17.88,18.54,4295200
2021-01-25,18.65,19.22,18.37,18.69,5322900
2021-01-26,18.83,19.05,18.38,18.39,3303900
2021-01-27,18.25,19.26,17.93,19.05,6895600
2021-01-28,19.15,19.19,18.24,18.38,5613200
2021-01-29,18.3,19.08,18.17,18.33,6913200
2021-02-01,18.75,19.05,18.5,18.61,5675300
2021-02-02,19.09,19.1,18.26,18.27,4339100
2021-02-03,18.12,19.15,18.12,18.94,4955000
2021-02-04,18.99,19.12,18.76,18.87,4326200
2021-02-05,19.0,19.08,17.56,17.56,12536700
2021-02-08,17.68,17.92,17.42,17.81,5946100
2021-02-09,17.62,17.74,17.27,17.49,7108600
2021-02-10,17.63,17.84,17.43,17.81,5471600
2021-02-11,17.86,17.96,17.17,17.41,4800300
2021-02-12,17.3,18.26,17.27,18.23,3433600
2021-02-16,18.62,18.75,17.96,18.31,6500900
2021-02-17,18.45,18.76,18.0,18.58,7250100
2021-02-18,18.49,18.58,17.93,18.06,8392800
2021-02-19,18.2,18.72,18.16,18.56,4375100
2021-02-22,18.59,18.93,18.27,18.34,5161200
2021-02-23,18.49,18.49,17.37,18.06,5205000
2021-02-24,18.47,19.3,17.96,19.2,9807400
2021-02-25,18.98,19.24,18.74,18.91,8331100
2021-02-26,18.89,19.06,18.06,18.51,5675000
2021-03-01,18.65,19.01,18.31,18.86,6303200
2021-03-02,18.92,19.27,18.75,18.77,4787800
2021-03-03,18.9,19.07,18.67,18.68,4702200
2021-03-04,18.72,19.23,18.38,18.65,7940900
2021-03-05,18.86,19.11,18.18,18.97,6253800
2021-03-08,19.23,19.28,18.77,19.07,7262700
2021-03-09,18.8,19.1,18.51,18.53,5339000
2021-03-10,18.66,19.32,18.51,19.19,6434100
2021-03-11,19.2,19.55,19.01,19.3,4984400
2021-03-12,19.41,19.48,18.68,18.8,4799400
2021-03-15,18.8,19.15,18.57,18.96,4999900
2021-03-16,18.8,19.08,18.62,18.85,3127900
2021-03-17,18.87,18.97,18.49,18.53,5989600
2021-03-18,18.43,18.46,17.85,17.89,7096700
2021-03-19,17.93,18.23,17.74,18.05,9950700
2021-03-22,17.81,18.18,17.61,18.0,4502900
2021-03-23,17.73,18.27,17.65,17.96,5565400
2021-03-24,18.05,18.52,18.03,18.23,4448200
2021-03-25,18.1,18.78,18.1,18.72,6089100
2021-03-26,18.92,19.26,18.84,19.18,5357100
2021-03-29,19.1,19.44,18.97,19.23,3524000
2021-03-30,19.02,19.13,18.64,18.79,5357200
2021-03-31,18.7,18.97,18.54,18.78,6310100
2021-04-01,18.91,19.25,18.66,19.09,7223300
2021-04-05,18.87,19.13,18.44,18.55,6308300
2021-04-06,18.74,18.74,18.32,18.49,5411000
2021-04-07,18.48,18.7,18.2,18.48,5053300
2021-04-08,18.33,18.41,17.59,17.85,7117000
2021-04-09,17.92,17.98,17.3,17.38,5894500
2021-04-12,17.55,17.65,16.9,16.96,7062300
2021-04-13,16.89,17.1,16.63,16.72,5523700
2021-04-14,16.81,17.28,16.78,16.94,7538600
2021-04-15,16.95,16.98,16.62,16.83,5565500
2021-04-16,16.79,16.85,16.53,16.56,4992300
2021-04-19,16.54,16.79,16.42,16.54,7239100
2021-04-20,16.47,16.57,16.16,16.38,5297300
2021-04-21,16.22,16.56,16.21,16.4,4239200
2021-04-22,16.46,16.56,16.16,16.37,6452700
2021-04-23,16.22,16.3,15.99,16.12,7298800
2021-04-26,16.12,16.46,16.04,16.44,5114500
2021-04-27,16.41,16.82,16.4,16.79,5342800
2021-04-28,16.87,17.17,16.84,16.97,5719300
2021-04-29,17.1,17.25,16.8,17.06,5531800
2021-04-30,17.17,17.49,16.39,16.67,11212300
2021-05-03,16.81,17.21,16.72,17.08,10325100
2021-05-04,16.99,17.26,16.71,17.19,7793600
2021-05-05,17.29,17.5,16.97,17.47,7456400
2021-05-06,17.5,17.55,17.09,17.11,7875000
2021-05-07,17.0,17.45,16.92,17.39,5769100
2021-05-10,17.62,17.96,17.56,17.7,5531500
