date,open,high,low,close,volume
2020-08-19,33.94,34.85,33.77,34.41,84200
2020-08-20,34.34,34.74,33.83,34.3,60200
2020-08-21,34.1,34.74,34.1,34.31,80900
2020-08-24,34.5,34.59,33.31,33.34,89600
2020-08-25,33.26,33.51,31.8,32.39,108800
2020-08-26,32.65,33.05,30.65,30.71,177200
2020-08-27,31.22,31.81,30.73,31.21,49500
2020-08-28,31.39,32.75,31.31,32.26,43900
2020-08-31,32.03,33.22,31.91,32.98,53000
2020-09-01,32.98,33.79,32.78,33.4,68600
2020-09-02,33.4,33.94,33.16,33.63,96700
2020-09-03,33.31,33.63,32.84,32.94,89300
2020-09-04,32.9,33.17,30.92,31.96,78300
2020-09-08,31.0,32.0,30.82,31.39,43700
2020-09-09,31.39,32.15,31.09,32.01,31700
2020-09-10,32.1,32.22,31.08,31.5,32100
2020-09-11,31.49,31.78,30.76,30.94,48800
2020-09-14,31.56,33.13,31.56,32.3,64600
2020-09-15,32.84,33.07,30.81,30.81,88200
2020-09-16,31.44,32.92,31.19,32.04,41000
2020-09-17,31.29,32.22,30.9,31.73,78700
2020-09-18,31.7,31.74,30.91,31.36,198300
2020-09-21,30.54,30.75,29.71,30.52,63500
2020-09-22,30.84,31.25,29.78,29.8,58600
2020-09-23,29.62,30.09,26.51,26.51,163400
2020-09-24,26.16,27.96,26.16,26.82,69000
2020-09-25,26.6,27.47,26.04,27.19,77400
2020-09-28,27.71,28.28,27.4,27.97,39000
2020-09-29,27.82,28.93,27.6,28.86,33300
2020-09-30,29.0,29.0,28.36,28.36,81800
2020-10-01,28.63,28.81,28.01,28.3,85200
2020-10-02,27.15,28.11,26.67,28.11,59300
2020-10-05,28.75,28.78,27.78,28.4,45300
2020-10-06,28.5,29.34,28.05,28.63,57000
2020-10-07,28.62,28.8,27.85,28.47,44700
2020-10-08,28.94,29.87,28.45,29.75,41500
2020-10-09,30.05,30.29,29.03,29.07,58400
2020-10-12,29.58,29.82,29.14,29.55,25100
2020-10-13,29.3,29.3,28.25,28.29,33900
2020-10-14,28.44,29.26,28.07,28.07,43300
2020-10-15,28.07,28.74,27.75,27.94,38300
2020-10-16,28.15,28.48,27.27,27.27,106800
2020-10-19,27.62,28.39,27.16,27.67,68400
2020-10-20,27.72,28.72,27.72,28.25,27400
2020-10-21,28.32,28.56,27.5,27.81,24000
2020-10-22,27.95,28.98,27.89,28.02,49100
2020-10-23,28.28,28.72,26.75,27.3,49800
2020-10-26,26.81,27.11,26.22,26.46,50100
2020-10-27,26.46,26.9,26.25,26.57,26300
2020-10-28,26.2,26.57,25.85,26.57,43500
2020-10-29,26.77,26.9,26.05,26.61,65200
2020-10-30,26.61,26.77,26.0,26.52,41000
2020-11-02,26.86,28.22,26.56,27.16,51200
2020-11-03,27.44,28.2,27.0,27.84,48600
2020-11-04,28.61,29.22,27.62,29.0,87500
2020-11-05,26.51,27.74,26.51,27.64,83500
2020-11-06,27.41,27.5,25.2,25.31,112700
2020-11-09,26.89,27.12,25.6,26.0,101900
2020-11-10,26.47,27.75,26.19,27.16,65500
2020-11-11,27.25,27.25,26.12,27.16,35200
2020-11-12,27.35,27.68,26.4,26.83,57600
2020-11-13,27.1,27.55,26.5,26.72,44200
2020-11-16,27.24,28.22,27.0,27.71,44900
2020-11-17,27.83,28.08,27.09,28.02,28600
2020-11-18,28.08,28.89,27.59,27.77,47500
2020-11-19,28.16,28.87,27.52,28.68,25400
2020-11-20,28.56,30.3,28.4,30.27,71500
2020-11-23,30.3,30.3,29.06,29.66,70300
2020-11-24,30.0,30.25,29.29,29.64,38000
2020-11-25,29.63,30.7,29.25,30.67,60800
2020-11-27,30.25,30.53,29.57,29.71,29000
2020-11-30,29.77,30.4,28.99,30.28,86700
2020-12-01,30.7,30.7,28.11,28.41,76200
2020-12-02,28.34,29.99,28.11,29.16,32100
2020-12-03,29.32,30.33,28.96,29.8,33500
2020-12-04,29.8,31.2,29.8,30.81,41300
2020-12-07,31.07,31.07,29.52,29.75,69500
2020-12-08,29.75,31.1,29.75,30.64,75900
2020-12-09,31.21,31.55,30.6,30.84,34200
2020-12-10,30.76,31.37,30.75,31.15,45700
2020-12-11,30.9,31.3,30.48,30.71,26000
2020-12-14,31.36,31.36,29.9,30.0,43300
2020-12-15,30.26,30.99,30.06,30.89,27100
2020-12-16,30.66,30.79,30.1,30.18,21400
2020-12-17,30.77,30.77,29.85,29.95,63200
2020-12-18,30.33,30.33,29.75,29.93,84800
2020-12-21,29.6,30.75,29.32,30.75,37700
2020-12-22,30.41,30.97,30.26,30.37,22000
2020-12-23,30.25,30.8,29.69,29.81,83300
2020-12-24,29.83,30.69,29.8,30.0,21500
2020-12-28,30.45,31.0,30.03,30.06,40500
2020-12-29,30.0,32.46,30.0,31.65,85800
2020-12-30,31.84,32.42,31.05,31.79,45000
2020-12-31,31.31,32.0,30.77,32.0,45400
2021-01-04,32.1,32.73,31.01,31.42,78200
2021-01-05,31.72,32.94,31.2,31.75,38900
2021-01-06,32.0,32.57,31.65,32.02,33400
2021-01-07,32.5,32.68,31.78,31.87,34800
2021-01-08,32.14,34.49,32.04,34.18,214600
2021-01-11,33.54,34.86,33.5,34.6,52000
2021-01-12,34.77,35.88,34.45,35.53,42600
2021-01-13,35.77,35.78,34.57,35.09,33900
2021-01-14,35.08,36.0,34.58,35.64,30100
2021-01-15,35.65,35.65,33.19,35.0,148800
2021-01-19,35.84,37.5,35.71,37.09,141100
2021-01-20,37.48,39.34,36.99,38.86,128600
2021-01-21,38.64,38.95,36.68,37.28,128700
2021-01-22,37.05,38.23,36.5,38.18,30400
2021-01-25,38.28,39.75,38.01,39.5,74500
2021-01-26,39.5,40.58,38.36,40.01,90900
2021-01-27,39.55,40.22,38.5,39.15,63700
2021-01-28,39.15,39.6,37.26,38.05,104200
2021-01-29,38.17,39.1,37.36,38.37,127900
2021-02-01,38.02,38.42,36.04,36.49,270400
2021-02-02,36.41,36.92,35.16,36.17,72500
2021-02-03,36.66,37.8,36.18,37.02,59300
2021-02-04,37.39,37.79,36.52,37.24,40700
2021-02-05,37.67,38.84,37.41,38.31,51200
2021-02-08,38.38,41.0,38.05,39.28,180000
2021-02-09,39.0,39.63,38.8,39.4,54000
2021-02-10,39.57,39.95,38.98,39.72,39200
2021-02-11,39.6,40.19,39.02,39.87,40400
2021-02-12,39.76,40.7,39.75,40.7,36700
2021-02-16,41.12,41.86,40.33,40.7,48100
2021-02-17,41.0,41.99,39.59,41.41,90700
2021-02-18,41.43,41.59,39.55,40.73,55400
2021-02-19,41.04,41.98,40.45,41.89,79100
2021-02-22,41.92,43.15,41.06,41.32,70600
2021-02-23,41.0,42.77,39.0,42.33,91500
2021-02-24,41.97,42.72,35.19,39.48,637100
2021-02-25,39.0,39.97,36.6,37.77,259900
2021-02-26,37.99,39.0,36.5,36.88,623800
2021-03-01,36.51,38.2,36.51,37.44,74800
2021-03-02,37.49,38.11,36.21,37.04,112300
2021-03-03,36.71,37.48,36.14,36.15,40900
2021-03-04,35.91,36.91,34.55,35.54,83700
2021-03-05,36.37,37.5,33.6,35.44,92300
2021-03-08,35.94,36.85,35.1,35.3,40500
2021-03-09,35.0,36.25,34.58,34.7,90200
2021-03-10,34.7,36.93,34.7,36.17,63400
2021-03-11,36.34,37.3,35.9,36.73,52200
2021-03-12,36.39,37.39,36.16,37.03,31900
2021-03-15,37.04,37.96,36.9,37.24,31600
2021-03-16,37.56,37.56,35.37,36.1,95800
2021-03-17,36.44,36.67,35.29,36.63,40800
2021-03-18,36.37,37.44,35.5,35.55,63000
2021-03-19,36.16,36.95,35.73,36.1,103200
2021-03-22,36.49,36.69,35.72,36.65,47300
2021-03-23,36.65,36.75,35.3,35.3,37700
2021-03-24,35.62,36.28,35.11,35.33,39400
2021-03-25,35.0,36.25,34.36,36.02,45100
2021-03-26,36.7,36.85,35.92,36.85,22100
2021-03-29,36.85,37.56,36.01,36.15,13500
2021-03-30,36.15,36.45,35.5,35.5,19400
2021-03-31,35.48,36.63,35.48,35.99,17500
2021-04-01,36.39,37.3,36.0,36.97,30600
2021-04-05,37.5,37.74,36.78,37.61,21300
2021-04-06,37.47,38.7,37.08,37.18,26300
2021-04-07,37.18,38.66,37.18,38.48,23100
2021-04-08,37.97,38.5,37.9,38.21,22400
2021-04-09,38.13,38.5,37.05,37.73,25100
2021-04-12,38.39,39.9,37.76,39.75,120000
2021-04-13,39.71,39.75,37.5,37.65,51300
2021-04-14,37.9,38.99,36.93,37.54,58600
2021-04-15,37.91,38.58,36.93,38.45,22300
2021-04-16,38.59,39.42,37.85,38.41,44500
2021-04-19,38.25,38.97,37.5,38.23,30200
2021-04-20,38.2,38.7,36.91,37.45,31900
2021-04-21,37.73,38.98,37.73,38.98,22100
2021-04-22,39.06,39.07,38.11,38.32,35000
2021-04-23,38.5,39.2,38.33,38.69,28700
2021-04-26,38.9,39.69,38.65,39.28,57100
2021-04-27,39.51,40.3,39.23,39.61,49700
2021-04-28,39.62,40.56,38.8,40.35,38700
2021-04-29,40.66,41.8,40.04,41.22,49600
2021-04-30,41.83,42.19,41.07,41.6,66100
2021-05-03,42.2,42.48,40.68,42.47,60700
2021-05-04,42.68,42.77,41.01,42.25,80700
2021-05-05,43.0,43.7,42.02,43.62,61600
2021-05-06,44.02,44.02,40.13,40.75,153000
2021-05-07,39.0,39.82,37.73,39.2,153200
2021-05-10,38.69,39.13,38.03,38.86,132600
2021-05-11,38.81,39.23,37.51,38.31,64700
2021-05-12,38.5,39.94,37.78,39.77,79900
2021-05-13,39.52,40.41,39.07,40.3,66200
2021-05-14,40.79,41.5,40.39,41.13,40100
2021-05-17,41.45,42.42,41.06,42.11,64800
2021-05-18,42.23,42.75,41.08,42.49,64100
2021-05-19,41.5,42.85,41.06,41.62,51000
2021-05-20,41.99,42.21,41.23,41.91,41100
2021-05-21,42.25,42.8,41.78,42.62,28400
2021-05-24,43.03,44.0,42.63,43.45,68200
2021-05-25,43.99,44.67,43.51,43.81,73100
2021-05-26,44.23,47.5,43.77,44.5,225200
2021-05-27,44.69,46.01,43.95,44.93,94000
2021-05-28,44.24,44.8,43.79,43.79,128200
2021-06-01,44.59,44.59,42.26,42.71,101800
2021-06-02,42.99,43.1,41.51,42.28,94700
2021-06-03,42.27,42.95,42.08,42.43,26600
2021-06-04,42.35,43.63,42.05,42.39,14900
2021-06-07,42.91,43.61,42.12,42.94,17700
2021-06-08,42.64,43.96,42.64,43.4,32400
2021-06-09,44.11,44.11,43.11,43.25,18100
2021-06-10,43.25,44.7,43.19,44.1,20100
2021-06-11,44.59,44.88,44.11,44.25,57200
2021-06-14,44.25,44.99,42.6,42.93,58900
2021-06-15,42.74,43.51,42.03,42.9,41400
2021-06-16,42.47,43.08,42.1,42.67,31400
2021-06-17,42.44,43.75,41.5,41.95,70500
2021-06-18,41.5,42.92,41.0,42.39,170300
2021-06-21,42.77,43.68,41.25,41.67,99200
2021-06-22,41.45,41.91,38.62,40.77,170200
2021-06-23,41.42,42.95,40.81,42.55,47600
2021-06-24,42.6,42.99,41.78,42.52,36300
2021-06-25,43.16,43.27,41.61,41.61,30200
2021-06-28,41.42,42.06,40.03,41.0,46000
2021-06-29,41.0,41.89,40.93,41.31,15700
2021-06-30,41.69,42.27,41.3,41.96,18000
2021-07-01,42.19,43.49,41.22,42.85,57600
