date,open,high,low,close,volume
2020-08-19,6.75,6.82,6.58,6.68,49200
2020-08-20,6.68,6.76,6.61,6.72,72000
2020-08-21,6.72,6.82,6.66,6.72,64800
2020-08-24,6.72,6.81,6.67,6.68,17000
2020-08-25,6.8,6.82,6.59,6.59,15600
2020-08-26,6.7,6.7,6.38,6.46,32000
2020-08-27,6.5,6.57,6.34,6.36,27400
2020-08-28,6.36,6.46,6.3,6.36,36800
2020-08-31,6.43,6.62,6.43,6.58,84000
2020-09-01,6.38,6.55,6.38,6.43,34000
2020-09-02,6.41,6.91,6.4,6.91,94600
2020-09-03,6.83,6.95,6.5,6.65,91600
2020-09-04,6.72,6.72,6.35,6.45,67400
2020-09-08,6.26,6.64,6.25,6.4,34800
2020-09-09,6.5,6.5,6.12,6.2,37400
2020-09-10,6.2,6.27,6.07,6.07,90800
2020-09-11,6.11,6.11,5.93,5.99,116600
2020-09-14,6.04,6.23,6.03,6.03,22200
2020-09-15,6.22,6.22,5.8,5.84,87400
2020-09-16,6.08,6.25,5.95,6.16,30400
2020-09-17,5.97,6.25,5.89,6.25,11000
2020-09-18,6.2,6.2,5.99,5.99,78400
2020-09-21,5.82,6.01,5.72,5.85,26200
2020-09-22,5.89,5.95,5.7,5.77,49800
2020-09-23,5.78,5.88,5.62,5.62,34600
2020-09-24,5.57,5.7,5.22,5.51,32000
2020-09-25,5.38,5.64,5.38,5.55,12400
2020-09-28,5.68,5.74,5.47,5.47,12000
2020-09-29,5.6,5.64,5.45,5.51,13600
2020-09-30,5.5,5.64,5.43,5.55,35000
2020-10-01,5.57,5.6,5.35,5.35,19400
2020-10-02,5.3,5.58,5.3,5.4,49800
2020-10-05,5.45,5.65,5.38,5.51,37000
2020-10-06,5.55,5.65,5.34,5.35,57200
2020-10-07,5.41,5.47,5.2,5.36,35800
2020-10-08,5.35,5.47,5.13,5.24,330000
2020-10-09,5.54,5.54,5.2,5.22,71200
2020-10-12,5.25,5.29,5.13,5.16,44800
2020-10-13,5.16,5.3,5.07,5.28,93200
2020-10-14,5.16,5.36,5.16,5.24,61000
2020-10-15,5.21,5.24,5.07,5.07,58000
2020-10-16,5.07,5.18,5.03,5.03,54800
2020-10-19,5.1,5.18,4.76,4.78,233400
2020-10-20,4.8,5.03,4.78,4.86,56200
2020-10-21,5.07,5.07,4.81,4.83,36400
2020-10-22,4.9,5.03,4.88,4.97,106600
2020-10-23,5.01,5.07,4.87,5.03,45600
2020-10-26,4.99,5.03,4.95,5.01,41200
2020-10-27,4.95,4.95,4.86,4.88,39400
2020-10-28,4.8,4.9,4.75,4.8,66400
2020-10-29,4.76,4.89,4.72,4.82,27400
2020-10-30,4.82,4.97,4.73,4.82,17800
2020-11-02,4.86,5.0,4.82,4.82,36000
2020-11-03,4.89,5.09,4.85,4.95,78800
2020-11-04,4.97,5.05,4.8,5.01,300400
2020-11-05,9.14,15.95,8.36,15.27,24032800
2020-11-06,14.26,16.25,13.26,14.62,1703600
2020-11-09,15.85,17.5,15.76,16.62,621400
2020-11-10,16.58,18.25,16.58,17.91,377400
2020-11-11,17.89,18.24,15.88,16.78,418400
2020-11-12,16.75,16.8,16.19,16.33,123400
2020-11-13,16.44,16.82,16.37,16.69,123800
2020-11-16,17.01,17.75,17.0,17.5,135400
2020-11-17,17.56,19.0,17.44,19.0,188400
2020-11-18,19.6,20.44,19.05,19.92,258400
2020-11-19,19.81,19.81,18.52,18.99,184600
2020-11-20,19.53,19.53,18.59,18.68,178000
2020-11-23,18.68,19.6,18.68,19.18,312400
2020-11-24,19.75,22.0,19.61,19.94,280400
2020-11-25,21.22,21.44,19.94,20.23,206600
2020-11-27,20.41,20.89,19.81,20.0,54200
2020-11-30,19.95,20.23,19.52,19.56,164200
2020-12-01,19.84,20.28,18.01,18.75,115800
2020-12-02,18.84,19.62,18.5,19.62,111000
2020-12-03,19.86,20.81,19.86,20.5,161000
2020-12-04,21.0,25.47,20.9,24.83,708000
2020-12-07,25.0,25.0,23.08,23.15,138400
2020-12-08,23.2,23.25,22.0,22.18,152200
2020-12-09,22.36,23.5,21.43,21.43,103000
2020-12-10,22.8,24.5,22.8,24.17,237200
2020-12-11,24.19,24.38,22.77,23.0,85400
2020-12-14,23.84,24.17,21.86,22.15,124800
