date,open,high,low,close,volume
2020-08-19,9.79,10.3,9.67,10.02,4365500
2020-08-20,9.87,10.02,9.66,9.68,2971600
2020-08-21,9.64,9.74,9.01,9.05,3309900
2020-08-24,9.34,9.79,9.13,9.67,3322400
2020-08-25,9.87,10.06,9.67,9.95,1685700
2020-08-26,9.9,9.97,9.51,9.6,1683100
2020-08-27,9.68,9.95,9.36,9.9,2208800
2020-08-28,9.87,10.03,9.7,9.98,1922600
2020-08-31,9.91,9.99,9.65,9.73,2834800
2020-09-01,9.64,10.3,9.53,10.17,3090400
2020-09-02,10.06,10.08,9.28,9.34,5242300
2020-09-03,9.24,9.71,9.2,9.4,2427600
2020-09-04,9.57,9.74,9.2,9.51,1766500
2020-09-08,9.11,9.15,8.55,8.74,2203600
2020-09-09,8.99,9.22,8.72,9.14,1538900
2020-09-10,9.05,9.09,8.16,8.17,2890000
2020-09-11,8.21,8.37,7.87,8.01,1992400
2020-09-14,8.24,8.66,7.98,8.53,2269400
2020-09-15,8.67,8.92,8.47,8.67,2091900
2020-09-16,8.81,9.39,8.73,9.05,2961800
2020-09-17,8.84,9.08,8.61,9.02,2774600
2020-09-18,9.04,9.12,8.58,8.85,4559700
2020-09-21,8.49,8.6,7.99,8.54,3000700
2020-09-22,8.89,9.41,8.7,8.82,2593500
2020-09-23,8.88,8.9,8.07,8.07,2520200
2020-09-24,8.0,8.34,7.84,8.08,2322000
2020-09-25,7.93,8.14,7.71,8.08,3826100
2020-09-28,8.32,8.74,8.16,8.58,2664400
2020-09-29,8.54,8.57,7.87,8.34,2316400
2020-09-30,8.33,8.66,8.21,8.26,2608400
2020-10-01,8.07,8.19,7.82,8.1,3008800
2020-10-02,7.74,8.42,7.74,8.29,3157000
2020-10-05,8.52,8.86,8.46,8.8,2551600
2020-10-06,9.0,9.2,8.31,8.32,2446900
2020-10-07,8.44,8.78,8.3,8.73,2352200
2020-10-08,8.85,9.4,8.68,9.4,2477800
2020-10-09,9.45,9.56,9.06,9.14,2291100
2020-10-12,9.03,9.05,8.61,8.95,1870600
2020-10-13,8.93,9.06,8.66,8.77,1634400
2020-10-14,8.87,9.4,8.74,8.94,3778700
2020-10-15,8.69,9.09,8.44,9.06,2337800
2020-10-16,8.95,9.07,8.59,8.59,1590300
2020-10-19,8.66,8.76,8.16,8.16,2430800
2020-10-20,8.25,8.78,8.13,8.57,2698500
2020-10-21,8.42,8.65,8.23,8.39,2595400
2020-10-22,8.46,8.92,8.37,8.87,3400500
2020-10-23,8.97,9.15,8.74,8.99,1641900
2020-10-26,8.74,8.74,8.1,8.18,2699300
2020-10-27,8.12,8.26,8.04,8.16,2309900
2020-10-28,7.83,7.96,6.74,6.96,7659700
2020-10-29,6.7,7.05,6.29,6.91,4745300
2020-10-30,6.81,7.12,6.69,7.07,3089000
2020-11-02,7.1,7.39,6.76,7.21,4179000
2020-11-03,7.52,7.9,7.22,7.31,4932100
2020-11-04,7.43,7.48,6.87,6.93,5729900
2020-11-05,6.93,7.55,6.89,7.18,3983000
2020-11-06,7.3,7.35,6.47,6.48,3691300
2020-11-09,7.53,8.57,7.26,8.32,7502600
2020-11-10,8.58,8.58,7.74,8.48,3529400
2020-11-11,8.57,8.61,7.93,8.14,2854200
2020-11-12,7.93,8.05,7.5,7.59,3114700
2020-11-13,7.63,8.28,7.6,8.16,5761000
2020-11-16,8.57,8.94,8.42,8.81,2831500
2020-11-17,8.55,9.25,8.43,9.09,2674400
2020-11-18,9.23,9.83,9.08,9.09,3121500
2020-11-19,9.02,9.46,8.91,9.42,2074900
2020-11-20,9.33,9.59,9.18,9.54,2162200
2020-11-23,9.85,10.78,9.66,10.63,4602200
2020-11-24,11.17,11.78,11.09,11.66,3709700
2020-11-25,11.5,11.68,10.97,11.51,4223500
2020-11-27,11.37,11.55,10.84,10.98,1345000
2020-11-30,10.71,11.08,10.16,10.18,2835800
2020-12-01,10.64,10.79,10.16,10.3,1780900
2020-12-02,10.3,11.22,10.22,10.56,2547600
2020-12-03,10.65,10.9,10.42,10.65,2824900
2020-12-04,11.0,11.8,11.0,11.75,3226300
2020-12-07,11.54,11.93,11.27,11.36,2666900
2020-12-08,11.35,12.03,11.32,11.98,3461500
2020-12-09,12.13,12.56,11.72,12.11,3052600
2020-12-10,12.24,13.56,12.13,13.28,3243500
2020-12-11,13.06,13.31,12.55,13.3,2508900
2020-12-14,13.77,13.84,12.18,12.2,3796000
2020-12-15,12.44,12.6,11.97,12.44,2563600
2020-12-16,12.45,12.54,11.97,12.07,2578800
2020-12-17,12.66,12.92,12.09,12.4,3071600
2020-12-18,12.41,12.67,11.83,12.18,7579100
2020-12-21,11.33,12.13,11.24,11.93,2502100
2020-12-22,11.84,12.12,11.64,11.86,2622700
2020-12-23,12.13,12.82,12.0,12.39,2701100
2020-12-24,12.46,12.46,11.86,12.04,1494800
2020-12-28,12.16,12.34,11.86,12.01,3717100
2020-12-29,12.03,12.25,11.83,12.0,1799800
2020-12-30,12.13,13.12,12.0,12.5,3269100
2020-12-31,12.35,12.45,11.98,12.06,2023700
2021-01-04,12.32,12.78,12.02,12.49,2178800
2021-01-05,12.76,15.11,12.76,14.26,4845900
2021-01-06,14.67,15.35,14.18,14.77,3488500
2021-01-07,14.97,15.79,14.64,15.48,3536600
2021-01-08,15.76,15.82,15.28,15.52,3897300
2021-01-11,14.87,15.89,14.75,15.8,1715400
2021-01-12,16.15,16.55,15.94,16.48,1791600
2021-01-13,16.39,16.5,15.8,16.03,4631600
2021-01-14,16.31,16.71,16.15,16.54,1483000
2021-01-15,16.09,16.49,15.65,16.0,2739800
2021-01-19,16.48,16.69,16.0,16.46,1791200
2021-01-20,16.72,16.94,16.19,16.78,2080200
2021-01-21,16.77,16.82,14.29,14.85,4256000
2021-01-22,14.33,15.17,13.9,15.01,2428300
2021-01-25,14.71,15.89,14.51,15.88,2713700
2021-01-26,16.16,16.43,15.27,15.36,2141600
