date,open,high,low,close,volume
2020-08-19,14.66,15.15,14.56,14.94,2806200
2020-08-20,14.64,14.95,14.53,14.53,3430400
2020-08-21,14.49,14.53,13.91,14.11,2082100
2020-08-24,14.29,14.94,14.02,14.66,1856500
2020-08-25,14.89,15.06,14.64,14.94,1341400
2020-08-26,15.0,15.12,14.11,14.12,1894500
2020-08-27,14.25,14.48,14.0,14.39,2490300
2020-08-28,14.39,14.71,14.25,14.41,1432400
2020-08-31,14.48,14.48,13.68,13.74,2016200
2020-09-01,13.75,14.09,13.62,13.85,2503200
2020-09-02,13.77,13.9,13.03,13.05,4415400
2020-09-03,12.97,13.11,12.31,12.35,11990500
2020-09-04,12.46,12.53,11.66,12.19,4823400
2020-09-08,11.79,11.8,11.0,11.02,4360200
2020-09-09,11.17,11.24,10.86,11.12,3415000
2020-09-10,11.09,11.09,9.97,10.02,23213800
2020-09-11,10.09,10.23,9.73,10.03,8571600
2020-09-14,10.17,10.38,9.73,10.2,6439900
2020-09-15,10.29,10.52,9.98,10.06,5301200
2020-09-16,10.19,11.09,10.06,10.75,7634900
2020-09-17,10.42,10.73,10.32,10.61,4202100
2020-09-18,10.66,10.82,10.26,10.44,7871200
2020-09-21,10.09,10.18,9.21,9.26,6547300
2020-09-22,9.3,9.91,9.28,9.68,5792600
2020-09-23,9.7,9.78,8.71,8.71,4395800
2020-09-24,8.51,9.07,8.22,8.81,4088900
2020-09-25,8.68,8.9,8.56,8.73,4036300
2020-09-28,8.97,9.4,8.87,9.2,4126900
2020-09-29,9.12,9.12,8.7,8.82,3573800
2020-09-30,8.89,9.3,8.79,8.92,5320200
2020-10-01,8.71,8.83,8.34,8.43,4197200
2020-10-02,8.0,8.8,7.96,8.57,5878400
2020-10-05,8.79,8.96,8.48,8.83,4727500
2020-10-06,9.05,9.26,8.41,8.42,4577800
2020-10-07,8.5,8.66,8.37,8.58,3217300
2020-10-08,8.72,9.19,8.52,9.19,3452700
2020-10-09,9.29,9.36,8.6,8.69,4151800
2020-10-12,8.67,8.67,8.24,8.63,6909500
2020-10-13,8.55,8.68,8.23,8.3,6154400
2020-10-14,8.31,8.98,8.31,8.49,5136400
2020-10-15,8.29,8.86,8.22,8.85,3957600
2020-10-16,8.77,8.96,8.5,8.55,3848000
2020-10-19,8.62,8.66,8.28,8.29,4375500
2020-10-20,8.34,8.91,8.34,8.7,4749100
