date,open,high,low,close,volume
2020-08-19,7.61,7.75,7.5,7.54,1846200
2020-08-20,7.42,7.73,7.39,7.66,2693400
2020-08-21,7.68,7.72,7.36,7.51,2273300
2020-08-24,7.57,7.6,7.36,7.42,2945900
2020-08-25,7.43,7.5,7.09,7.23,3381700
2020-08-26,7.21,7.24,6.97,7.0,3831400
2020-08-27,7.0,7.25,6.96,7.2,4046600
2020-08-28,7.21,7.54,7.19,7.48,2216000
2020-08-31,7.51,7.51,7.27,7.31,2690500
2020-09-01,7.25,7.4,7.09,7.34,2214500
2020-09-02,7.36,7.57,7.28,7.35,3024500
2020-09-03,7.36,7.49,7.22,7.27,2220100
2020-09-04,7.33,7.46,7.12,7.39,1999000
2020-09-08,7.27,7.27,7.0,7.1,2539100
2020-09-09,7.19,7.29,7.02,7.12,3000300
2020-09-10,7.19,7.19,6.9,6.9,2296500
2020-09-11,6.92,7.0,6.73,6.76,2329200
2020-09-14,6.8,7.14,6.76,7.1,5809800
2020-09-15,7.18,7.36,7.08,7.09,2538900
2020-09-16,7.17,7.42,7.13,7.25,2696500
2020-09-17,7.13,7.31,7.0,7.19,2118800
2020-09-18,7.13,7.14,6.78,6.82,2893200
2020-09-21,6.61,6.66,6.41,6.52,2337200
2020-09-22,6.53,6.74,6.25,6.25,2758200
2020-09-23,6.27,6.33,5.77,5.78,2836200
2020-09-24,5.78,5.83,5.46,5.65,4913900
2020-09-25,5.75,5.82,5.55,5.8,2931500
2020-09-28,5.92,6.2,5.85,6.11,3866500
2020-09-29,6.07,6.19,5.93,6.11,2907000
2020-09-30,6.14,6.3,5.97,6.09,3067700
2020-10-01,6.03,6.22,5.98,6.16,3028400
2020-10-02,5.93,6.18,5.92,6.12,2311500
2020-10-05,6.23,6.42,6.11,6.4,2100200
2020-10-06,6.51,6.6,5.89,5.92,4700500
2020-10-07,5.98,6.04,5.79,5.95,2889200
2020-10-08,5.99,6.66,5.96,6.64,4953600
