date,open,high,low,close,volume
2020-08-19,11.6,11.89,11.6,11.76,118700
2020-08-20,11.61,11.91,11.56,11.81,172300
2020-08-21,11.85,11.96,11.5,11.73,189400
2020-08-24,11.89,12.25,11.75,12.1,201600
2020-08-25,12.04,12.19,11.59,11.64,115100
2020-08-26,11.7,11.74,11.22,11.36,150900
2020-08-27,11.35,11.57,11.14,11.44,185600
2020-08-28,11.58,11.58,11.21,11.27,99200
2020-08-31,11.2,11.3,10.9,11.04,182500
2020-09-01,11.0,11.24,10.71,11.15,118900
2020-09-02,11.11,11.25,10.78,11.0,276400
2020-09-03,11.09,11.29,10.9,11.28,217700
2020-09-04,11.42,11.42,10.95,11.06,268900
2020-09-08,10.93,10.97,10.52,10.65,456600
2020-09-09,10.7,11.03,10.58,10.64,178300
2020-09-10,10.75,10.75,10.5,10.51,145300
2020-09-11,10.6,10.87,10.49,10.82,179200
2020-09-14,10.82,11.45,10.73,11.28,223700
2020-09-15,11.25,11.5,11.03,11.1,144400
2020-09-16,11.1,11.41,11.06,11.07,138600
2020-09-17,11.06,11.14,10.84,11.13,75400
2020-09-18,11.01,11.13,10.79,10.87,242400
2020-09-21,10.69,10.79,10.48,10.79,168000
2020-09-22,10.62,11.01,10.62,10.71,111900
2020-09-23,10.65,10.77,10.2,10.2,224300
2020-09-24,10.05,10.5,9.92,10.23,227500
2020-09-25,10.1,10.28,9.93,10.12,154700
2020-09-28,10.37,10.56,10.15,10.17,181000
2020-09-29,10.15,10.3,9.97,10.18,144700
2020-09-30,10.11,10.46,9.98,10.01,160700
2020-10-01,10.08,10.26,9.88,10.23,166000
2020-10-02,9.96,10.47,9.95,10.44,167400
2020-10-05,10.45,10.66,10.33,10.37,184600
2020-10-06,10.42,10.68,10.39,10.5,182800
2020-10-07,10.59,10.64,10.44,10.5,111400
2020-10-08,10.66,10.98,10.55,10.98,224100
2020-10-09,10.87,10.99,10.71,10.73,135400
2020-10-12,10.68,10.83,10.57,10.73,148100
2020-10-13,10.66,11.25,10.66,11.25,119400
2020-10-14,11.11,11.57,11.03,11.05,153500
2020-10-15,11.09,11.15,10.75,11.06,116600
2020-10-16,11.19,11.3,10.72,10.72,403100
2020-10-19,10.95,11.46,10.93,11.14,281100
2020-10-20,11.25,11.38,11.11,11.16,237600
2020-10-21,11.22,11.29,10.89,11.05,243700
2020-10-22,11.16,11.57,11.12,11.57,553700
2020-10-23,11.04,11.15,10.7,10.88,349500
2020-10-26,10.85,10.85,10.15,10.35,329200
2020-10-27,10.3,10.37,10.02,10.25,229100
2020-10-28,10.05,10.12,9.78,9.89,439000
2020-10-29,9.92,10.18,9.7,10.1,194800
2020-10-30,10.06,10.06,9.83,10.01,200900
2020-11-02,10.12,10.18,9.92,10.18,227600
2020-11-03,10.5,10.53,9.89,10.29,144500
2020-11-04,10.39,10.47,9.97,10.19,132200
2020-11-05,10.13,10.35,10.02,10.17,209400
2020-11-06,10.27,10.44,9.6,9.88,502600
2020-11-09,10.12,10.77,10.01,10.38,470500
2020-11-10,10.44,10.74,10.4,10.71,173800
2020-11-11,10.92,11.04,10.8,10.9,150300
2020-11-12,11.02,11.02,10.4,10.51,125400
2020-11-13,10.54,10.97,10.54,10.8,191000
2020-11-16,11.0,11.53,10.9,11.45,372800
2020-11-17,11.24,11.5,11.11,11.46,143000
2020-11-18,11.36,12.0,11.36,11.54,233000
2020-11-19,11.52,11.96,11.45,11.96,270300
2020-11-20,11.95,11.95,11.52,11.67,113700
2020-11-23,11.76,12.28,11.76,12.13,221600
2020-11-24,12.3,12.88,12.23,12.71,227100
2020-11-25,12.61,12.69,12.2,12.27,217800
2020-11-27,12.15,12.27,11.93,12.07,64700
2020-11-30,12.01,12.22,11.55,11.76,299500
2020-12-01,11.92,12.09,11.65,11.93,138000
2020-12-02,11.9,12.04,11.38,11.38,389000
2020-12-03,11.56,12.15,11.56,11.84,139600
2020-12-04,11.98,12.62,11.98,12.44,264700
2020-12-07,12.37,12.69,12.15,12.59,168400
2020-12-08,12.72,13.1,12.66,12.9,161200
2020-12-09,13.1,13.2,12.69,12.86,180500
2020-12-10,12.86,13.39,12.85,13.21,209900
2020-12-11,13.1,13.23,12.78,13.09,174700
2020-12-14,13.29,13.29,12.59,12.61,202400
2020-12-15,12.76,12.88,12.56,12.68,87200
2020-12-16,12.62,12.69,12.43,12.46,116400
2020-12-17,12.48,12.65,12.24,12.6,112300
2020-12-18,13.0,13.09,12.7,13.02,253700
2020-12-21,12.6,12.98,12.5,12.68,171000
2020-12-22,12.74,12.96,12.54,12.77,186700
2020-12-23,12.82,13.15,12.82,12.97,79500
2020-12-24,13.04,13.04,12.71,12.79,67000
2020-12-28,12.82,12.87,12.59,12.65,239500
2020-12-29,12.78,12.79,12.4,12.5,119400
2020-12-30,12.58,12.75,12.49,12.56,77900
2020-12-31,12.54,13.65,12.5,13.6,286500
2021-01-04,13.69,13.7,13.18,13.25,203300
2021-01-05,13.25,13.87,13.25,13.49,274700
2021-01-06,13.51,14.08,13.51,13.86,261000
2021-01-07,13.97,14.2,13.72,13.98,153300
2021-01-08,14.02,14.07,13.77,13.98,123300
2021-01-11,13.7,14.68,13.7,14.64,221600
2021-01-12,14.69,15.2,14.64,14.89,307900
2021-01-13,14.99,15.38,14.76,15.09,187400
2021-01-14,15.1,15.38,15.1,15.35,305900
2021-01-15,15.33,15.75,15.15,15.73,412800
2021-01-19,15.97,16.45,15.8,16.25,498200
2021-01-20,16.43,16.45,15.9,16.15,505500
2021-01-21,16.21,16.38,15.67,16.15,637000
2021-01-22,15.43,15.59,15.13,15.3,292000
2021-01-25,15.05,15.14,13.24,13.92,886900
2021-01-26,13.79,14.14,13.42,13.48,236300
2021-01-27,13.3,13.49,12.75,12.93,378600
2021-01-28,13.01,13.4,12.95,13.17,198600
2021-01-29,13.15,13.42,13.1,13.28,152500
