date,open,high,low,close,volume
2020-08-19,5.04,5.04,4.98,4.98,70000
2020-08-20,4.97,4.97,4.92,4.97,69000
2020-08-21,4.92,4.97,4.92,4.92,44000
2020-08-24,4.88,4.88,4.83,4.83,46000
2020-08-25,4.88,4.96,4.88,4.96,37000
2020-08-26,4.97,4.97,4.88,4.96,86000
2020-08-27,4.89,4.92,4.83,4.87,30000
2020-08-28,4.9,4.92,4.9,4.92,38000
2020-08-31,4.97,5.01,4.94,4.99,51000
2020-09-01,4.91,4.95,4.85,4.86,66000
2020-09-02,5.08,5.08,5.0,5.05,99000
2020-09-03,5.02,5.1,4.93,4.93,38000
2020-09-04,4.84,4.98,4.84,4.98,53000
2020-09-08,4.86,4.87,4.83,4.83,51000
2020-09-09,4.82,4.89,4.82,4.84,51000
2020-09-10,4.89,4.91,4.8,4.84,43000
2020-09-11,4.95,5.01,4.95,5.0,50000
2020-09-14,5.1,5.13,5.09,5.12,85000
2020-09-15,5.19,5.19,5.12,5.16,49000
2020-09-16,5.14,5.19,5.11,5.15,71000
2020-09-17,5.1,5.15,5.07,5.12,82000
2020-09-18,5.19,5.2,5.17,5.2,26000
2020-09-21,4.93,5.04,4.93,4.95,62000
2020-09-22,4.86,4.89,4.79,4.81,24000
2020-09-23,4.84,4.84,4.78,4.79,56000
2020-09-24,4.64,4.74,4.64,4.64,46000
2020-09-25,4.64,4.73,4.59,4.65,50000
2020-09-28,4.79,4.85,4.75,4.85,26000
2020-09-29,4.91,4.95,4.91,4.95,38000
2020-09-30,5.06,5.1,5.04,5.04,62000
2020-10-01,5.14,5.18,5.1,5.17,1084000
2020-10-02,5.24,5.33,5.22,5.27,29000
2020-10-05,5.29,5.36,5.26,5.26,47000
2020-10-06,5.35,5.37,5.15,5.28,49000
2020-10-07,5.34,5.38,5.32,5.38,69000
2020-10-08,5.46,5.5,5.35,5.5,25000
2020-10-09,5.5,5.51,5.48,5.51,33000
2020-10-12,5.66,5.66,5.63,5.66,25000
2020-10-13,5.55,5.57,5.48,5.48,21000
2020-10-14,5.52,5.57,5.5,5.57,35000
2020-10-15,5.37,5.41,5.3,5.4,68000
2020-10-16,5.43,5.46,5.38,5.38,40000
2020-10-19,5.41,5.42,5.37,5.38,59000
2020-10-20,5.4,5.43,5.32,5.32,80000
2020-10-21,5.34,5.41,5.34,5.4,37000
2020-10-22,5.52,5.6,5.52,5.6,44000
2020-10-23,5.57,5.57,5.51,5.51,36000
2020-10-26,5.48,5.51,5.3,5.47,44000
2020-10-27,5.54,5.54,5.33,5.41,40000
2020-10-28,4.98,5.14,4.98,5.14,110000
2020-10-29,5.1,5.16,5.07,5.16,46000
2020-10-30,5.2,5.25,5.12,5.13,49000
2020-11-02,5.22,5.27,5.16,5.27,192000
2020-11-03,5.37,5.4,5.33,5.38,62000
2020-11-04,5.49,5.58,5.49,5.54,62000
2020-11-05,5.54,5.59,5.45,5.58,30000
2020-11-06,5.48,5.63,5.48,5.63,60000
2020-11-09,6.31,6.31,5.93,6.31,38000
2020-11-10,5.89,5.93,5.78,5.92,43000
2020-11-11,5.96,5.96,5.81,5.92,42000
