date,open,high,low,close,volume
2020-08-19,41.11,41.11,40.08,40.32,275500
2020-08-20,40.1,40.37,40.03,40.2,201200
2020-08-21,39.17,39.48,39.02,39.41,258900
2020-08-24,40.04,40.11,39.5,39.79,276400
2020-08-25,40.5,40.56,40.04,40.42,233700
2020-08-26,39.75,40.19,39.71,40.18,198000
2020-08-27,40.36,40.71,40.07,40.6,328800
2020-08-28,40.68,40.94,40.45,40.86,271100
2020-08-31,40.57,40.86,40.2,40.65,194800
2020-09-01,40.82,41.01,40.67,40.87,347500
2020-09-02,41.63,42.04,41.41,42.02,292400
2020-09-03,41.41,41.44,39.94,40.02,288800
2020-09-04,40.69,40.85,39.3,40.12,334500
2020-09-08,40.23,40.75,40.09,40.16,565500
2020-09-09,40.41,41.08,40.37,40.95,218500
2020-09-10,41.07,41.07,40.09,40.1,225700
2020-09-11,40.42,40.48,39.89,40.27,146300
2020-09-14,40.44,40.62,40.22,40.34,160700
2020-09-15,40.57,40.78,40.39,40.44,197300
2020-09-16,40.69,41.06,40.69,40.8,247900
2020-09-17,40.37,40.62,39.93,40.31,209800
2020-09-18,39.76,40.34,39.22,39.31,720500
2020-09-21,37.72,37.75,37.06,37.6,411400
2020-09-22,37.18,37.82,37.04,37.72,637800
2020-09-23,38.34,38.48,37.53,37.68,242000
2020-09-24,37.68,37.81,37.02,37.42,251400
2020-09-25,36.71,37.47,36.64,37.35,259100
2020-09-28,38.17,38.42,38.02,38.16,180300
2020-09-29,38.53,38.78,38.15,38.34,420800
2020-09-30,39.14,39.65,38.86,39.1,391300
2020-10-01,40.24,40.31,39.35,39.61,573400
2020-10-02,39.25,39.72,39.09,39.63,297400
2020-10-05,39.99,40.12,39.62,39.85,322300
2020-10-06,39.34,39.72,39.11,39.2,265200
2020-10-07,38.85,39.59,38.85,39.56,281800
2020-10-08,39.42,39.76,39.38,39.62,209700
2020-10-09,39.64,40.04,39.6,39.83,361100
2020-10-12,40.05,40.67,40.01,40.41,344900
2020-10-13,39.79,39.91,39.36,39.36,334700
2020-10-14,39.73,39.9,39.01,39.16,323400
2020-10-15,38.37,38.67,38.27,38.63,170200
2020-10-16,39.04,39.49,39.02,39.28,203900
2020-10-19,39.34,39.49,38.35,38.48,134900
2020-10-20,38.8,38.99,38.41,38.52,116300
2020-10-21,38.04,38.23,37.94,38.05,255100
2020-10-22,38.11,38.55,38.07,38.48,180300
2020-10-23,38.38,38.48,38.11,38.48,228600
2020-10-26,37.83,38.1,37.61,38.02,678900
2020-10-27,37.57,37.87,37.22,37.23,449900
2020-10-28,35.99,36.27,35.59,35.65,364600
2020-10-29,35.72,35.91,35.28,35.61,313000
2020-10-30,35.3,35.32,34.71,35.07,387400
2020-11-02,34.33,35.16,34.29,35.11,586100
2020-11-03,35.69,36.45,35.61,36.25,426800
2020-11-04,36.88,37.4,36.82,37.01,270200
2020-11-05,37.3,37.42,36.75,36.97,309300
2020-11-06,37.28,37.28,36.68,37.0,732500
2020-11-09,41.78,43.19,41.66,42.35,773700
2020-11-10,42.74,42.76,40.97,41.1,1004200
2020-11-11,41.36,41.42,40.87,41.3,556100
2020-11-12,39.74,40.43,39.65,39.98,662400
2020-11-13,39.31,40.45,39.3,40.44,688200
2020-11-16,40.55,40.65,39.49,39.77,713400
2020-11-17,39.12,39.72,39.08,39.54,282800
2020-11-18,39.43,39.67,39.01,39.03,285200
2020-11-19,38.43,38.9,38.35,38.83,229600
2020-11-20,39.18,39.26,38.78,39.16,379600
2020-11-23,38.88,38.88,38.23,38.31,458400
2020-11-24,38.39,38.42,38.06,38.25,401800
2020-11-25,38.08,38.18,37.44,37.96,362500
2020-11-27,38.48,39.0,38.36,38.98,261200
2020-11-30,39.61,39.68,38.7,39.35,355400
2020-12-01,40.81,40.95,40.36,40.49,524400
2020-12-02,40.39,40.44,39.88,40.12,515000
2020-12-03,40.01,40.46,39.93,40.38,288900
2020-12-04,40.94,41.51,40.86,41.5,381300
2020-12-07,40.61,41.16,40.57,40.9,372800
2020-12-08,40.99,41.14,40.66,41.1,195400
2020-12-09,41.01,41.05,40.51,40.9,177200
2020-12-10,41.0,41.53,40.87,41.04,250300
2020-12-11,40.13,40.23,39.82,39.95,276800
2020-12-14,40.98,41.15,40.27,40.33,307500
2020-12-15,40.32,40.61,39.98,40.58,234400
2020-12-16,40.59,41.28,40.59,41.14,202800
2020-12-17,41.74,41.91,41.58,41.86,246500
2020-12-18,41.74,41.88,41.43,41.77,542900
2020-12-21,39.99,41.61,39.94,41.58,623600
2020-12-22,41.45,41.93,41.29,41.78,469900
2020-12-23,42.1,42.28,41.77,42.02,427800
2020-12-24,42.04,42.2,41.64,42.06,171600
2020-12-28,42.22,42.7,42.06,42.4,275900
2020-12-29,43.17,43.44,42.64,42.82,294200
2020-12-30,42.73,42.74,42.29,42.36,156800
2020-12-31,41.97,42.17,41.59,42.17,176200
2021-01-04,43.5,43.56,42.38,42.97,554400
2021-01-05,42.79,43.49,42.65,43.26,319100
