date,open,high,low,close,volume
2020-08-19,10.31,10.44,10.1,10.14,14918300
2020-08-20,10.05,10.07,9.83,9.9,10517800
2020-08-21,9.9,10.02,9.78,9.89,8502300
2020-08-24,9.92,9.92,9.52,9.63,11674800
2020-08-25,9.65,9.89,9.03,9.54,20771800
2020-08-26,9.3,9.8,9.27,9.67,11209200
2020-08-27,9.58,9.7,9.34,9.48,5995100
2020-08-28,9.44,9.63,9.42,9.6,5170800
2020-08-31,9.65,9.89,9.42,9.87,8034400
2020-09-01,9.85,9.9,9.4,9.49,8022300
2020-09-02,9.52,9.55,9.26,9.4,10008200
2020-09-03,9.24,9.47,9.07,9.13,12440800
2020-09-04,9.1,9.24,8.8,9.19,7816400
2020-09-08,9.03,9.1,8.81,8.88,10590000
2020-09-09,8.96,9.05,8.81,8.88,6595800
2020-09-10,8.8,8.91,8.68,8.76,6248400
2020-09-11,8.84,8.87,8.65,8.79,6207800
2020-09-14,8.88,9.16,8.88,9.09,6615100
2020-09-15,9.2,9.31,9.06,9.16,5586300
2020-09-16,9.11,9.39,9.11,9.19,5664900
2020-09-17,9.01,9.32,8.95,9.29,5262900
2020-09-18,9.35,9.51,9.25,9.48,6346000
2020-09-21,9.25,9.28,8.82,8.95,13922200
2020-09-22,9.02,9.09,8.79,8.85,9347900
2020-09-23,8.83,9.08,8.61,8.64,11271500
2020-09-24,8.54,8.72,8.46,8.57,7260700
2020-09-25,8.56,8.76,8.56,8.72,4439800
2020-09-28,8.8,8.88,8.7,8.8,4403000
2020-09-29,8.79,8.89,8.71,8.85,5014100
2020-09-30,8.94,9.2,8.89,9.01,9052200
2020-10-01,9.06,9.27,8.95,9.07,5687400
2020-10-02,8.83,9.07,8.81,9.02,4180800
2020-10-05,9.12,9.35,9.04,9.3,6286700
2020-10-06,9.34,9.49,9.14,9.2,6130000
2020-10-07,9.35,9.57,9.31,9.55,4728600
2020-10-08,9.7,10.01,9.66,9.94,7812800
2020-10-09,10.06,10.09,9.8,9.83,5034600
2020-10-12,9.81,9.81,9.41,9.45,12087800
2020-10-13,9.38,9.59,9.33,9.37,6543500
2020-10-14,9.38,9.38,9.21,9.29,5009500
2020-10-15,9.14,9.31,9.09,9.31,5256800
2020-10-16,9.29,9.5,9.24,9.41,5310900
2020-10-19,9.35,9.53,9.22,9.29,4606600
2020-10-20,9.33,9.41,9.13,9.14,4609100
2020-10-21,9.54,9.66,9.31,9.48,10294500
2020-10-22,9.42,9.54,9.36,9.44,4407300
2020-10-23,9.45,9.49,9.32,9.35,4051400
2020-10-26,9.29,9.31,9.02,9.12,6053200
2020-10-27,9.1,9.12,8.74,8.74,9252900
2020-10-28,8.53,8.83,8.47,8.76,9887300
2020-10-29,8.78,8.81,8.5,8.74,7677300
2020-10-30,8.66,8.72,8.46,8.72,8538000
2020-11-02,8.79,8.96,8.69,8.8,7883700
2020-11-03,8.95,9.06,8.85,8.88,5985700
2020-11-04,8.93,9.4,8.92,9.21,9608500
2020-11-05,8.88,8.98,8.44,8.61,19772500
2020-11-06,8.77,9.24,8.54,9.12,25503900
2020-11-09,9.5,9.72,9.31,9.67,18558000
2020-11-10,9.58,9.81,9.45,9.62,12064200
2020-11-11,9.65,9.7,9.47,9.53,8374500
2020-11-12,9.47,9.72,9.4,9.51,6103400
2020-11-13,9.58,9.73,9.11,9.49,10377300
2020-11-16,9.51,9.65,9.47,9.63,5437000
2020-11-17,9.49,9.8,9.42,9.78,7442900
2020-11-18,9.8,9.86,9.46,9.48,7613200
2020-11-19,9.46,9.47,9.22,9.35,7641300
2020-11-20,9.31,9.55,9.28,9.48,6880900
2020-11-23,9.42,9.77,9.42,9.61,7778700
2020-11-24,9.64,9.87,9.63,9.86,8575300
2020-11-25,9.86,9.86,9.57,9.75,6691000
2020-11-27,9.75,9.89,9.71,9.82,2922500
2020-11-30,9.8,9.81,9.49,9.51,10301100
2020-12-01,9.58,9.61,9.39,9.41,6265200
2020-12-02,9.34,9.67,9.26,9.66,6864500
2020-12-03,9.66,10.03,9.64,9.98,8039400
2020-12-04,10.04,10.36,9.98,10.28,8284400
2020-12-07,10.35,10.4,9.99,10.06,7844200
2020-12-08,10.02,11.05,10.0,11.04,17398400
2020-12-09,11.04,11.07,10.59,10.65,13461300
2020-12-10,10.65,10.77,10.5,10.57,7443600
2020-12-11,10.57,10.6,10.23,10.33,8590400
2020-12-14,10.38,10.54,10.3,10.31,6317000
2020-12-15,10.32,10.46,10.14,10.44,5536000
2020-12-16,10.47,10.52,10.3,10.35,4451900
2020-12-17,10.35,10.35,10.18,10.3,3997600
2020-12-18,10.23,10.25,9.88,10.01,9098500
2020-12-21,9.78,9.91,9.7,9.79,7245000
2020-12-22,9.76,9.78,9.52,9.6,7595300
2020-12-23,9.63,9.81,9.59,9.77,5043500
2020-12-24,9.77,9.85,9.62,9.83,3108700
2020-12-28,9.88,9.96,9.68,9.71,7786000
2020-12-29,9.73,9.75,9.52,9.55,6494700
2020-12-30,9.55,9.72,9.55,9.6,5919500
2020-12-31,9.57,9.7,9.43,9.65,8103700
2021-01-04,9.71,10.34,9.71,10.34,11904200
2021-01-05,10.2,11.04,10.05,10.87,24726200
2021-01-06,10.85,11.47,10.84,11.09,17872000
2021-01-07,11.2,11.25,11.01,11.07,8792000
2021-01-08,11.14,11.14,10.59,10.79,8715500
2021-01-11,10.7,11.45,10.65,11.38,10530900
2021-01-12,11.45,11.89,11.36,11.72,11218700
2021-01-13,11.88,11.91,11.43,11.55,8211000
2021-01-14,11.6,11.7,11.37,11.5,7996700
2021-01-15,11.64,12.06,11.5,11.96,12430500
2021-01-19,12.21,12.66,12.06,12.55,15602100
2021-01-20,12.45,12.55,12.02,12.18,8126800
2021-01-21,12.22,12.28,11.82,11.97,5832300
2021-01-22,11.79,12.65,11.71,12.55,9529400
2021-01-25,12.5,12.65,12.21,12.4,8119300
2021-01-26,12.43,12.48,12.15,12.32,5263100
2021-01-27,12.16,12.3,11.95,12.22,11566500
2021-01-28,12.16,12.51,12.09,12.25,7182100
2021-01-29,12.18,12.3,11.63,11.78,10094300
2021-02-01,11.96,12.14,11.69,12.01,8886100
2021-02-02,12.25,12.55,12.16,12.23,7588100
2021-02-03,12.22,12.52,12.1,12.4,5523400
2021-02-04,12.45,12.63,12.29,12.33,4831200
2021-02-05,12.48,12.48,12.14,12.24,4122100
2021-02-08,12.33,12.84,12.29,12.71,8655100
2021-02-09,12.73,13.3,12.63,12.81,12771900
2021-02-10,13.04,13.06,11.6,11.92,36335900
2021-02-11,12.05,12.1,11.21,11.3,23019100
2021-02-12,11.3,11.5,11.09,11.12,10423500
2021-02-16,11.3,11.39,11.1,11.37,9116100
2021-02-17,11.22,11.39,11.12,11.3,8653800
2021-02-18,11.17,11.21,10.91,10.94,9198700
2021-02-19,10.97,11.21,10.91,11.04,8928000
2021-02-22,10.92,11.13,10.81,10.84,8673900
2021-02-23,10.77,10.8,10.39,10.61,11239300
2021-02-24,10.61,11.47,10.53,11.32,15987500
2021-02-25,11.19,11.3,10.84,11.0,9897600
2021-02-26,10.93,10.99,10.58,10.76,7945800
2021-03-01,10.98,11.06,10.77,10.92,7419000
2021-03-02,10.92,10.93,10.67,10.73,7450700
2021-03-03,10.8,10.98,10.74,10.92,6663300
2021-03-04,10.75,10.85,10.23,10.58,14083000
2021-03-05,10.55,10.77,10.19,10.52,11123000
2021-03-08,10.54,10.75,10.35,10.69,7615600
2021-03-09,10.8,11.1,10.71,10.76,7831300
2021-03-10,10.95,11.31,10.86,11.26,8547800
2021-03-11,11.34,11.35,10.97,11.03,17601300
2021-03-12,11.0,11.1,10.75,10.79,22283700
2021-03-15,10.86,11.15,10.77,11.15,10010400
2021-03-16,11.21,11.35,11.09,11.1,8640400
2021-03-17,11.04,11.73,10.98,11.7,12346000
2021-03-18,11.52,11.84,11.4,11.41,7953800
2021-03-19,11.45,11.66,11.38,11.52,6528700
2021-03-22,11.49,11.99,11.43,11.93,8093100
2021-03-23,11.82,11.86,11.31,11.34,9428400
2021-03-24,11.34,11.56,11.24,11.26,7428200
2021-03-25,11.01,11.39,10.86,11.36,5760600
2021-03-26,11.49,11.74,11.32,11.58,7422500
2021-03-29,11.47,11.51,11.32,11.33,3990700
2021-03-30,11.34,11.44,11.23,11.33,3546200
2021-03-31,11.39,11.74,11.34,11.54,4761100
2021-04-01,11.65,11.7,11.42,11.48,3931100
2021-04-05,11.58,11.72,11.47,11.56,3915400
2021-04-06,11.55,11.58,11.33,11.43,4473900
2021-04-07,11.39,11.5,11.27,11.34,4276700
2021-04-08,11.35,11.38,10.96,10.99,8050300
2021-04-09,10.99,11.13,10.94,11.04,4660800
2021-04-12,10.98,11.06,10.88,10.94,4897900
2021-04-13,10.87,10.94,10.73,10.76,5715900
2021-04-14,10.84,11.12,10.81,10.88,6566600
2021-04-15,10.87,10.98,10.8,10.83,4528700
2021-04-16,10.86,10.88,10.67,10.75,5067800
2021-04-19,10.77,10.78,10.25,10.28,12883300
2021-04-20,10.36,10.36,9.96,10.11,11702700
2021-04-21,10.09,10.3,10.01,10.25,6271800
2021-04-22,10.17,10.36,10.09,10.2,6538700
2021-04-23,10.2,10.26,10.02,10.24,9589800
2021-04-26,10.28,10.74,10.25,10.61,10797100
2021-04-27,10.4,10.43,10.24,10.37,14893100
2021-04-28,10.25,10.28,10.01,10.12,12534800
2021-04-29,10.23,10.65,10.18,10.64,11297300
2021-04-30,10.55,10.73,10.45,10.7,9165400
2021-05-03,10.75,10.88,10.71,10.81,10239700
2021-05-04,10.5,10.66,10.08,10.09,18552200
2021-05-05,10.2,10.4,10.05,10.36,12193200
2021-05-06,10.33,10.39,10.13,10.29,6238000
2021-05-07,10.21,10.46,10.21,10.4,6180200
2021-05-10,10.38,10.44,10.23,10.25,6580000
2021-05-11,10.04,10.4,9.94,10.25,8545900
2021-05-12,10.22,10.65,10.2,10.27,9752700
2021-05-13,10.33,10.52,10.25,10.42,6359000
2021-05-14,10.5,10.68,10.48,10.57,4850500
2021-05-17,10.57,10.76,10.49,10.76,5054500
2021-05-18,10.71,10.82,10.64,10.67,5354400
2021-05-19,10.54,10.66,10.41,10.56,5200700
2021-05-20,10.59,10.78,10.58,10.77,3986000
2021-05-21,10.8,11.13,10.72,11.02,8047400
2021-05-24,11.13,11.14,10.78,10.78,6040800
2021-05-25,10.81,10.83,10.45,10.48,6181800
2021-05-26,10.5,10.64,10.47,10.62,6356100
2021-05-27,10.67,10.69,10.37,10.38,9223700
2021-05-28,10.38,10.61,10.36,10.4,5434000
2021-06-01,10.47,10.55,10.39,10.5,4517300
2021-06-02,10.52,10.62,10.38,10.61,7690100
2021-06-03,10.56,10.77,10.53,10.57,7785200
2021-06-04,10.62,10.62,10.38,10.4,5349600
2021-06-07,10.4,10.95,10.39,10.75,10699400
2021-06-08,10.74,10.76,10.5,10.55,5386600
2021-06-09,10.58,10.82,10.51,10.73,8027400
2021-06-10,10.78,11.55,10.7,11.53,17230700
2021-06-11,11.4,11.45,11.1,11.11,8993600
2021-06-14,11.15,11.2,10.96,11.05,6989500
2021-06-15,11.08,11.13,10.8,10.85,5351200
2021-06-16,10.81,10.83,10.53,10.57,6693500
2021-06-17,10.6,10.68,10.25,10.4,6722100
2021-06-18,10.32,10.37,10.05,10.12,8423800
2021-06-21,10.11,10.2,10.03,10.11,8841500
2021-06-22,10.13,10.24,10.07,10.15,5115000
2021-06-23,10.21,10.24,10.12,10.2,4922200
2021-06-24,10.2,10.42,10.14,10.42,6114500
2021-06-25,10.39,10.49,10.31,10.36,4318700
2021-06-28,10.42,10.46,10.19,10.25,7028100
2021-06-29,10.36,10.36,10.01,10.03,7070200
2021-06-30,10.01,10.03,9.88,9.9,13694600
2021-07-01,9.9,10.02,9.88,9.92,13453000
2021-07-02,9.92,9.92,9.73,9.83,8276200
2021-07-06,9.8,9.91,9.6,9.61,8827400
2021-07-07,9.64,9.65,9.26,9.33,11486800
2021-07-08,9.21,9.25,9.05,9.14,10884400
2021-07-09,9.26,9.38,9.22,9.3,7587500
2021-07-12,9.3,9.44,9.25,9.31,8997100
2021-07-13,9.25,9.29,9.1,9.11,6065500
2021-07-14,9.19,9.22,8.91,8.94,10882500
2021-07-15,8.91,8.93,8.69,8.77,11855200
2021-07-16,8.85,8.85,8.59,8.61,7916100
2021-07-19,8.52,8.52,8.24,8.38,15981000
2021-07-20,8.41,8.8,8.4,8.78,19226300
2021-07-21,8.88,9.09,8.79,9.01,10907300
2021-07-22,9.02,9.05,8.8,8.9,9773300
2021-07-23,8.9,8.93,8.77,8.81,8113200
2021-07-26,8.85,8.99,8.79,8.94,7925600
2021-07-27,8.93,8.94,8.64,8.92,17326500
2021-07-28,9.0,10.3,8.98,9.99,44206600
2021-07-29,9.96,9.99,9.67,9.69,15502600
2021-07-30,9.66,9.72,9.47,9.65,11451800
2021-08-02,9.67,9.99,9.64,9.85,7857200
2021-08-03,9.91,9.92,9.64,9.92,6631600
2021-08-04,9.85,10.15,9.82,10.0,9319000
2021-08-05,10.05,10.34,9.97,9.98,10028700
2021-08-06,10.0,10.03,9.73,10.01,5907300
2021-08-09,10.01,10.11,9.89,10.04,5092000
2021-08-10,10.01,10.21,9.91,10.1,7472100
2021-08-11,10.12,10.21,10.02,10.18,6665600
2021-08-12,10.18,10.22,9.93,9.99,8976600
2021-08-13,10.04,10.04,9.82,9.83,7974400
2021-08-16,9.79,9.84,9.63,9.74,8108500
2021-08-17,9.64,9.7,9.37,9.48,9102600
2021-08-18,9.46,9.61,9.4,9.44,7789800
2021-08-19,9.37,9.4,9.18,9.22,8386900
2021-08-20,9.14,9.26,8.95,9.14,5276100
2021-08-23,9.25,9.45,9.18,9.38,5784300
2021-08-24,9.38,9.54,9.37,9.47,4264500
2021-08-25,9.5,9.61,9.36,9.54,4391300
2021-08-26,9.52,9.56,9.3,9.3,3522900
2021-08-27,9.31,9.48,9.27,9.35,4258000
2021-08-30,9.29,9.45,9.19,9.4,3803300
2021-08-31,9.34,9.58,9.34,9.42,4748700
2021-09-01,9.47,9.48,9.32,9.38,5187700
2021-09-02,9.39,9.54,9.32,9.52,5005500
2021-09-03,9.49,9.62,9.41,9.48,3199700
2021-09-07,9.53,9.65,9.37,9.45,3615700
2021-09-08,9.5,9.65,9.37,9.38,4391100
2021-09-09,9.35,9.43,9.21,9.25,6513900
2021-09-10,9.31,9.52,9.17,9.19,5568100
2021-09-13,9.26,9.49,9.2,9.29,5045600
2021-09-14,9.3,9.38,9.06,9.06,5362300
2021-09-15,9.07,9.14,8.96,8.97,7668900
2021-09-16,8.97,9.04,8.83,8.95,6827300
2021-09-17,8.91,9.01,8.84,8.99,9416000
2021-09-20,8.85,8.93,8.64,8.69,7909300
2021-09-21,8.74,8.9,8.59,8.68,8589500
2021-09-22,8.78,8.9,8.72,8.73,15125800
2021-09-23,8.84,9.14,8.74,9.05,11269700
2021-09-24,8.95,9.05,8.9,8.95,5414300
2021-09-27,8.94,9.45,8.94,9.24,9845400
2021-09-28,9.2,9.95,9.18,9.6,17151100
2021-09-29,9.67,10.0,9.64,9.97,11216300
2021-09-30,9.96,10.0,9.72,9.74,7467500
2021-10-01,9.7,9.82,9.52,9.7,6372300
2021-10-04,9.55,9.79,9.47,9.62,7534600
2021-10-05,9.72,9.87,9.62,9.73,6110800
2021-10-06,9.77,9.87,9.67,9.86,6065900
2021-10-07,9.9,10.23,9.88,10.12,10124300
2021-10-08,10.11,10.23,10.06,10.16,4870700
2021-10-11,10.15,10.28,10.05,10.19,5137600
2021-10-12,10.22,10.24,9.81,9.83,6789200
2021-10-13,9.87,9.97,9.79,9.81,7184700
2021-10-14,9.94,9.96,9.7,9.7,4709000
2021-10-15,9.72,9.83,9.66,9.68,4208000
2021-10-18,9.76,9.85,9.66,9.79,6549400
2021-10-19,9.86,10.13,9.73,10.07,6646900
2021-10-20,10.08,10.21,10.04,10.13,7820500
2021-10-21,10.16,10.21,10.1,10.14,4926800
2021-10-22,10.12,10.14,9.92,10.13,5868000
2021-10-25,10.14,10.2,10.01,10.12,5779700
2021-10-26,10.12,10.12,9.38,9.39,20338400
2021-10-27,9.25,9.62,8.9,8.93,22246300
2021-10-28,8.85,8.89,8.65,8.73,16095400
2021-10-29,8.74,8.82,8.55,8.74,15496900
2021-11-01,8.8,9.27,8.74,9.23,14408700
2021-11-02,9.73,10.26,9.62,10.11,28937400
2021-11-03,9.87,9.88,9.39,9.39,21173400
2021-11-04,9.41,9.41,9.11,9.22,13402500
2021-11-05,9.2,9.3,9.08,9.13,8131000
2021-11-08,9.18,9.34,9.09,9.32,7698700
2021-11-09,9.34,9.4,9.14,9.3,7120300
2021-11-10,9.24,9.59,9.19,9.4,8625500
2021-11-11,9.45,9.59,9.4,9.54,5393800
2021-11-12,9.46,9.57,9.38,9.51,5895600
2021-11-15,9.49,9.6,9.42,9.44,4848600
2021-11-16,9.35,9.48,9.17,9.3,7950100
2021-11-17,9.32,9.39,9.06,9.16,7252600
2021-11-18,9.14,9.15,8.9,8.99,7313300
2021-11-19,8.9,8.98,8.81,8.88,7210800
2021-11-22,8.93,8.93,8.75,8.75,8665600
2021-11-23,8.76,8.92,8.71,8.74,10308000
2021-11-24,8.74,8.76,8.67,8.68,9305300
2021-11-26,8.55,8.6,8.35,8.49,11120200
2021-11-29,8.57,8.6,8.26,8.59,17542900
2021-11-30,8.52,8.59,8.19,8.25,14705100
2021-12-01,8.41,8.52,8.15,8.18,11912300
