date,open,high,low,close,volume
2020-08-19,216.39,219.42,215.08,216.95,431200
2020-08-20,215.29,215.7,212.14,214.73,303200
2020-08-21,214.45,217.97,212.3,216.24,1083200
2020-08-24,217.73,219.89,214.04,215.02,742200
2020-08-25,215.17,219.09,214.65,216.14,478700
2020-08-26,215.95,216.53,214.96,216.09,415800
2020-08-27,216.09,217.42,213.95,215.76,321500
2020-08-28,216.18,217.6,214.4,217.43,294700
2020-08-31,217.82,217.82,215.53,216.26,363600
2020-09-01,216.36,216.9,211.63,212.02,399900
2020-09-02,213.24,217.9,210.31,217.07,383200
2020-09-03,218.0,218.48,207.29,208.99,442000
2020-09-04,209.67,210.46,203.63,206.07,466100
2020-09-08,203.05,207.0,201.47,204.37,627200
2020-09-09,205.92,208.02,205.62,206.24,315200
2020-09-10,207.65,208.23,203.45,204.03,424900
2020-09-11,205.04,206.74,202.99,203.93,366400
2020-09-14,206.01,206.99,204.33,205.28,394700
2020-09-15,206.52,209.15,205.25,205.61,496800
2020-09-16,206.96,208.1,206.29,206.59,495700
2020-09-17,204.94,208.05,202.93,203.8,366600
2020-09-18,202.37,204.0,195.29,195.47,790600
2020-09-21,193.08,194.44,189.12,194.36,350800
2020-09-22,193.05,194.63,192.17,194.23,313000
2020-09-23,194.51,195.75,190.38,190.6,241400
2020-09-24,190.07,190.94,187.31,189.64,264900
2020-09-25,189.15,191.99,188.22,191.06,317000
2020-09-28,193.41,195.15,192.31,193.29,236800
2020-09-29,193.07,195.12,191.62,193.39,266900
2020-09-30,194.19,198.05,194.19,195.68,370200
2020-10-01,197.25,198.68,194.07,195.68,438700
2020-10-02,193.49,197.58,192.54,195.89,284900
2020-10-05,197.96,200.96,197.06,198.65,259700
2020-10-06,199.17,200.18,195.81,196.68,229100
2020-10-07,196.46,201.23,196.46,200.09,367700
2020-10-08,201.65,202.29,199.2,201.19,242300
2020-10-09,201.89,203.2,200.69,202.8,262900
2020-10-12,204.01,204.96,201.79,202.13,313500
2020-10-13,205.35,217.44,203.71,216.45,884200
2020-10-14,215.44,218.2,212.16,212.19,505800
2020-10-15,210.06,214.61,209.14,213.7,283200
2020-10-16,215.04,215.04,210.88,211.1,320700
2020-10-19,211.31,212.14,208.81,209.87,297200
2020-10-20,211.44,214.49,209.99,213.08,361700
2020-10-21,214.46,218.16,214.0,214.9,436200
2020-10-22,215.6,222.64,215.59,221.98,366100
2020-10-23,222.41,223.57,218.9,221.95,372900
2020-10-26,219.94,221.22,216.76,220.31,424700
2020-10-27,225.0,229.92,216.38,223.96,901900
2020-10-28,220.8,229.08,220.15,224.77,485500
2020-10-29,224.5,227.78,220.13,225.58,628200
2020-10-30,224.79,226.42,219.13,222.82,507000
2020-11-02,225.12,228.4,220.72,222.22,586000
2020-11-03,225.31,227.11,216.88,217.13,580800
2020-11-04,218.45,220.66,212.85,213.07,655500
2020-11-05,216.32,220.64,213.41,217.7,433200
2020-11-06,219.2,225.3,217.67,222.48,413200
2020-11-09,229.96,232.95,224.48,230.44,721000
2020-11-10,230.0,230.25,222.99,225.31,523800
2020-11-11,226.0,228.59,221.13,223.14,463200
2020-11-12,223.41,229.64,223.41,226.57,351600
2020-11-13,227.55,233.0,227.19,232.65,469900
2020-11-16,232.99,234.76,230.58,231.84,488300
2020-11-17,230.29,233.07,229.51,231.19,276500
2020-11-18,230.69,231.95,224.35,224.69,247100
2020-11-19,223.47,228.11,222.53,226.35,264600
2020-11-20,226.23,229.77,223.93,225.4,910200
2020-11-23,225.56,229.3,224.88,228.49,461700
2020-11-24,231.13,235.46,229.42,232.25,451000
2020-11-25,231.09,232.81,224.74,226.74,419600
2020-11-27,227.34,228.91,225.89,228.27,142900
2020-11-30,227.28,232.05,225.82,232.01,562600
2020-12-01,234.94,236.04,231.46,234.19,655200
2020-12-02,232.76,235.93,231.92,235.12,232900
2020-12-03,234.71,237.47,230.05,232.59,263600
2020-12-04,233.77,238.0,233.24,237.74,377000
2020-12-07,237.34,238.0,235.03,236.49,227300
2020-12-08,235.44,239.31,235.44,239.23,259800
2020-12-09,238.75,239.53,236.94,239.13,259000
2020-12-10,238.76,242.23,238.74,241.56,288000
2020-12-11,240.54,242.7,238.63,240.33,263200
2020-12-14,242.81,247.52,240.59,240.75,619800
2020-12-15,241.28,244.67,240.6,244.27,269400
2020-12-16,246.4,247.88,241.7,242.45,351500
2020-12-17,246.11,252.66,245.74,250.74,715200
2020-12-18,250.99,252.67,249.05,250.38,687700
2020-12-21,247.86,248.75,242.77,247.39,364800
2020-12-22,248.21,249.17,245.47,246.29,351000
2020-12-23,246.92,248.2,245.77,246.31,145000
2020-12-24,247.52,248.54,246.34,247.09,48000
2020-12-28,249.54,249.85,245.78,247.04,196600
2020-12-29,247.89,249.2,245.87,245.87,140500
2020-12-30,246.54,248.27,245.06,245.56,235700
2020-12-31,244.71,247.66,243.03,247.42,310800
2021-01-04,247.39,252.14,244.77,250.15,365200
2021-01-05,250.0,256.67,248.36,255.43,333900
2021-01-06,254.22,263.23,253.95,262.47,483400
2021-01-07,258.54,263.89,257.75,260.79,351300
2021-01-08,261.42,267.29,260.39,261.82,368200
2021-01-11,261.51,267.7,261.37,266.05,357900
2021-01-12,265.45,269.4,263.95,266.51,396800
2021-01-13,268.21,268.25,263.47,264.8,317700
2021-01-14,265.36,267.02,262.05,262.9,276400
2021-01-15,262.38,269.2,261.18,268.33,378800
2021-01-19,271.04,273.96,269.95,271.82,366900
2021-01-20,271.11,272.97,269.77,271.13,241300
2021-01-21,272.27,272.84,267.07,271.26,316400
2021-01-22,270.33,274.59,268.78,273.62,360300
2021-01-25,274.23,276.76,271.62,273.35,245000
2021-01-26,273.42,273.42,265.34,270.53,308700
2021-01-27,267.84,270.29,263.37,265.96,509500
2021-01-28,268.56,271.99,264.76,266.56,426200
2021-01-29,266.44,267.12,262.67,264.67,328900
2021-02-01,266.55,270.06,266.35,268.81,534200
2021-02-02,284.2,299.06,281.47,291.31,1028300
2021-02-03,289.66,291.15,280.03,281.27,609200
2021-02-04,281.05,287.9,280.55,286.45,549300
2021-02-05,286.31,287.65,282.42,283.48,372400
2021-02-08,284.49,285.31,280.86,284.5,337200
2021-02-09,283.83,284.28,281.37,282.71,276600
2021-02-10,286.01,289.47,283.33,284.02,269100
2021-02-11,284.49,285.42,281.62,282.83,300900
2021-02-12,281.28,285.8,281.28,283.95,346500
2021-02-16,285.21,285.61,280.88,282.51,269800
2021-02-17,280.72,283.71,279.72,282.58,286600
