date,open,high,low,close,volume
2020-08-19,37.17,37.29,36.41,36.61,271700
2020-08-20,36.18,37.31,36.07,37.16,287700
2020-08-21,37.06,37.49,36.01,37.22,710300
2020-08-24,37.58,38.03,37.06,37.99,453800
2020-08-25,38.24,38.25,37.33,37.55,195100
2020-08-26,37.46,37.67,36.9,37.33,202800
2020-08-27,37.58,38.09,37.34,37.88,218400
2020-08-28,38.15,38.42,37.81,38.33,193700
2020-08-31,38.28,38.5,37.82,38.14,322500
2020-09-01,38.0,38.23,37.6,38.19,156700
2020-09-02,38.15,38.89,37.99,38.67,138300
2020-09-03,38.47,39.62,37.61,37.76,242600
2020-09-04,38.5,38.83,37.84,38.33,274700
2020-09-08,37.91,37.91,36.61,36.65,313700
2020-09-09,37.78,39.5,36.97,38.53,718500
2020-09-10,38.9,38.9,37.09,37.78,458800
2020-09-11,37.73,37.73,36.1,36.14,463100
2020-09-14,36.45,37.15,36.1,36.71,284900
2020-09-15,36.7,37.1,36.46,37.06,277900
2020-09-16,37.01,37.9,36.96,37.53,362900
2020-09-17,37.2,39.12,36.86,38.43,507800
2020-09-18,38.67,39.35,38.09,38.57,1071900
2020-09-21,37.64,37.76,36.15,37.09,438000
2020-09-22,37.06,37.75,36.69,37.5,339400
2020-09-23,37.5,37.69,36.16,36.18,517100
2020-09-24,36.24,37.24,35.96,36.74,340900
2020-09-25,36.42,37.26,36.42,36.85,507300
2020-09-28,37.28,37.86,37.1,37.46,497200
2020-09-29,37.47,37.58,36.41,36.92,359500
2020-09-30,36.95,37.47,36.36,36.66,420000
2020-10-01,36.72,37.05,36.35,36.74,280600
2020-10-02,36.08,37.04,36.08,36.7,349100
2020-10-05,36.9,37.1,36.58,36.83,377400
2020-10-06,36.97,37.78,36.62,36.92,740800
2020-10-07,37.19,37.46,36.74,37.39,604200
2020-10-08,37.59,37.9,37.14,37.48,316000
2020-10-09,37.6,37.69,36.73,37.01,277300
2020-10-12,36.91,37.31,36.78,37.15,313600
2020-10-13,36.8,37.25,36.58,37.12,230200
2020-10-14,37.16,37.76,36.26,36.29,193500
2020-10-15,35.76,35.82,34.91,34.98,400500
2020-10-16,34.84,35.24,34.51,34.73,322400
2020-10-19,34.75,34.97,33.76,33.88,298200
2020-10-20,34.12,34.7,33.86,34.13,181700
2020-10-21,33.99,34.11,33.51,33.73,165400
2020-10-22,33.84,34.97,33.61,34.95,364300
2020-10-23,35.05,35.75,34.92,35.67,391500
2020-10-26,35.26,35.93,35.01,35.9,484000
2020-10-27,35.94,36.71,35.1,36.39,372000
