date,open,high,low,close,volume
2020-08-19,110.24,111.34,109.07,110.13,62100
2020-08-20,109.57,111.92,108.97,110.59,46100
2020-08-21,109.68,111.12,109.23,110.82,172300
2020-08-24,111.4,112.64,110.4,112.2,51600
2020-08-25,112.76,113.74,110.51,110.95,26100
2020-08-26,110.53,110.54,108.47,110.11,44800
2020-08-27,111.43,111.84,110.05,111.1,28500
2020-08-28,112.0,112.47,110.75,111.62,37400
2020-08-31,111.1,112.39,110.36,110.9,60800
2020-09-01,111.14,115.0,111.14,114.9,34300
2020-09-02,114.82,116.62,114.31,116.25,34900
2020-09-03,115.76,115.76,111.37,111.95,29800
2020-09-04,113.85,113.89,111.6,112.22,30900
2020-09-08,111.22,111.22,109.19,109.26,34300
2020-09-09,109.78,109.78,107.94,109.01,41000
2020-09-10,109.67,109.89,108.32,108.83,38400
2020-09-11,108.78,109.82,107.08,107.54,32500
2020-09-14,108.14,108.5,107.11,108.16,29500
2020-09-15,109.42,109.42,106.76,107.49,26100
2020-09-16,108.4,111.01,108.22,110.57,44100
2020-09-17,109.18,112.28,108.94,110.42,31400
2020-09-18,111.38,111.62,105.67,106.25,182700
2020-09-21,104.2,104.58,97.52,100.02,58300
2020-09-22,100.2,103.52,99.89,102.93,45800
2020-09-23,102.97,104.61,100.61,101.05,44700
2020-09-24,101.8,103.98,101.19,101.89,27500
2020-09-25,100.67,102.59,100.67,102.06,32600
2020-09-28,103.26,106.27,102.3,105.15,44400
2020-09-29,105.56,107.0,105.01,106.4,59600
2020-09-30,107.25,110.06,107.25,108.03,55500
2020-10-01,107.6,109.54,105.89,108.07,30600
2020-10-02,106.23,110.71,105.99,110.04,35200
2020-10-05,111.36,113.15,110.86,112.1,26400
2020-10-06,113.47,115.03,111.26,112.25,42000
2020-10-07,113.87,114.29,111.48,113.97,61400
2020-10-08,115.29,117.72,113.59,117.29,51000
2020-10-09,118.37,118.94,116.6,117.0,40500
2020-10-12,116.77,118.36,116.38,117.82,35000
2020-10-13,117.47,118.23,114.69,117.35,27600
2020-10-14,117.65,119.19,116.25,116.76,47300
2020-10-15,115.03,118.57,113.34,118.06,21400
2020-10-16,117.72,120.0,117.56,117.56,21400
2020-10-19,117.12,119.1,115.65,118.56,41700
2020-10-20,119.69,120.84,118.95,120.2,40900
2020-10-21,120.92,122.32,119.94,121.22,38700
2020-10-22,121.42,123.34,120.42,123.02,43000
2020-10-23,123.92,125.86,123.8,125.0,37500
2020-10-26,123.56,124.28,119.95,122.22,41900
2020-10-27,121.82,122.54,120.54,120.8,38400
2020-10-28,118.26,120.38,117.48,118.97,61000
2020-10-29,119.62,127.71,115.87,120.86,61700
2020-10-30,120.67,122.49,118.26,120.33,60100
2020-11-02,121.92,125.59,121.92,125.48,39000
2020-11-03,127.75,132.03,127.75,129.99,119100
2020-11-04,127.05,128.11,125.61,126.42,32500
2020-11-05,127.46,131.38,127.43,130.26,31300
2020-11-06,131.39,131.81,128.44,128.64,18200
2020-11-09,134.57,139.97,134.38,134.59,44300
2020-11-10,136.18,140.0,136.14,138.27,48900
2020-11-11,136.32,138.17,134.36,137.28,19300
2020-11-12,136.13,136.85,132.69,134.5,47000
2020-11-13,135.42,139.29,133.0,134.39,44700
2020-11-16,135.25,139.37,131.17,135.42,95200
2020-11-17,134.57,139.45,131.77,138.08,59400
2020-11-18,138.94,140.12,135.6,136.27,65600
2020-11-19,136.03,136.29,133.37,135.57,26400
2020-11-20,134.2,136.1,133.82,135.78,38300
2020-11-23,136.83,140.26,135.15,138.81,50600
2020-11-24,140.16,145.35,138.76,143.15,73600
2020-11-25,142.56,142.56,135.62,136.61,53700
2020-11-27,136.1,140.24,136.1,138.64,19800
2020-11-30,138.16,138.16,135.72,135.72,66700
2020-12-01,137.28,138.17,135.89,135.9,63100
2020-12-02,135.63,135.79,132.85,134.88,32900
2020-12-03,133.97,137.08,133.38,134.15,29000
2020-12-04,133.96,137.21,133.96,135.88,32600
2020-12-07,134.92,135.55,134.16,135.07,46400
2020-12-08,133.96,136.93,133.96,136.41,46000
2020-12-09,137.37,139.41,136.73,137.09,29500
2020-12-10,137.15,137.15,133.45,134.41,30200
2020-12-11,134.41,136.17,133.08,135.1,18900
2020-12-14,135.1,135.39,133.92,134.13,28500
2020-12-15,134.47,139.6,133.19,138.88,37600
2020-12-16,138.09,139.89,136.06,136.7,20300
2020-12-17,137.7,138.97,136.61,138.57,20900
2020-12-18,139.06,142.48,139.06,139.9,110000
2020-12-21,137.35,137.84,135.25,137.09,25300
2020-12-22,136.74,138.43,136.02,136.3,17300
2020-12-23,135.76,138.57,135.64,137.66,23900
2020-12-24,138.95,139.94,137.46,137.83,13500
2020-12-28,139.62,141.48,138.88,138.88,29200
2020-12-29,140.46,140.46,134.29,136.38,32000
2020-12-30,136.0,138.28,135.68,136.22,33500
2020-12-31,135.39,139.4,135.39,137.95,25100
2021-01-04,137.95,139.99,135.63,137.74,36700
2021-01-05,137.74,142.44,137.74,140.44,33700
2021-01-06,142.44,154.63,142.44,150.85,71600
2021-01-07,150.85,151.95,146.1,149.43,44900
2021-01-08,148.7,148.7,143.38,144.57,52600
2021-01-11,142.72,146.15,141.63,142.17,32600
2021-01-12,141.95,148.69,141.95,148.62,51800
2021-01-13,147.74,149.55,144.64,148.32,92100
2021-01-14,149.09,152.79,149.09,152.07,37000
2021-01-15,149.33,153.0,147.76,151.5,61300
2021-01-19,152.69,153.47,150.96,152.63,61300
2021-01-20,152.14,154.66,151.46,152.94,40500
2021-01-21,152.97,153.87,150.33,152.82,67500
2021-01-22,151.46,154.34,151.46,153.79,27500
2021-01-25,152.66,153.66,150.51,152.82,51900
2021-01-26,152.82,153.52,149.85,150.66,66900
2021-01-27,147.58,148.8,143.53,145.03,86900
2021-01-28,146.79,146.79,142.76,142.93,50200
2021-01-29,142.2,143.8,139.59,139.59,45700
2021-02-01,140.32,143.57,137.92,142.73,34500
2021-02-02,145.0,149.41,145.0,149.2,48500
2021-02-03,148.54,149.6,146.94,148.18,78900
2021-02-04,147.54,149.18,146.95,148.44,43800
2021-02-05,149.0,149.0,146.49,147.1,29000
2021-02-08,148.4,150.45,147.56,149.0,124500
2021-02-09,149.0,151.62,148.48,149.75,51600
2021-02-10,150.25,150.25,145.46,147.14,113200
2021-02-11,147.43,149.41,145.56,149.39,55600
2021-02-12,150.17,150.17,147.32,149.5,32300
2021-02-16,150.82,151.24,149.3,150.42,31900
2021-02-17,150.13,151.94,149.49,151.39,31000
2021-02-18,151.37,151.37,149.32,150.06,32700
2021-02-19,150.99,157.05,150.83,155.92,40700
2021-02-22,155.29,161.79,155.29,159.21,31600
2021-02-23,159.96,161.12,156.96,158.99,49400
2021-02-24,159.9,163.15,159.9,161.11,31500
2021-02-25,161.77,161.77,154.71,156.38,40700
2021-02-26,149.0,159.8,146.5,152.63,63500
2021-03-01,154.96,159.48,153.6,157.36,44500
2021-03-02,156.86,156.86,153.18,154.48,42700
2021-03-03,155.6,159.01,154.19,154.19,46700
2021-03-04,153.14,156.86,150.82,151.3,43200
2021-03-05,154.07,155.07,150.68,154.73,44000
2021-03-08,156.62,160.31,155.26,157.62,28200
2021-03-09,159.03,159.43,156.01,156.65,24100
2021-03-10,158.05,160.77,157.22,159.86,28000
2021-03-11,161.54,161.54,158.78,160.69,26300
2021-03-12,161.0,164.96,160.87,163.64,25400
2021-03-15,162.38,162.38,159.67,161.61,27900
2021-03-16,160.02,160.94,158.08,160.02,28900
2021-03-17,160.59,161.23,157.9,159.22,27400
2021-03-18,158.09,161.91,157.84,158.73,25200
2021-03-19,158.69,158.91,155.34,158.91,113600
2021-03-22,158.68,158.68,152.52,153.28,21900
2021-03-23,151.0,152.38,145.48,146.69,30500
2021-03-24,148.18,152.74,146.26,146.48,20900
2021-03-25,144.82,150.86,144.42,150.52,24900
2021-03-26,152.54,154.48,150.68,153.18,45100
2021-03-29,153.18,157.43,151.2,153.9,65000
2021-03-30,151.96,156.05,151.95,155.15,36400
2021-03-31,156.87,161.11,153.8,156.15,60100
2021-04-01,156.99,157.49,155.01,157.47,21300
2021-04-05,159.78,161.41,158.15,160.32,27400
2021-04-06,159.31,161.81,158.74,158.96,33000
2021-04-07,159.68,160.0,157.27,157.29,40700
2021-04-08,157.5,158.78,154.97,158.19,23500
2021-04-09,158.67,159.58,157.0,159.37,23500
2021-04-12,159.78,160.89,157.57,159.94,20600
2021-04-13,158.94,159.26,156.82,157.64,22400
2021-04-14,156.74,159.76,153.85,158.42,25300
2021-04-15,160.52,160.52,157.81,158.59,11400
2021-04-16,160.16,160.62,157.9,159.04,15200
2021-04-19,157.74,158.23,155.23,157.97,24400
2021-04-20,154.97,157.72,152.61,153.97,28400
2021-04-21,154.59,156.66,154.59,156.1,26500
2021-04-22,157.32,158.19,154.3,156.36,32400
2021-04-23,158.08,160.62,157.54,159.24,23200
2021-04-26,158.9,159.13,157.91,157.99,20800
2021-04-27,159.14,159.26,156.99,158.12,20700
2021-04-28,157.51,160.1,157.5,158.8,23500
2021-04-29,160.12,160.24,157.5,158.57,29100
2021-04-30,156.89,159.88,156.37,157.25,37700
2021-05-03,159.7,160.06,156.69,158.69,48800
2021-05-04,159.04,162.21,158.0,160.43,32900
2021-05-05,160.05,162.42,158.56,161.37,32500
2021-05-06,160.75,163.02,160.75,162.84,38200
2021-05-07,162.84,165.0,162.77,164.81,28700
2021-05-10,164.5,165.98,159.55,161.05,60400
2021-05-11,158.24,161.67,156.73,158.57,25100
2021-05-12,157.92,158.33,153.34,153.34,42700
2021-05-13,153.44,159.74,153.44,158.1,41800
2021-05-14,158.77,159.49,158.08,159.06,20500
2021-05-17,157.56,159.81,157.25,159.62,31200
2021-05-18,159.6,159.67,157.08,157.6,34100
2021-05-19,155.33,155.76,151.83,155.71,26600
2021-05-20,156.09,156.09,153.82,155.34,23700
2021-05-21,156.98,158.63,154.84,155.83,32100
2021-05-24,156.41,156.41,152.21,153.19,44500
2021-05-25,153.08,153.97,150.41,150.41,30500
2021-05-26,150.35,153.16,150.35,152.13,25800
2021-05-27,154.04,154.62,151.99,152.86,38400
2021-05-28,152.82,155.0,152.82,154.18,22700
2021-06-01,155.0,158.53,153.63,156.15,44900
2021-06-02,155.49,156.71,152.02,153.66,32100
2021-06-03,151.91,152.71,150.51,151.56,35200
2021-06-04,152.76,152.76,150.31,151.61,20700
2021-06-07,151.06,151.53,148.34,149.43,35100
2021-06-08,150.02,151.84,149.0,151.46,29300
2021-06-09,150.95,152.63,149.75,150.94,52900
2021-06-10,151.35,151.35,149.03,149.48,25400
2021-06-11,149.48,150.2,147.62,149.37,28100
2021-06-14,148.68,149.09,147.77,149.08,38100
2021-06-15,148.77,149.23,147.44,149.17,53200
2021-06-16,148.85,150.19,147.28,149.23,31600
2021-06-17,150.0,150.0,146.49,148.01,37000
2021-06-18,147.79,148.2,142.01,142.12,107400
2021-06-21,143.67,146.74,143.6,145.53,30900
2021-06-22,144.54,150.85,142.15,150.76,78700
2021-06-23,150.17,152.97,150.1,150.71,58600
2021-06-24,152.17,153.73,149.37,152.18,34100
2021-06-25,151.77,154.69,151.77,152.65,114700
2021-06-28,151.58,152.82,149.17,152.1,42100
2021-06-29,152.1,152.48,151.39,151.78,15500
2021-06-30,150.62,153.62,150.62,152.68,39000
2021-07-01,154.12,155.26,152.7,154.71,35700
2021-07-02,154.24,154.4,151.68,151.88,20100
2021-07-06,152.37,152.37,146.87,149.0,31600
2021-07-07,149.18,149.78,146.28,147.27,40000
2021-07-08,145.14,147.0,142.63,145.02,22400
2021-07-09,147.63,149.9,146.77,148.0,23300
2021-07-12,146.66,149.08,145.92,149.07,21600
2021-07-13,147.53,149.49,145.63,146.08,22700
2021-07-14,147.17,147.17,144.51,145.41,17600
2021-07-15,144.0,146.24,144.0,145.62,18100
2021-07-16,146.85,146.85,142.65,143.33,16500
2021-07-19,140.84,142.26,138.26,139.6,22800
2021-07-20,140.59,146.2,140.07,143.22,38700
2021-07-21,144.45,147.77,144.45,145.85,29000
2021-07-22,145.18,145.18,140.22,141.01,38500
2021-07-23,141.3,143.37,140.07,142.93,17700
2021-07-26,143.59,144.26,142.62,144.02,19400
2021-07-27,142.1,144.43,141.03,142.82,22500
2021-07-28,143.01,145.37,141.37,143.87,17200
2021-07-29,145.45,147.12,143.31,145.86,17700
2021-07-30,145.8,146.99,144.44,146.77,19100
2021-08-02,149.1,149.1,143.92,144.23,28400
2021-08-03,143.96,145.62,143.51,145.29,40400
2021-08-04,142.91,144.39,140.27,141.06,16700
2021-08-05,150.0,150.0,143.88,145.4,17500
2021-08-06,147.7,148.57,145.91,148.39,16200
2021-08-09,148.81,150.18,148.04,148.2,29200
2021-08-10,147.81,153.49,147.18,152.32,59400
2021-08-11,153.55,155.13,151.21,154.61,20300
2021-08-12,154.26,156.58,154.04,155.81,28500
2021-08-13,154.85,154.85,151.51,152.15,10400
2021-08-16,150.3,151.88,150.24,150.58,15800
2021-08-17,148.67,148.68,145.96,147.4,17600
2021-08-18,147.1,147.1,145.84,146.65,18300
2021-08-19,144.65,146.31,143.21,145.19,29600
2021-08-20,144.9,147.81,144.9,147.17,33400
2021-08-23,148.09,149.49,147.95,148.43,12300
2021-08-24,148.27,150.26,148.27,149.49,11000
2021-08-25,150.44,151.22,149.47,150.38,23100
2021-08-26,149.99,152.92,149.99,151.78,27900
2021-08-27,152.6,157.5,152.6,156.35,38500
2021-08-30,157.72,157.72,153.85,154.72,17900
2021-08-31,155.72,155.74,153.06,155.01,22600
2021-09-01,156.06,156.06,152.19,155.06,21400
2021-09-02,156.25,156.25,153.94,155.12,33400
2021-09-03,154.17,156.04,153.66,154.39,19900
2021-09-07,153.46,153.46,149.29,150.13,40900
2021-09-08,148.81,151.09,148.16,149.74,21500
2021-09-09,148.96,150.11,148.32,148.32,21700
2021-09-10,149.31,149.31,146.63,147.02,18300
2021-09-13,148.24,148.24,144.98,146.47,17700
2021-09-14,147.24,147.24,143.37,144.2,33700
2021-09-15,143.63,145.45,142.78,144.92,23900
2021-09-16,145.72,145.72,143.35,144.68,24900
2021-09-17,144.82,145.22,143.13,145.22,111300
2021-09-20,142.59,142.59,138.06,140.22,24100
2021-09-21,141.67,142.21,138.7,140.96,22200
2021-09-22,142.36,153.9,141.74,145.49,44800
2021-09-23,145.94,148.53,145.94,146.88,26100
2021-09-24,146.87,146.87,142.79,144.67,24200
2021-09-27,144.77,147.36,144.77,145.82,20400
2021-09-28,146.39,146.39,142.66,142.76,28600
2021-09-29,142.71,143.69,141.77,142.25,23100
2021-09-30,143.28,144.34,139.29,139.53,29500
2021-10-01,140.93,143.5,138.52,142.25,40600
2021-10-04,140.79,142.3,140.19,141.24,18000
2021-10-05,141.38,143.23,138.76,142.15,30000
2021-10-06,140.56,142.05,138.95,141.88,20800
2021-10-07,141.75,144.6,141.75,143.29,19700
2021-10-08,143.0,144.99,142.88,143.63,13600
2021-10-11,143.55,144.71,142.13,142.45,15000
2021-10-12,141.89,143.7,141.89,143.07,18700
2021-10-13,143.28,143.91,140.3,143.54,16700
2021-10-14,144.42,145.89,144.39,145.43,13400
2021-10-15,148.19,149.09,145.13,147.05,42700
2021-10-18,145.93,146.6,145.39,146.02,13200
2021-10-19,145.78,146.64,145.25,146.39,15300
2021-10-20,145.82,148.36,145.82,147.21,14300
2021-10-21,147.77,149.27,146.54,149.25,27400
