date,open,high,low,close,volume
2020-08-19,40.24,41.17,39.64,41.01,133900
2020-08-20,40.02,41.09,39.69,40.78,99700
2020-08-21,40.19,41.0,40.1,40.37,109700
2020-08-24,41.31,42.23,40.48,41.13,110400
2020-08-25,41.3,41.66,40.23,41.0,90200
2020-08-26,40.83,41.5,40.23,40.82,136900
2020-08-27,41.28,41.81,40.38,41.38,131700
2020-08-28,41.75,42.39,41.44,42.17,116500
2020-08-31,41.91,41.99,40.84,40.95,170700
2020-09-01,40.7,42.57,40.14,42.57,138600
2020-09-02,42.33,43.61,41.85,43.6,158300
2020-09-03,43.57,43.92,41.1,41.34,160400
2020-09-04,42.26,42.6,40.7,42.26,128100
2020-09-08,41.49,41.49,39.7,39.75,155100
2020-09-09,40.24,41.04,39.73,40.77,110800
2020-09-10,41.27,41.77,40.12,40.3,104600
2020-09-11,40.6,40.82,40.04,40.41,86900
2020-09-14,40.84,41.22,39.84,40.64,122300
2020-09-15,41.16,41.74,40.63,40.8,121400
2020-09-16,41.23,42.61,40.7,41.84,128500
2020-09-17,40.87,42.45,40.5,42.0,115500
2020-09-18,42.49,42.63,40.11,41.0,300600
2020-09-21,39.56,39.59,35.79,36.78,236800
2020-09-22,37.13,37.76,36.28,37.14,161500
2020-09-23,37.0,37.95,35.54,35.58,158000
2020-09-24,35.59,36.37,34.95,35.92,134100
2020-09-25,35.44,36.84,35.44,36.56,102500
2020-09-28,37.84,40.03,37.7,39.13,126000
2020-09-29,39.28,39.6,38.14,38.91,105400
2020-09-30,39.03,40.95,39.03,39.61,169700
2020-10-01,39.93,40.45,39.33,40.38,114200
2020-10-02,39.0,42.31,39.0,42.08,138900
2020-10-05,42.99,45.64,42.32,45.0,211700
2020-10-06,45.0,45.87,43.8,44.0,174000
2020-10-07,45.28,45.81,44.49,45.55,137100
2020-10-08,46.2,46.34,45.19,46.12,94000
2020-10-09,46.99,46.99,45.54,45.9,78700
2020-10-12,46.1,46.31,45.11,45.7,70400
2020-10-13,45.0,45.33,43.58,44.21,110800
2020-10-14,44.05,45.92,43.27,44.79,371100
2020-10-15,44.06,45.37,43.87,45.17,138000
2020-10-16,45.34,47.09,45.12,46.17,154900
2020-10-19,47.0,47.05,45.06,45.21,139200
2020-10-20,45.66,46.39,44.98,45.61,159300
2020-10-21,45.48,46.64,45.01,45.63,222400
2020-10-22,45.86,47.77,44.19,44.83,250100
2020-10-23,45.58,47.21,44.54,46.7,190000
2020-10-26,45.6,45.6,43.25,44.54,223300
2020-10-27,44.27,44.53,43.22,43.8,257600
2020-10-28,42.07,43.4,41.7,42.95,163200
2020-10-29,42.82,44.44,42.32,43.97,167500
2020-10-30,43.81,44.83,43.36,44.36,166600
2020-11-02,45.22,47.74,45.22,46.48,322300
2020-11-03,48.0,48.53,46.84,47.83,144200
2020-11-04,45.91,46.18,43.0,44.1,279200
2020-11-05,44.91,48.56,44.91,47.54,161600
