date,open,high,low,close,volume
2020-08-19,25.92,26.33,25.83,25.98,248400
2020-08-20,25.77,26.23,25.75,26.14,288800
2020-08-21,26.07,26.82,25.83,26.69,483200
2020-08-24,26.82,27.33,26.82,27.22,424800
2020-08-25,27.35,27.35,26.89,27.04,227800
2020-08-26,27.01,27.31,26.8,27.11,285200
2020-08-27,27.27,27.66,27.06,27.1,372000
2020-08-28,27.12,27.26,26.89,27.16,239200
2020-08-31,27.17,27.35,26.84,26.92,402200
2020-09-01,26.85,27.15,26.64,26.89,445600
2020-09-02,27.07,27.41,26.98,27.35,301200
2020-09-03,27.32,27.32,26.07,26.17,497400
2020-09-04,26.43,26.58,25.01,25.85,537400
2020-09-08,25.61,25.86,25.1,25.51,532400
2020-09-09,25.81,26.38,25.81,26.2,583200
2020-09-10,26.35,26.72,25.71,25.77,518400
2020-09-11,25.85,26.55,25.81,26.22,540000
2020-09-14,26.37,26.48,25.73,25.83,260800
2020-09-15,25.95,26.2,25.75,25.98,279800
2020-09-16,26.24,26.39,25.81,25.87,340400
2020-09-17,25.64,26.19,25.55,25.94,356200
2020-09-18,26.14,26.24,24.88,25.0,1397800
2020-09-21,24.58,24.66,23.76,24.34,670800
2020-09-22,24.28,24.47,23.59,24.35,691200
2020-09-23,24.46,25.02,24.22,24.4,512600
2020-09-24,24.92,25.33,24.25,24.86,423600
2020-09-25,24.67,25.0,24.6,24.76,364200
2020-09-28,24.98,25.54,24.87,25.27,371600
2020-09-29,25.28,25.44,25.1,25.26,337600
2020-09-30,25.37,25.51,24.82,25.1,489000
2020-10-01,25.28,25.64,24.87,25.02,279000
2020-10-02,24.79,25.7,24.66,25.6,434400
2020-10-05,25.75,26.11,25.72,26.0,290800
2020-10-06,26.22,26.68,25.77,26.41,627000
2020-10-07,26.66,27.24,26.54,26.85,669200
2020-10-08,26.94,27.07,26.69,26.95,247800
2020-10-09,27.15,27.34,26.75,26.85,386800
2020-10-12,26.83,27.29,26.83,27.21,260600
2020-10-13,27.12,27.5,26.79,27.02,353600
2020-10-14,27.09,27.42,26.37,27.33,453400
2020-10-15,27.14,27.71,26.92,27.68,356600
2020-10-16,27.58,28.0,26.43,26.5,496400
2020-10-19,26.51,26.69,25.59,25.7,370200
2020-10-20,25.95,26.11,25.59,25.78,382400
2020-10-21,25.79,26.75,25.57,25.97,605000
2020-10-22,26.17,26.31,25.68,26.21,357000
2020-10-23,26.32,26.43,25.91,26.36,329000
2020-10-26,26.12,26.24,25.69,26.09,261800
2020-10-27,26.02,26.17,25.53,25.63,275400
2020-10-28,25.14,25.23,23.76,24.75,428200
2020-10-29,25.35,25.35,24.41,24.77,421600
2020-10-30,24.95,25.75,24.54,25.07,515000
2020-11-02,25.13,25.31,24.5,24.94,356400
2020-11-03,25.4,25.96,25.16,25.72,498600
2020-11-04,25.69,26.31,25.18,25.5,399000
2020-11-05,25.77,26.03,25.4,25.54,317200
2020-11-06,25.68,25.96,25.29,25.62,288400
2020-11-09,27.12,27.33,24.95,24.99,586400
2020-11-10,25.11,26.44,24.98,26.32,657000
2020-11-11,26.35,27.11,25.86,26.25,385400
2020-11-12,26.11,26.43,25.85,26.11,718000
2020-11-13,26.32,27.0,26.32,26.88,351200
2020-11-16,27.17,27.9,26.87,27.44,701600
2020-11-17,27.33,27.8,26.76,27.68,506800
2020-11-18,27.82,28.13,27.46,27.49,446200
2020-11-19,27.52,27.64,26.85,27.43,425400
2020-11-20,27.24,27.5,27.14,27.45,358200
2020-11-23,27.59,27.78,27.16,27.35,346200
2020-11-24,27.66,28.45,27.55,27.89,739200
2020-11-25,27.86,28.25,27.32,27.86,416400
2020-11-27,27.81,28.26,27.44,27.75,162600
2020-11-30,27.54,28.11,27.23,27.31,423400
2020-12-01,27.47,28.36,27.43,27.5,475400
2020-12-02,27.55,27.9,26.96,27.36,273000
2020-12-03,27.38,27.95,27.28,27.4,345600
2020-12-04,27.55,28.1,27.45,27.98,368400
2020-12-07,28.06,28.38,27.75,28.34,384000
2020-12-08,28.13,28.56,28.1,28.4,338400
2020-12-09,28.92,29.65,28.76,29.03,521000
2020-12-10,29.11,29.16,28.2,28.66,290000
2020-12-11,28.45,29.09,28.17,29.05,538600
2020-12-14,29.34,29.34,28.19,28.28,396200
2020-12-15,28.5,28.92,27.89,28.63,432800
2020-12-16,28.72,28.92,28.27,28.54,308800
2020-12-17,28.59,28.83,28.08,28.72,357400
2020-12-18,28.74,28.9,28.19,28.54,839600
2020-12-21,28.45,28.56,28.11,28.32,259800
2020-12-22,28.27,28.91,28.11,28.2,233200
2020-12-23,28.29,28.49,28.16,28.34,203400
2020-12-24,28.48,28.6,28.23,28.31,90800
2020-12-28,28.5,28.92,28.25,28.49,281600
2020-12-29,28.44,28.67,28.16,28.27,284800
2020-12-30,28.29,28.66,27.8,28.33,232400
2020-12-31,28.39,28.8,28.18,28.5,273000
2021-01-04,28.52,28.66,27.43,27.64,420000
2021-01-05,27.71,28.65,27.71,28.22,394600
2021-01-06,28.6,29.85,28.33,29.25,691000
2021-01-07,29.28,29.66,28.95,29.3,261000
2021-01-08,29.51,29.71,29.05,29.26,359000
2021-01-11,29.08,29.75,28.94,29.45,237800
2021-01-12,29.64,29.89,29.29,29.73,260200
2021-01-13,30.01,30.13,28.91,29.17,286000
2021-01-14,29.18,30.37,29.07,30.14,555600
2021-01-15,29.96,30.11,28.81,29.49,287800
2021-01-19,29.45,29.93,29.0,29.42,442600
2021-01-20,29.66,30.31,29.33,30.25,599000
2021-01-21,30.42,30.68,29.67,29.73,215600
2021-01-22,29.6,29.75,29.15,29.66,276400
2021-01-25,29.53,29.81,28.95,29.76,172800
2021-01-26,30.07,30.07,29.33,29.38,162200
2021-01-27,28.85,28.97,27.78,27.87,348600
2021-01-28,28.31,28.99,27.14,27.3,465200
2021-01-29,27.36,27.36,26.32,26.32,311000
2021-02-01,26.55,27.24,26.17,27.16,386000
2021-02-02,27.5,28.17,27.18,28.07,351800
2021-02-03,28.08,28.23,27.33,27.69,312600
2021-02-04,27.91,28.53,27.66,28.37,372600
2021-02-05,28.37,29.92,27.88,28.92,877200
2021-02-08,29.5,29.55,28.69,29.29,440200
2021-02-09,29.2,29.67,28.64,29.55,444400
2021-02-10,29.81,29.81,28.1,28.24,560600
2021-02-11,28.25,28.76,27.51,27.59,531800
2021-02-12,27.46,28.31,27.3,28.06,389400
2021-02-16,28.35,28.38,27.5,27.61,260800
2021-02-17,27.52,27.69,27.28,27.55,174000
2021-02-18,27.51,27.63,27.07,27.11,375400
2021-02-19,27.96,28.47,27.7,28.4,771600
2021-02-22,28.0,28.73,28.0,28.52,575400
2021-02-23,28.57,28.85,27.61,28.12,414400
2021-02-24,28.14,28.87,28.14,28.75,394600
2021-02-25,28.89,28.92,28.39,28.51,286600
2021-02-26,28.55,29.0,28.4,28.79,440400
2021-03-01,29.25,29.51,28.95,29.15,352200
2021-03-02,29.17,29.6,28.98,29.13,273200
2021-03-03,29.27,30.23,29.19,29.62,418800
2021-03-04,29.74,30.4,29.55,30.24,1477000
2021-03-05,30.57,31.15,30.01,30.77,745400
2021-03-08,31.1,32.1,31.08,31.38,599200
2021-03-09,31.42,32.42,31.37,32.1,484600
2021-03-10,32.25,32.56,31.5,32.24,496000
2021-03-11,32.38,33.15,31.57,33.07,576000
2021-03-12,33.13,34.22,33.0,34.06,658600
2021-03-15,34.06,34.22,33.1,33.42,484400
2021-03-16,33.26,33.76,32.49,32.97,508600
2021-03-17,32.85,33.92,32.5,33.49,663400
2021-03-18,33.76,34.35,33.41,34.0,571200
2021-03-19,33.88,34.3,33.15,33.15,924400
2021-03-22,33.35,33.4,32.44,32.69,324200
2021-03-23,32.4,33.79,31.77,31.85,385200
2021-03-24,32.07,32.72,31.99,32.06,381600
2021-03-25,32.06,32.56,31.55,32.34,345600
2021-03-26,32.85,33.94,32.76,33.83,478800
