date,open,high,low,close,volume
2020-08-19,7.16,7.29,6.94,7.03,389200
2020-08-20,7.02,7.02,6.61,6.97,637600
2020-08-21,6.94,6.95,6.73,6.78,262300
2020-08-24,6.86,7.05,6.86,6.99,305500
2020-08-25,7.14,7.3,7.0,7.02,444100
2020-08-26,7.0,7.04,6.79,6.83,265100
2020-08-27,6.75,6.88,6.71,6.76,226600
2020-08-28,6.77,7.25,6.77,7.17,454100
2020-08-31,7.15,7.19,7.0,7.1,261300
2020-09-01,7.05,7.05,6.68,6.83,344400
2020-09-02,6.53,6.69,6.21,6.61,706900
2020-09-03,6.6,6.72,6.34,6.45,403800
2020-09-04,6.51,6.72,6.45,6.68,374600
2020-09-08,6.51,6.73,6.5,6.52,380100
2020-09-09,6.6,6.61,6.43,6.45,297600
2020-09-10,6.5,6.73,6.5,6.62,287800
2020-09-11,6.7,6.79,6.53,6.64,361000
2020-09-14,6.71,6.82,6.65,6.76,227600
2020-09-15,6.83,6.83,6.69,6.69,147900
2020-09-16,6.69,6.93,6.63,6.92,205900
2020-09-17,6.86,7.0,6.85,6.98,202800
2020-09-18,6.98,7.22,6.92,7.11,431200
2020-09-21,6.88,6.95,6.49,6.54,374500
2020-09-22,6.71,6.83,6.5,6.52,296100
2020-09-23,6.66,6.86,6.57,6.58,329900
2020-09-24,6.64,6.94,6.51,6.84,495300
2020-09-25,6.79,7.03,6.7,6.84,314000
2020-09-28,6.96,6.98,6.76,6.85,273300
2020-09-29,6.76,7.0,6.73,6.75,343600
2020-09-30,6.8,7.01,6.8,6.89,321500
2020-10-01,7.0,7.15,6.86,7.11,536600
2020-10-02,7.07,7.38,7.0,7.37,628500
2020-10-05,7.42,7.84,7.4,7.69,705700
2020-10-06,7.73,7.84,7.33,7.42,622600
2020-10-07,7.41,7.5,7.11,7.18,383900
2020-10-08,7.25,7.47,7.2,7.44,456000
2020-10-09,7.39,7.47,7.12,7.13,426000
2020-10-12,7.1,7.13,6.93,7.09,266200
2020-10-13,7.05,7.08,6.73,6.73,376800
2020-10-14,6.84,6.98,6.74,6.83,280900
2020-10-15,6.74,6.93,6.68,6.88,186700
2020-10-16,6.88,6.88,6.65,6.7,254100
2020-10-19,6.76,6.89,6.59,6.85,341100
2020-10-20,6.88,7.08,6.83,7.04,214000
2020-10-21,7.11,7.18,6.86,6.86,373200
2020-10-22,6.9,7.07,6.89,6.92,740400
2020-10-23,6.94,7.0,6.8,6.93,342900
2020-10-26,6.92,6.93,6.69,6.89,265700
2020-10-27,6.85,6.94,6.81,6.82,344900
2020-10-28,6.66,6.66,6.13,6.15,504400
2020-10-29,6.13,6.31,6.12,6.25,484700
2020-10-30,6.29,6.45,6.13,6.24,229800
2020-11-02,6.32,6.41,6.14,6.16,262000
2020-11-03,6.3,6.3,6.18,6.2,354100
2020-11-04,6.21,6.35,6.12,6.2,345200
2020-11-05,6.35,6.53,6.31,6.35,578000
2020-11-06,6.5,6.67,6.47,6.61,339800
2020-11-09,6.93,7.09,6.83,6.97,549500
2020-11-10,7.0,7.06,6.83,7.03,316600
2020-11-11,7.06,7.2,6.92,7.0,529700
2020-11-12,7.09,7.16,7.02,7.09,428400
2020-11-13,7.09,7.26,6.97,7.01,406400
2020-11-16,7.23,7.26,7.04,7.25,828000
2020-11-17,7.11,7.22,6.8,6.9,634400
2020-11-18,6.87,7.14,6.87,7.09,1035600
2020-11-19,7.04,7.12,6.9,7.09,430300
2020-11-20,7.09,7.11,6.95,6.99,270000
2020-11-23,7.06,7.74,7.01,7.65,1333000
2020-11-24,7.66,7.7,7.34,7.4,629900
2020-11-25,7.45,7.47,7.25,7.4,293200
2020-11-27,7.4,7.8,7.31,7.7,525900
2020-11-30,8.45,8.9,8.06,8.21,2842900
2020-12-01,8.93,8.93,7.9,7.95,2234900
