date,open,high,low,close,volume
2020-08-19,20.1,20.45,19.95,20.11,358100
2020-08-20,19.71,20.11,19.58,19.95,411100
2020-08-21,19.78,20.31,19.77,19.84,491600
2020-08-24,20.13,20.2,19.64,19.99,629700
2020-08-25,20.19,20.33,19.41,19.58,332500
2020-08-26,19.41,20.03,19.34,19.91,565100
2020-08-27,20.14,20.38,19.67,19.98,364800
2020-08-28,20.13,20.33,19.98,20.1,326600
2020-08-31,19.94,20.14,19.55,19.57,512600
2020-09-01,19.38,19.82,19.3,19.72,548500
2020-09-02,19.81,20.12,19.7,19.9,563100
2020-09-03,19.92,20.27,19.2,19.37,445800
2020-09-04,19.83,20.35,19.63,20.3,996600
2020-09-08,20.12,20.54,19.77,20.03,1210300
2020-09-09,20.05,20.16,19.79,19.82,564300
2020-09-10,19.85,19.92,18.9,19.11,592600
2020-09-11,19.15,19.51,19.1,19.41,641100
2020-09-14,19.55,19.92,19.43,19.69,498500
2020-09-15,19.69,19.94,19.5,19.77,534000
2020-09-16,19.86,21.15,19.82,20.94,802400
2020-09-17,20.71,22.28,20.66,21.68,935200
2020-09-18,21.75,22.55,21.45,21.49,1750100
2020-09-21,20.68,21.07,19.24,19.31,763100
2020-09-22,19.28,19.41,18.76,19.12,559900
2020-09-23,19.14,19.57,18.51,18.51,607400
2020-09-24,18.45,18.77,18.15,18.27,586100
2020-09-25,18.02,18.64,18.0,18.45,570000
2020-09-28,18.82,19.58,18.52,19.04,656200
2020-09-29,19.14,19.55,18.91,19.36,451200
2020-09-30,19.49,20.02,19.17,19.36,550900
2020-10-01,19.95,20.65,19.82,20.33,901600
2020-10-02,19.77,21.83,19.68,21.59,853400
2020-10-05,22.21,24.3,22.21,24.04,1544000
2020-10-06,24.46,24.47,22.95,23.23,962000
2020-10-07,23.94,24.71,23.93,24.36,886700
2020-10-08,24.61,24.94,24.2,24.93,701900
2020-10-09,24.95,25.23,24.07,24.48,819500
2020-10-12,24.58,25.09,24.43,24.87,590500
2020-10-13,24.51,24.57,23.61,23.68,964400
2020-10-14,23.61,24.22,23.31,23.34,554700
2020-10-15,22.9,24.06,22.77,24.04,604100
2020-10-16,24.17,24.99,24.15,24.43,637500
2020-10-19,25.03,25.15,24.42,24.49,532700
2020-10-20,24.8,25.41,24.58,25.14,679900
2020-10-21,25.05,26.85,25.05,26.5,1451700
2020-10-22,26.61,26.83,25.8,26.82,596700
2020-10-23,27.14,27.44,26.45,26.81,545000
2020-10-26,25.99,26.43,25.25,25.75,639400
2020-10-27,25.37,25.73,24.93,24.96,843600
2020-10-28,24.19,25.0,23.68,24.3,885600
2020-10-29,24.36,24.86,23.72,24.75,965200
2020-10-30,24.62,24.98,24.36,24.69,655300
2020-11-02,25.0,26.31,24.99,26.08,669500
2020-11-03,26.87,27.86,26.54,27.6,674000
2020-11-04,26.43,26.53,24.5,24.94,875800
2020-11-05,25.26,27.08,25.26,26.71,435700
2020-11-06,26.97,27.03,26.23,26.37,350700
2020-11-09,28.0,30.51,28.0,29.26,1326100
2020-11-10,29.53,30.18,29.27,29.35,754900
2020-11-11,29.5,29.7,27.67,28.38,489700
2020-11-12,27.98,28.69,27.54,27.97,587100
2020-11-13,28.4,29.05,28.0,28.81,407000
2020-11-16,29.95,30.7,29.14,30.09,862200
2020-11-17,29.52,29.82,28.98,29.52,549000
2020-11-18,30.92,31.95,30.6,30.71,1084700
2020-11-19,30.34,30.65,29.77,30.6,544500
2020-11-20,30.51,30.9,30.24,30.37,1158700
2020-11-23,30.96,32.22,30.96,32.15,988500
2020-11-24,32.92,33.49,32.57,33.36,757100
2020-11-25,33.0,33.0,31.45,31.74,622200
2020-11-27,31.84,32.16,31.5,32.1,166600
2020-11-30,31.83,31.9,30.73,31.0,430700
2020-12-01,31.6,31.64,31.0,31.39,883100
2020-12-02,31.16,31.42,30.93,31.21,597800
2020-12-03,31.43,32.96,31.39,32.58,787700
2020-12-04,33.26,34.6,33.01,34.6,500800
2020-12-07,34.46,34.7,33.62,34.33,771400
2020-12-08,34.2,35.62,34.19,35.58,958300
2020-12-09,35.78,36.21,35.02,35.7,561500
2020-12-10,34.88,35.3,34.51,34.83,290200
2020-12-11,34.34,35.41,34.34,35.39,553900
2020-12-14,35.64,35.71,33.94,34.08,642600
2020-12-15,35.3,36.76,34.86,36.74,562600
