date,open,high,low,close,volume
2020-08-19,68.54,69.55,68.13,68.22,168300
2020-08-20,67.21,68.8,66.71,67.98,182900
2020-08-21,67.69,68.05,67.33,68.02,175900
2020-08-24,68.63,69.56,68.38,69.15,175900
2020-08-25,69.12,69.32,67.58,68.01,216400
2020-08-26,67.85,68.55,67.66,68.0,134700
2020-08-27,68.38,69.47,68.29,68.82,220000
2020-08-28,69.71,69.85,68.84,69.48,183400
2020-08-31,68.95,68.98,67.8,67.84,207800
2020-09-01,67.4,68.05,67.07,67.58,231700
2020-09-02,67.67,68.13,67.16,67.83,313400
2020-09-03,67.93,68.19,64.78,64.93,324000
2020-09-04,66.15,66.19,63.06,63.22,349600
2020-09-08,62.26,62.77,60.99,61.35,269500
2020-09-09,61.83,62.84,61.5,62.55,234300
2020-09-10,62.83,63.45,61.56,61.82,311600
2020-09-11,62.2,62.33,61.01,61.53,184300
2020-09-14,62.12,62.66,61.13,61.51,215600
2020-09-15,61.91,62.56,61.55,61.89,231400
2020-09-16,62.42,63.88,62.08,62.52,277000
2020-09-17,61.58,62.28,61.2,62.07,233200
2020-09-18,62.62,62.76,60.56,61.13,601600
2020-09-21,59.55,59.6,57.58,59.32,226800
2020-09-22,59.79,60.17,58.66,60.15,240100
2020-09-23,60.32,60.64,57.6,57.67,185400
2020-09-24,57.55,59.6,56.91,58.45,186300
2020-09-25,58.01,59.17,58.01,58.78,249200
2020-09-28,59.57,61.24,59.29,60.28,277800
2020-09-29,60.28,60.39,58.44,58.98,217200
2020-09-30,59.06,60.62,58.89,59.32,226000
2020-10-01,59.49,60.43,58.84,59.65,239400
2020-10-02,58.66,61.18,58.66,60.61,170600
2020-10-05,61.02,62.1,61.02,61.98,153600
2020-10-06,62.7,63.75,61.84,61.97,162200
2020-10-07,62.6,64.6,62.29,64.06,298300
2020-10-08,64.61,65.75,64.13,65.38,189200
2020-10-09,66.13,66.33,65.04,65.76,140700
2020-10-12,65.95,67.52,65.88,67.09,169800
2020-10-13,66.19,67.86,66.19,67.68,201400
2020-10-14,67.89,69.18,67.89,68.45,224600
2020-10-15,67.48,69.84,67.11,69.62,195700
2020-10-16,69.49,71.05,69.49,70.15,253300
2020-10-19,70.61,71.47,69.57,69.82,278000
