date,open,high,low,close,volume
2020-08-19,20.4,20.9,20.4,20.64,407800
2020-08-20,20.36,20.63,20.32,20.4,502200
2020-08-21,20.29,20.5,20.1,20.23,538700
2020-08-24,20.37,20.78,20.14,20.78,659900
2020-08-25,21.0,21.53,20.65,20.72,776800
2020-08-26,20.58,20.82,20.37,20.68,783400
2020-08-27,20.83,21.1,20.73,20.87,715500
2020-08-28,20.98,21.04,20.54,20.86,553200
2020-08-31,20.76,20.84,20.41,20.47,539600
2020-09-01,20.39,20.95,20.23,20.88,411100
2020-09-02,20.9,20.94,20.64,20.81,652300
2020-09-03,20.84,21.26,20.48,20.57,598500
2020-09-04,20.94,21.18,20.52,20.94,687200
2020-09-08,20.8,20.84,20.3,20.4,849500
2020-09-09,20.47,20.66,20.03,20.32,643700
2020-09-10,20.35,20.41,19.33,19.35,847000
2020-09-11,19.35,19.64,19.27,19.46,926000
2020-09-14,19.55,19.69,19.27,19.69,978400
2020-09-15,19.72,19.98,19.58,19.6,643400
2020-09-16,19.96,20.77,19.81,20.21,1653800
2020-09-17,19.98,21.02,19.94,20.61,1615000
2020-09-18,20.62,21.29,20.05,20.14,2465100
2020-09-21,19.6,19.66,18.84,19.03,950700
2020-09-22,19.26,19.94,19.15,19.54,1233000
2020-09-23,19.48,19.86,19.33,19.34,891000
2020-09-24,19.26,19.81,19.17,19.39,822000
2020-09-25,19.15,19.63,19.15,19.43,922500
2020-09-28,19.65,20.04,19.65,19.76,1290900
2020-09-29,19.85,19.94,19.51,19.51,790000
2020-09-30,19.7,19.9,19.42,19.5,1270100
2020-10-01,19.5,19.72,19.23,19.47,822300
2020-10-02,19.15,19.67,19.1,19.36,1275600
2020-10-05,19.7,20.36,19.56,20.29,1166800
2020-10-06,20.55,20.66,19.91,20.04,969900
2020-10-07,20.2,20.66,20.2,20.44,634500
2020-10-08,20.58,20.7,20.22,20.68,448500
2020-10-09,20.93,21.0,20.39,20.41,712500
2020-10-12,20.45,20.83,20.45,20.66,533800
2020-10-13,20.6,20.71,20.32,20.52,672600
2020-10-14,20.34,20.66,20.26,20.53,591700
2020-10-15,20.24,20.82,20.21,20.72,739600
2020-10-16,20.7,21.74,20.7,21.37,1485500
2020-10-19,21.37,21.58,21.19,21.29,869900
2020-10-20,21.56,21.98,21.32,21.34,1015000
2020-10-21,21.25,21.75,21.12,21.18,1423700
2020-10-22,21.63,22.18,19.35,20.13,1624600
2020-10-23,20.15,21.48,20.15,21.12,1558300
2020-10-26,20.76,20.82,19.69,19.79,1344100
2020-10-27,19.79,19.89,19.36,19.49,868400
2020-10-28,18.95,19.39,18.49,18.53,1001000
2020-10-29,18.48,18.81,18.29,18.78,1002400
2020-10-30,18.78,19.08,18.59,18.84,1230700
2020-11-02,19.12,19.9,19.1,19.87,934600
2020-11-03,20.29,20.52,19.98,20.12,843800
2020-11-04,20.0,20.12,19.18,19.27,611800
2020-11-05,19.38,20.13,19.38,19.81,671100
2020-11-06,19.81,20.1,19.65,19.84,561000
2020-11-09,21.25,22.13,20.98,22.03,1448700
2020-11-10,22.26,22.87,22.2,22.49,1115900
2020-11-11,22.65,22.65,22.23,22.47,603000
2020-11-12,22.23,22.42,21.85,22.11,511300
2020-11-13,22.37,22.92,22.37,22.91,620200
2020-11-16,23.38,24.21,23.06,23.42,1123100
2020-11-17,23.02,23.23,22.54,22.95,658900
2020-11-18,23.13,23.52,22.82,22.83,786300
2020-11-19,22.74,22.74,22.03,22.55,1329600
2020-11-20,22.4,22.72,21.39,21.52,977900
2020-11-23,21.73,22.58,21.66,22.5,1036600
2020-11-24,22.92,24.13,22.88,24.1,1367400
2020-11-25,23.85,24.12,23.57,23.72,877500
2020-11-27,23.82,23.91,23.55,23.79,345900
2020-11-30,23.69,23.7,22.85,22.85,627800
2020-12-01,23.24,23.28,22.54,22.63,614800
2020-12-02,22.35,22.89,22.24,22.73,622600
2020-12-03,22.83,23.03,22.6,22.7,416800
2020-12-04,23.0,23.78,22.84,23.76,584800
2020-12-07,23.75,24.07,23.61,24.01,1023900
2020-12-08,23.88,24.39,23.88,24.38,704900
2020-12-09,24.47,25.18,24.46,25.06,1275700
2020-12-10,24.94,25.27,24.84,25.15,740200
2020-12-11,25.01,25.93,25.01,25.85,1037200
2020-12-14,26.39,26.67,25.08,25.12,1372600
2020-12-15,25.37,25.95,25.05,25.94,798300
2020-12-16,25.97,26.21,25.3,25.42,711900
2020-12-17,25.4,25.69,24.92,25.69,1012300
2020-12-18,25.77,26.27,25.71,26.26,2093200
2020-12-21,25.52,26.28,25.34,26.2,791700
2020-12-22,26.41,26.69,26.27,26.5,779700
2020-12-23,26.65,26.87,26.17,26.35,823500
2020-12-24,26.35,26.75,26.02,26.55,379300
2020-12-28,26.63,26.86,26.51,26.62,517800
2020-12-29,26.77,26.79,26.02,26.08,663100
2020-12-30,26.27,26.74,26.27,26.48,576100
2020-12-31,26.52,26.61,26.2,26.39,721200
2021-01-04,26.57,26.8,26.03,26.23,717600
2021-01-05,26.5,27.04,26.38,26.72,854000
2021-01-06,26.98,28.37,26.8,28.29,1395600
2021-01-07,28.5,28.66,27.94,27.97,1060000
2021-01-08,28.26,28.26,27.83,28.11,630200
2021-01-11,27.81,28.34,27.81,27.91,421500
2021-01-12,28.1,28.74,27.99,28.45,396300
2021-01-13,28.37,28.62,27.9,27.94,398600
2021-01-14,27.84,28.25,27.67,28.09,471800
2021-01-15,27.75,27.86,27.38,27.6,549900
2021-01-19,27.84,28.55,27.62,28.36,740700
2021-01-20,28.5,28.66,28.29,28.49,562600
2021-01-21,28.51,28.68,27.99,28.05,421800
2021-01-22,27.7,28.15,27.58,28.06,814100
2021-01-25,27.92,28.99,27.71,28.58,626300
2021-01-26,28.89,29.18,28.31,28.84,610700
2021-01-27,28.43,30.95,28.3,29.57,1947300
2021-01-28,29.58,29.69,27.56,27.74,1842000
2021-01-29,27.68,28.91,27.5,27.81,2790200
2021-02-01,28.19,28.75,27.81,28.27,925700
2021-02-02,28.49,29.1,27.99,28.97,618300
2021-02-03,29.0,29.19,28.75,29.1,688800
2021-02-04,29.16,30.84,29.16,30.46,1494000
2021-02-05,30.54,31.09,29.82,31.04,1796800
2021-02-08,31.25,32.39,31.0,31.75,860400
2021-02-09,31.75,31.85,31.26,31.34,499800
2021-02-10,31.5,31.96,31.01,31.42,430300
2021-02-11,31.66,31.99,30.88,31.13,605300
2021-02-12,31.11,32.22,31.09,32.19,473300
2021-02-16,32.48,33.11,32.44,32.96,517100
2021-02-17,32.84,33.08,32.25,32.8,489800
2021-02-18,32.42,32.51,31.54,31.68,508700
2021-02-19,31.95,32.53,31.86,32.35,674500
2021-02-22,32.05,32.8,32.05,32.29,594300
2021-02-23,32.09,32.28,31.12,32.19,872900
2021-02-24,32.75,33.49,30.63,30.72,1096800
2021-02-25,30.74,31.71,30.47,31.29,1386000
2021-02-26,31.15,32.45,31.02,32.1,1196600
2021-03-01,32.78,33.77,32.76,32.91,929700
2021-03-02,32.68,32.76,31.52,31.56,608700
2021-03-03,31.65,31.96,31.04,31.04,936000
2021-03-04,30.97,31.14,28.21,29.02,1693100
2021-03-05,29.44,29.76,28.19,29.48,1094900
2021-03-08,29.76,29.9,28.93,29.07,1088500
2021-03-09,29.29,29.85,28.28,28.79,1125600
2021-03-10,28.99,29.5,28.71,29.16,703100
2021-03-11,29.43,30.16,29.3,29.6,1021400
2021-03-12,29.7,30.35,29.46,30.03,973700
2021-03-15,30.0,30.22,28.88,29.01,882900
2021-03-16,28.8,29.03,28.3,28.42,702700
2021-03-17,28.54,28.93,28.16,28.62,707700
2021-03-18,28.56,29.12,27.83,27.9,1026900
2021-03-19,27.78,28.37,27.63,27.68,2204300
2021-03-22,27.72,28.31,27.64,28.05,703100
2021-03-23,27.73,28.15,26.77,26.99,1065200
2021-03-24,27.23,27.98,27.15,27.22,925600
2021-03-25,26.81,28.37,26.72,28.19,1273700
2021-03-26,28.51,29.29,28.19,28.92,859300
2021-03-29,28.97,29.8,27.88,27.91,1043100
2021-03-30,27.95,29.06,27.95,28.42,729200
2021-03-31,28.45,28.89,28.31,28.49,679700
2021-04-01,28.53,28.65,27.98,28.49,746300
2021-04-05,28.74,29.13,28.65,29.11,874600
2021-04-06,28.92,29.22,28.76,28.82,1208600
2021-04-07,29.0,29.13,28.15,28.19,783400
2021-04-08,28.07,28.51,27.8,28.5,946900
2021-04-09,28.52,28.84,28.39,28.7,715600
2021-04-12,28.85,29.22,28.81,29.06,504400
2021-04-13,29.0,29.18,28.18,28.5,681500
2021-04-14,28.25,29.0,28.07,28.72,720000
2021-04-15,28.88,28.88,28.5,28.74,494500
2021-04-16,28.97,29.25,28.74,28.81,539500
2021-04-19,28.69,28.86,28.46,28.67,594000
2021-04-20,28.47,28.72,27.13,27.46,1056200
2021-04-21,27.22,28.34,27.1,28.29,714800
2021-04-22,27.91,28.57,26.65,26.72,1204900
2021-04-23,26.79,27.8,26.26,27.46,793700
2021-04-26,27.68,28.29,27.68,27.98,755400
2021-04-27,27.95,28.12,27.64,27.78,542000
2021-04-28,27.72,28.43,27.57,28.25,572600
2021-04-29,28.65,28.72,28.05,28.47,509800
2021-04-30,28.43,28.79,27.53,27.64,1391300
2021-05-03,27.85,28.66,27.71,28.41,642900
2021-05-04,28.45,28.54,27.89,28.37,614100
2021-05-05,28.59,28.75,28.14,28.65,788800
2021-05-06,28.72,29.39,28.26,29.33,763200
2021-05-07,29.22,30.0,28.81,29.92,799600
2021-05-10,30.0,30.0,29.62,29.63,929800
2021-05-11,29.09,29.73,28.79,29.2,582400
2021-05-12,29.17,29.17,28.13,28.23,543100
2021-05-13,28.3,28.89,28.04,28.29,760700
2021-05-14,28.53,29.22,28.37,29.14,601400
2021-05-17,28.93,29.03,28.17,28.24,699100
2021-05-18,28.24,28.24,27.33,27.33,1155500
2021-05-19,26.99,27.79,26.66,27.69,1234100
2021-05-20,27.73,28.17,27.52,27.96,779500
2021-05-21,28.17,28.57,28.05,28.14,495800
2021-05-24,28.27,28.4,27.98,28.3,365800
2021-05-25,28.37,28.62,27.33,27.43,534300
2021-05-26,27.4,27.57,26.88,27.39,819700
2021-05-27,27.72,27.91,27.51,27.63,1077000
2021-05-28,27.7,27.82,27.47,27.78,503400
2021-06-01,27.94,28.54,27.86,28.47,612700
2021-06-02,28.66,28.75,28.17,28.39,524000
2021-06-03,28.22,28.62,27.94,28.35,395000
2021-06-04,28.52,28.61,28.19,28.43,452100
2021-06-07,28.44,28.52,28.0,28.15,681400
2021-06-08,28.13,29.41,28.07,29.26,884300
2021-06-09,29.23,29.71,29.12,29.58,843000
2021-06-10,29.79,30.0,29.46,29.55,880300
2021-06-11,29.76,30.02,29.54,29.78,599700
2021-06-14,29.79,29.93,29.04,29.16,524600
2021-06-15,29.17,29.55,29.13,29.37,535100
2021-06-16,29.33,29.45,28.87,29.27,636400
2021-06-17,29.23,29.28,26.85,27.03,1428100
2021-06-18,26.54,26.67,25.54,25.57,2226700
2021-06-21,25.72,27.26,25.61,27.05,1236200
2021-06-22,26.99,27.12,26.48,26.8,984300
2021-06-23,26.8,27.46,26.71,26.8,849700
