date,open,high,low,close,volume
2020-08-19,9.91,9.92,9.8,9.8,207000
2020-08-20,9.64,9.77,9.64,9.76,286000
2020-08-21,9.7,9.81,9.68,9.81,171500
2020-08-24,10.15,10.16,10.03,10.06,295000
2020-08-25,10.07,10.07,9.99,10.02,284500
2020-08-26,10.07,10.21,10.07,10.21,438000
2020-08-27,10.05,10.05,9.9,9.95,444500
2020-08-28,10.09,10.1,10.0,10.06,241500
2020-08-31,10.13,10.15,10.07,10.07,233000
2020-09-01,10.08,10.11,9.99,10.0,184000
2020-09-02,10.46,10.48,10.28,10.41,264500
2020-09-03,10.3,10.3,10.1,10.12,721500
2020-09-04,9.92,9.96,9.65,9.96,472000
2020-09-08,9.6,9.76,9.54,9.66,267000
2020-09-09,10.0,10.15,9.99,10.15,359500
2020-09-10,10.07,10.1,9.89,9.91,495500
2020-09-11,9.95,10.02,9.91,9.97,203500
2020-09-14,10.02,10.06,9.99,10.01,215500
2020-09-15,10.12,10.12,10.04,10.05,175500
2020-09-16,10.24,10.31,10.2,10.23,243000
2020-09-17,10.16,10.34,10.16,10.33,326000
2020-09-18,10.26,10.4,10.23,10.34,213500
2020-09-21,10.18,10.21,10.06,10.16,244000
2020-09-22,10.06,10.07,10.0,10.06,232500
2020-09-23,10.12,10.14,9.99,10.0,298000
2020-09-24,9.99,10.09,9.95,10.02,712000
2020-09-25,9.86,10.05,9.83,10.05,636000
2020-09-28,10.18,10.25,10.11,10.18,344500
2020-09-29,10.3,10.4,10.27,10.39,831000
2020-09-30,10.68,10.83,10.66,10.77,461000
2020-10-01,10.99,11.12,10.95,11.03,685000
2020-10-02,10.86,11.08,10.84,11.07,392500
2020-10-05,11.15,11.38,11.06,11.37,468000
2020-10-06,11.22,11.25,11.08,11.17,426500
2020-10-07,11.64,11.65,11.48,11.59,292500
2020-10-08,11.59,11.76,11.57,11.75,600500
2020-10-09,11.54,11.59,11.5,11.56,525500
2020-10-12,11.75,12.04,11.71,12.04,2996000
2020-10-13,11.81,11.95,11.78,11.93,965000
2020-10-14,12.16,12.24,12.12,12.14,323500
2020-10-15,11.78,11.94,11.73,11.92,1038500
2020-10-16,11.83,11.94,11.81,11.92,803000
2020-10-19,11.88,11.93,11.72,11.73,412000
2020-10-20,11.71,11.86,11.68,11.8,344500
2020-10-21,11.74,11.79,11.51,11.53,223500
2020-10-22,11.38,11.4,11.21,11.24,362500
2020-10-23,11.16,11.28,11.15,11.28,203000
2020-10-26,10.99,11.02,10.82,10.89,293500
2020-10-27,11.0,11.05,10.9,10.97,2203500
2020-10-28,10.71,10.8,10.64,10.66,499000
2020-10-29,11.41,11.54,11.27,11.54,350000
2020-10-30,11.44,11.48,11.33,11.45,501500
2020-11-02,11.17,11.22,11.1,11.15,690500
2020-11-03,11.53,11.86,11.52,11.86,1060500
2020-11-04,11.41,11.41,11.13,11.17,1761500
2020-11-05,12.13,12.24,12.08,12.15,837000
2020-11-06,12.14,12.27,11.94,12.27,894000
2020-11-09,11.94,12.02,11.83,11.94,537000
2020-11-10,12.03,12.08,11.93,12.08,534000
2020-11-11,12.39,12.49,12.29,12.39,345500
2020-11-12,12.54,12.62,12.4,12.45,338500
2020-11-13,12.37,12.47,12.35,12.45,339500
2020-11-16,12.26,12.3,12.2,12.26,446000
2020-11-17,12.33,12.35,12.23,12.3,566500
2020-11-18,12.32,12.39,12.18,12.3,370500
2020-11-19,12.63,12.76,12.59,12.71,532500
2020-11-20,13.05,13.25,13.04,13.22,297500
2020-11-23,13.1,13.12,12.92,13.01,427500
2020-11-24,12.66,12.75,12.57,12.65,1068000
2020-11-25,12.64,12.76,12.5,12.7,938500
2020-11-27,13.04,13.24,13.03,13.18,193500
2020-11-30,13.72,13.8,13.54,13.54,396500
2020-12-01,13.42,13.53,13.36,13.51,346000
2020-12-02,13.4,13.49,13.34,13.47,292500
2020-12-03,13.26,13.27,12.95,12.95,306500
2020-12-04,13.05,13.27,13.04,13.21,323000
2020-12-07,13.44,13.56,13.42,13.45,351500
2020-12-08,13.41,13.58,13.41,13.49,293500
2020-12-09,13.61,13.61,13.39,13.47,392000
2020-12-10,13.04,13.36,13.03,13.3,252000
2020-12-11,13.44,13.63,13.42,13.58,208500
2020-12-14,13.63,13.84,13.61,13.73,676000
2020-12-15,13.65,14.0,13.65,13.97,1125500
2020-12-16,14.22,14.23,14.03,14.14,909500
2020-12-17,14.28,14.51,14.28,14.44,432500
2020-12-18,14.49,14.76,14.48,14.66,502000
2020-12-21,14.6,14.99,14.58,14.97,375500
2020-12-22,15.09,15.4,15.09,15.37,551500
2020-12-23,15.23,15.37,15.14,15.25,722000
2020-12-24,15.26,15.3,15.23,15.24,261000
2020-12-28,15.94,16.18,15.93,16.07,350000
2020-12-29,16.05,16.11,15.89,15.98,499000
2020-12-30,16.0,16.07,15.82,15.82,347000
2020-12-31,15.66,15.83,15.46,15.65,316500
2021-01-04,16.29,16.37,16.1,16.15,1048500
2021-01-05,16.03,16.15,16.02,16.11,1540500
2021-01-06,16.63,17.19,16.53,17.06,812500
2021-01-07,17.06,17.33,17.04,17.29,757500
2021-01-08,17.39,17.47,17.06,17.23,990500
2021-01-11,16.32,16.78,16.24,16.74,648500
2021-01-12,15.58,15.82,15.47,15.79,1185000
2021-01-13,15.77,15.96,15.74,15.92,746000
2021-01-14,15.71,15.84,15.67,15.81,672500
2021-01-15,14.91,15.03,14.63,14.94,1194500
2021-01-19,15.04,15.56,15.03,15.53,754000
2021-01-20,15.38,15.59,15.28,15.54,474000
2021-01-21,16.04,16.36,16.03,16.36,548500
2021-01-22,15.87,16.17,15.85,16.14,464500
2021-01-25,15.77,15.9,15.67,15.84,561500
2021-01-26,15.42,15.45,15.27,15.41,621000
2021-01-27,14.14,14.52,14.0,14.46,734500
2021-01-28,14.78,14.99,14.61,14.94,455000
2021-01-29,14.55,14.58,14.26,14.38,755000
2021-02-01,14.49,14.49,14.34,14.47,452000
2021-02-02,14.59,14.64,14.5,14.63,906000
2021-02-03,14.99,15.0,14.67,14.98,643000
2021-02-04,14.46,14.55,14.39,14.42,535000
2021-02-05,14.42,14.5,14.27,14.45,419000
2021-02-08,14.18,14.37,14.15,14.24,833000
2021-02-09,14.0,14.05,13.79,13.91,990500
2021-02-10,13.37,13.4,13.26,13.31,1018500
2021-02-11,14.09,14.18,13.94,14.15,600500
2021-02-12,13.94,14.19,13.93,14.13,314500
2021-02-16,14.78,14.86,14.64,14.8,613500
2021-02-17,14.41,14.51,14.31,14.45,426000
2021-02-18,14.18,14.19,14.0,14.1,498000
2021-02-19,13.8,13.93,13.72,13.81,538000
2021-02-22,13.59,13.66,13.31,13.32,821500
2021-02-23,12.65,12.96,12.45,12.94,470500
2021-02-24,12.53,12.54,12.24,12.43,648500
2021-02-25,12.97,13.08,12.76,12.81,654500
2021-02-26,12.52,12.8,12.43,12.57,483500
2021-03-01,12.56,12.74,12.55,12.67,662500
2021-03-02,12.55,12.55,12.31,12.4,1589500
2021-03-03,11.83,11.88,11.66,11.7,1146500
2021-03-04,11.72,11.83,11.29,11.52,1041000
2021-03-05,11.42,11.43,11.0,11.23,1466000
2021-03-08,11.2,11.4,11.14,11.16,946500
2021-03-09,12.11,12.25,12.09,12.18,1959500
2021-03-10,12.32,12.34,12.13,12.2,1407500
2021-03-11,12.67,12.82,12.53,12.81,453500
2021-03-12,12.42,12.71,12.39,12.7,307500
2021-03-15,12.47,12.55,12.4,12.49,339500
2021-03-16,12.24,12.56,12.24,12.48,481500
2021-03-17,11.63,12.02,11.57,11.99,463000
2021-03-18,11.65,11.78,11.61,11.61,439500
2021-03-19,11.68,11.97,11.67,11.9,376000
2021-03-22,12.16,12.2,12.05,12.15,494500
