date,open,high,low,close,volume
2020-08-19,17.51,17.68,17.4,17.41,444700
2020-08-20,17.44,17.53,17.4,17.52,417600
2020-08-21,17.48,17.48,17.33,17.44,219400
2020-08-24,17.21,17.33,17.14,17.3,582700
2020-08-25,17.68,17.87,17.65,17.65,738100
2020-08-26,17.44,17.54,17.44,17.52,1031700
2020-08-27,17.4,17.4,17.2,17.3,369500
2020-08-28,17.33,17.38,17.28,17.37,304000
2020-08-31,17.37,17.37,17.09,17.16,864000
2020-09-01,16.79,16.79,16.43,16.48,715100
2020-09-02,16.48,16.61,16.38,16.6,438200
2020-09-03,16.65,16.7,16.25,16.32,556800
2020-09-04,16.39,16.45,16.1,16.37,478500
2020-09-08,16.36,16.4,16.19,16.34,516000
2020-09-09,16.44,16.55,16.35,16.44,427800
2020-09-10,16.49,16.51,16.25,16.26,404700
2020-09-11,16.45,16.61,16.41,16.59,696800
2020-09-14,17.17,17.39,17.14,17.24,720500
2020-09-15,16.94,16.96,16.75,16.77,651800
2020-09-16,16.58,16.68,16.52,16.62,371600
2020-09-17,16.5,16.78,16.5,16.78,466500
2020-09-18,16.55,16.55,16.3,16.4,534100
2020-09-21,16.12,16.21,15.91,16.2,568800
2020-09-22,16.22,16.41,16.15,16.23,614500
2020-09-23,16.39,16.5,16.21,16.21,1080200
2020-09-24,16.19,16.45,16.05,16.38,559900
2020-09-25,16.2,16.32,16.15,16.25,666900
2020-09-28,16.77,17.05,16.74,17.03,768300
2020-09-29,16.57,16.69,16.54,16.57,610600
2020-09-30,16.63,16.71,16.5,16.59,650200
2020-10-01,16.59,16.61,16.48,16.61,342400
2020-10-02,16.14,16.41,16.13,16.37,583500
2020-10-05,16.42,16.59,16.42,16.57,371100
2020-10-06,16.8,16.94,16.71,16.73,609300
2020-10-07,16.61,16.65,16.55,16.6,414000
2020-10-08,16.47,16.52,16.41,16.45,399000
2020-10-09,16.19,16.19,16.05,16.08,517000
2020-10-12,15.98,15.98,15.9,15.92,492000
2020-10-13,16.18,16.32,16.16,16.26,545500
2020-10-14,15.91,15.91,15.77,15.79,425500
2020-10-15,15.69,15.8,15.62,15.8,396800
2020-10-16,15.72,15.85,15.7,15.77,343000
