date,open,high,low,close,volume
2020-08-19,41.2,42.25,40.91,41.49,2231400
2020-08-20,41.49,41.5,40.81,41.42,2017900
2020-08-21,41.36,41.75,40.84,41.25,11406800
2020-08-24,41.93,42.66,41.29,42.3,3406700
2020-08-25,42.33,42.94,41.27,41.77,2475600
2020-08-26,41.95,42.52,41.23,42.21,6808400
2020-08-27,46.32,46.62,43.6,43.91,10789000
2020-08-28,43.91,45.87,43.36,45.74,4883000
2020-08-31,46.19,47.5,45.55,47.39,5290900
2020-09-01,47.26,47.39,46.16,46.68,3165300
2020-09-02,46.84,48.47,46.65,48.15,3340800
2020-09-03,47.66,48.33,46.01,46.54,3174500
2020-09-04,46.71,47.5,45.9,46.4,2705500
2020-09-08,45.21,45.99,45.16,45.2,2120600
2020-09-09,45.96,46.76,45.23,46.57,2612600
2020-09-10,46.96,46.96,44.37,44.37,2395300
2020-09-11,44.91,45.07,43.48,44.09,2340100
2020-09-14,44.39,45.67,44.3,45.38,2788200
2020-09-15,46.01,46.09,45.14,45.38,3001600
2020-09-16,45.62,46.53,45.03,45.11,2391400
2020-09-17,44.09,44.24,42.85,43.18,3413600
2020-09-18,43.46,43.52,42.1,42.61,3702200
2020-09-21,41.81,41.81,40.72,41.39,2504300
2020-09-22,41.62,41.98,41.03,41.88,2487900
2020-09-23,42.05,42.61,41.07,41.19,2042900
2020-09-24,40.96,41.76,40.46,41.49,1711300
2020-09-25,41.11,42.06,41.09,41.96,1605100
2020-09-28,42.69,43.61,42.51,43.6,2296800
2020-09-29,43.71,44.27,43.5,43.99,1743900
2020-09-30,44.07,44.72,43.43,43.84,2564800
2020-10-01,44.37,44.37,42.62,42.89,2084800
2020-10-02,42.16,43.51,42.07,42.76,1882400
2020-10-05,43.38,43.65,43.07,43.35,2437300
2020-10-06,43.46,44.59,43.18,43.36,1662600
2020-10-07,43.89,44.74,43.71,44.59,1674500
2020-10-08,44.42,46.29,44.42,46.26,2943200
2020-10-09,46.49,46.69,45.52,45.87,1848700
2020-10-12,46.37,47.19,45.61,46.65,2011800
2020-10-13,47.51,47.78,46.27,46.88,2415600
2020-10-14,46.88,47.56,46.44,46.67,1557700
2020-10-15,45.89,47.1,45.83,47.05,1398700
2020-10-16,47.29,47.66,46.69,47.15,1332100
2020-10-19,47.58,48.94,47.31,48.0,2792800
2020-10-20,48.22,48.43,47.24,47.25,2183800
2020-10-21,47.3,47.46,46.57,46.8,1660600
2020-10-22,46.91,47.06,46.33,46.7,1666100
2020-10-23,47.46,47.46,46.56,46.89,1803500
2020-10-26,46.41,46.69,44.23,44.93,2416400
2020-10-27,44.76,45.06,43.92,44.05,1340800
2020-10-28,43.0,43.39,41.9,42.29,2496900
2020-10-29,42.4,44.35,42.2,44.11,2725500
2020-10-30,43.45,44.09,43.07,43.89,1548200
2020-11-02,44.46,45.0,43.92,44.94,1576100
2020-11-03,45.51,46.58,45.51,46.29,1970400
2020-11-04,45.52,46.27,44.9,45.17,2129700
2020-11-05,46.08,46.89,45.82,46.71,1406200
2020-11-06,47.08,47.34,46.34,47.01,1696600
2020-11-09,48.74,50.1,48.38,49.65,2895300
2020-11-10,49.1,50.49,49.08,50.01,2474200
2020-11-11,50.21,50.49,48.98,49.27,1506300
2020-11-12,49.04,49.41,46.74,47.48,1995500
2020-11-13,47.95,49.96,47.71,49.83,1444100
2020-11-16,50.18,51.61,50.18,51.58,1658000
2020-11-17,50.71,51.66,50.07,51.4,1183400
2020-11-18,51.41,52.46,51.22,51.54,2065500
2020-11-19,51.28,52.04,50.82,51.98,1176400
2020-11-20,52.15,52.54,51.74,51.89,1320500
2020-11-23,52.02,53.7,52.02,53.56,1603700
2020-11-24,54.19,55.73,54.0,55.36,2638000
2020-11-25,54.65,55.26,53.31,53.52,2576300
2020-11-27,53.53,54.03,53.03,53.26,739100
2020-11-30,53.21,53.37,52.33,53.31,4533800
2020-12-01,52.64,54.43,52.64,54.16,3997100
2020-12-02,57.86,60.43,56.89,59.23,9338800
2020-12-03,59.35,59.6,57.92,58.49,3475000
2020-12-04,58.65,60.08,58.5,59.99,1894300
2020-12-07,59.8,60.89,59.34,60.37,1910600
2020-12-08,60.17,61.18,59.91,60.55,1967900
2020-12-09,60.95,61.69,60.29,60.78,1409600
2020-12-10,59.49,61.51,59.49,61.12,1807600
2020-12-11,60.8,62.19,60.59,61.82,1877700
2020-12-14,62.22,62.99,61.33,61.67,2136800
2020-12-15,62.23,62.81,61.45,62.65,1867200
2020-12-16,64.01,65.04,63.93,64.07,3128300
2020-12-17,64.29,64.34,63.15,64.12,2537900
2020-12-18,64.15,64.93,63.81,64.82,4568400
2020-12-21,63.58,64.62,63.18,64.54,1695400
2020-12-22,65.79,66.68,65.51,66.18,2721700
2020-12-23,66.56,67.63,66.12,66.17,1421200
2020-12-24,66.11,66.27,65.45,65.8,509600
2020-12-28,66.69,67.38,65.73,65.9,1347200
2020-12-29,65.86,66.27,64.73,65.05,1146000
2020-12-30,65.03,66.52,65.03,65.33,1349400
2020-12-31,65.27,66.39,65.01,66.24,1032700
2021-01-04,66.47,66.72,64.19,64.86,2319900
2021-01-05,64.38,65.65,64.34,65.17,1860300
2021-01-06,64.74,66.51,64.67,65.23,2406400
2021-01-07,65.19,65.97,64.69,65.24,2014900
2021-01-08,65.31,65.82,64.56,64.97,2670800
2021-01-11,64.19,65.68,64.01,65.22,1440400
2021-01-12,65.85,66.56,65.41,66.16,1550200
2021-01-13,66.02,66.14,64.85,65.2,981900
2021-01-14,65.39,66.18,65.01,65.84,928200
2021-01-15,65.39,65.92,64.44,64.66,1475800
2021-01-19,65.0,65.35,63.8,64.28,1306500
2021-01-20,64.77,64.93,64.03,64.51,1062200
2021-01-21,64.32,65.28,63.92,64.97,980600
2021-01-22,63.93,64.93,63.4,64.76,1466600
2021-01-25,64.87,65.66,64.25,65.65,1693600
2021-01-26,65.85,66.26,64.93,65.7,1968300
