date,open,high,low,close,volume
2020-08-19,207.47,207.98,205.66,206.15,734700
2020-08-20,202.8,208.74,202.8,208.16,1009100
2020-08-21,207.37,207.55,205.35,206.73,1356100
2020-08-24,205.93,208.0,205.67,207.3,467800
2020-08-25,205.89,207.99,205.42,205.7,515200
2020-08-26,206.84,209.38,205.95,208.51,634600
2020-08-27,209.97,209.97,207.13,207.87,396700
2020-08-28,207.89,208.56,206.13,208.14,386600
2020-08-31,209.35,215.72,209.11,214.8,865700
2020-09-01,215.37,215.94,213.03,215.78,647700
2020-09-02,217.0,220.51,217.0,219.7,782400
2020-09-03,220.08,220.13,205.96,207.78,1199800
2020-09-04,207.43,209.18,200.73,203.54,978500
2020-09-08,199.09,199.5,194.95,196.81,925300
2020-09-09,199.23,201.69,195.65,200.33,624000
2020-09-10,200.19,200.86,195.0,198.0,830800
2020-09-11,198.0,200.75,195.1,198.13,713900
2020-09-14,200.58,203.25,200.23,202.0,687000
2020-09-15,203.62,204.99,201.9,204.33,847700
2020-09-16,205.74,207.52,202.76,202.99,649400
2020-09-17,199.19,203.55,198.47,203.49,892800
2020-09-18,204.15,206.59,202.88,204.68,1597300
2020-09-21,202.74,203.86,200.01,202.89,1035900
2020-09-22,204.19,205.85,201.44,205.29,680500
2020-09-23,205.33,206.26,199.47,200.14,754900
2020-09-24,199.79,204.42,198.96,202.01,526600
2020-09-25,202.67,206.53,200.56,205.58,423100
2020-09-28,208.33,208.33,202.71,204.72,601600
2020-09-29,200.63,206.2,200.63,204.91,523900
2020-09-30,205.03,207.36,203.6,204.85,638500
2020-10-01,206.52,208.19,205.92,207.22,425800
2020-10-02,203.45,205.03,200.85,202.16,419200
2020-10-05,202.42,204.05,201.05,203.45,438300
2020-10-06,203.3,206.41,201.17,202.09,587700
2020-10-07,202.28,204.65,201.23,203.82,380400
2020-10-08,204.45,206.43,204.18,205.47,325600
2020-10-09,207.03,210.07,206.72,209.56,396300
2020-10-12,212.22,216.24,210.53,214.15,503800
2020-10-13,214.88,218.02,214.08,216.0,512100
2020-10-14,215.69,217.64,211.43,212.14,464700
2020-10-15,209.47,210.69,206.37,208.6,436500
2020-10-16,208.56,210.75,207.19,207.34,351500
2020-10-19,207.47,208.61,202.53,203.17,395300
2020-10-20,204.06,206.27,203.0,203.96,385400
2020-10-21,204.46,206.76,203.75,205.56,512500
2020-10-22,206.02,209.04,203.75,207.86,650500
2020-10-23,203.71,203.77,197.12,200.8,1533300
2020-10-26,198.73,199.83,197.15,198.58,1001000
2020-10-27,200.13,201.61,198.16,199.06,723200
2020-10-28,195.81,196.87,188.67,189.83,892900
2020-10-29,188.35,193.83,188.35,191.59,624800
2020-10-30,189.85,192.14,189.37,190.7,565000
2020-11-02,193.26,193.67,187.83,189.2,567700
2020-11-03,191.52,194.66,190.28,191.51,599500
2020-11-04,197.87,204.12,197.13,203.39,741000
2020-11-05,207.23,209.11,205.8,208.32,684400
2020-11-06,208.63,208.63,205.43,206.67,505200
2020-11-09,207.5,211.84,203.42,203.46,728500
2020-11-10,200.0,201.5,196.63,199.98,861300
2020-11-11,201.59,204.75,200.57,201.9,583600
2020-11-12,202.69,203.71,197.59,198.97,417100
2020-11-13,199.67,200.95,197.03,198.51,419400
2020-11-16,197.77,198.6,194.11,194.88,593500
2020-11-17,194.1,196.43,193.68,194.51,382000
2020-11-18,194.51,195.94,193.06,194.26,583200
2020-11-19,193.68,198.55,191.74,197.44,532700
2020-11-20,196.4,198.67,195.12,196.44,573200
2020-11-23,197.3,197.49,194.18,196.57,965800
2020-11-24,196.5,197.93,194.05,197.46,655200
2020-11-25,198.51,199.75,197.5,198.72,741100
2020-11-27,199.24,200.9,197.58,200.52,661400
2020-11-30,199.73,201.07,196.58,200.72,1024400
2020-12-01,201.0,202.14,199.63,200.75,464600
2020-12-02,200.45,202.14,199.72,200.24,535500
2020-12-03,199.59,202.19,198.94,200.81,1022700
2020-12-04,201.32,204.54,200.87,203.99,554400
2020-12-07,203.36,205.9,203.36,205.26,961200
2020-12-08,206.02,207.73,203.94,206.92,751100
2020-12-09,210.85,210.85,203.64,204.41,653300
2020-12-10,204.06,208.63,202.05,207.75,460400
2020-12-11,206.62,210.14,205.2,209.99,610500
2020-12-14,209.75,214.83,209.07,212.11,724400
2020-12-15,213.72,214.21,211.88,213.51,454200
2020-12-16,214.14,216.11,212.95,215.48,516100
2020-12-17,216.57,218.43,215.83,217.93,607900
2020-12-18,218.97,219.53,216.51,217.82,1596000
2020-12-21,215.2,216.49,210.53,214.89,522400
2020-12-22,214.83,216.79,213.3,216.34,427800
2020-12-23,215.93,217.35,213.98,214.01,288300
2020-12-24,215.23,215.23,213.13,214.59,139900
2020-12-28,216.27,217.2,215.04,216.8,296500
2020-12-29,218.14,218.86,214.94,215.63,287100
2020-12-30,216.73,217.15,214.38,214.5,248500
2020-12-31,214.84,216.69,213.38,216.4,311100
2021-01-04,216.92,217.81,210.52,213.58,702300
2021-01-05,211.81,212.97,206.0,206.5,755100
2021-01-06,203.69,204.79,199.16,199.51,945200
2021-01-07,200.4,200.76,197.24,200.0,960100
2021-01-08,200.93,202.88,200.47,202.44,834600
