date,AXTA,IVPAF,LYSCF,LYSDY,MP,RGLD,SOUHY,SSD,SUZ,WFG,CTRA,DKL,KNTK,MTDR,MUR,NEXT,NOG,NOV,PAGP,USAC,BIIB,CNC,GMAB,ICLR,INCY,SAUHY,SNN,TEVA,WAT,ZBH,ABM,ALG,HRI,HUBG,ODFL,SBLK,TEX,TNET,TRN,VWDRY,AMKR,ARW,CAJPY,HPE,JKHY,LFUS,NTAP,PTC,STM,VRSN
2020-08-19,23.74,3.87,1.8,1.81,12.17,137.43,7.66,100.3,9.13,56.09,20.1,34.41,6.68,10.02,14.94,1.37,7.6,12.49,7.54,11.76,279.98,63.47,36.72,191.25,96.27,4.98,40.32,10.14,216.95,133.25,36.61,110.13,41.01,25.98,98.0,7.03,20.11,68.22,20.64,9.8,13.47,76.13,17.41,9.42,172.22,183.78,41.49,88.54,29.23,206.15
2020-08-20,23.64,3.93,1.77,1.79,12.24,139.34,7.74,98.71,9.39,56.01,19.37,34.3,6.72,9.68,14.53,1.4,7.2,12.03,7.66,11.81,277.52,62.4,37.35,188.05,95.53,4.97,40.2,9.9,214.73,132.82,37.16,110.59,40.78,26.14,97.91,6.97,19.95,67.98,20.4,9.76,12.9,74.82,17.52,9.26,168.2,180.86,41.42,88.03,28.75,208.16
2020-08-21,23.8,3.85,1.76,1.73,12.0,137.81,7.9,99.47,9.22,56.5,19.52,34.31,6.72,9.05,14.11,1.38,6.9,11.77,7.51,11.73,277.07,62.47,38.23,186.84,94.11,4.92,39.41,9.89,216.24,132.19,37.22,110.82,40.37,26.69,98.62,6.78,19.84,68.02,20.23,9.81,12.59,75.26,17.44,9.33,165.85,181.15,41.25,87.36,28.75,206.73
2020-08-24,24.13,3.74,1.78,1.78,12.04,136.19,7.74,99.78,9.29,55.94,19.51,33.34,6.68,9.67,14.66,1.4,6.9,12.14,7.42,12.1,276.56,60.28,37.35,185.22,94.04,4.83,39.79,9.63,215.02,132.83,37.99,112.2,41.13,27.22,99.42,6.99,19.99,69.15,20.78,10.06,12.78,77.18,17.3,9.62,164.73,186.01,42.3,87.1,29.69,207.3
2020-08-25,24.12,3.74,1.78,1.76,12.03,135.27,7.75,99.81,9.24,54.03,19.29,32.39,6.59,9.95,14.94,1.38,6.8,12.09,7.23,11.64,279.03,60.79,36.62,185.32,95.31,4.96,40.42,9.54,216.14,133.59,37.55,110.95,41.0,27.04,98.83,7.02,19.58,68.01,20.72,10.02,12.85,76.67,17.65,9.33,166.38,186.34,41.77,88.14,30.19,205.7
2020-08-26,23.86,3.77,1.7,1.67,12.0,136.79,7.75,100.15,9.15,55.67,18.68,30.71,6.46,9.6,14.12,1.37,7.0,11.91,7.0,11.36,279.17,59.38,37.73,186.01,93.75,4.96,40.18,9.67,216.09,132.84,37.33,110.11,40.82,27.11,99.5,6.83,19.91,68.0,20.68,10.21,13.04,76.66,17.52,9.67,167.26,184.31,42.21,89.78,30.91,208.51
2020-08-27,23.86,3.75,1.74,1.68,12.7,134.92,7.59,99.63,9.15,55.29,19.07,31.21,6.36,9.9,14.39,1.39,7.1,12.07,7.2,11.44,279.26,60.49,36.82,184.76,94.3,4.87,40.6,9.48,215.76,136.44,37.88,111.1,41.38,27.1,99.54,6.76,19.98,68.82,20.87,9.95,12.54,76.49,17.3,9.57,165.85,181.75,43.91,89.42,29.87,207.87
2020-08-28,24.29,3.9,1.76,1.68,13.46,135.44,7.67,100.62,9.4,54.92,18.95,32.26,6.36,9.98,14.41,1.4,7.2,12.32,7.48,11.27,281.46,60.48,37.2,182.74,93.9,4.92,40.86,9.6,217.43,137.54,38.33,111.62,42.17,27.16,100.16,7.17,20.1,69.48,20.86,10.06,12.67,77.9,17.37,9.83,167.48,183.74,45.74,91.15,30.09,208.14
2020-08-31,23.85,3.95,1.76,1.7,13.5,136.32,7.59,98.34,9.13,53.77,18.97,32.98,6.58,9.73,13.74,1.33,6.8,12.0,7.31,11.04,287.64,61.32,37.76,186.41,96.35,4.99,40.65,9.87,216.26,136.78,38.14,110.9,40.95,26.92,101.09,7.1,19.57,67.84,20.47,10.07,12.2,78.56,17.16,9.67,165.42,180.84,47.39,91.41,30.25,214.8
2020-09-01,24.37,4.23,1.73,1.68,13.4,133.17,7.73,100.03,9.55,55.15,18.59,33.4,6.43,10.17,13.85,1.22,6.6,11.94,7.34,11.15,279.75,61.37,37.57,186.82,92.97,4.86,40.87,9.49,212.02,136.39,38.19,114.9,42.57,26.89,102.07,6.83,19.72,67.58,20.88,10.0,12.5,78.67,16.48,9.47,164.36,183.5,46.68,95.44,30.5,215.78
